imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2530392,,The Little House (2014),,,,,,,,,,,,,,,,,,,,,,,,,"$142,377",,,,,,,"$10,245,638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0814659,,Anna M. (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5700672,,Train to Busan (2016),"$708,685","$789,242",,,"$200,612","$1,451,384",,,,,"$309,701","$9,637",,,"$2,129,768",,,,,,"$1,950,833",,,"$28,730",,,,,,,,"$568,538",,,,,,"$1,160,145","$61,712","$97,214",,,,,,"$25,955",,,,,,,"$148,037",,,,,,"$80,466,363","$190,851",,,,,,"$2,126,556","$149,730",,"$53,948","$115,915","$20,643",,
3352390,,Friend Request (2016),,,"$280,053",,,,,,,,,,,,,,,,,,"$881,821","$2,407,754",,,,,,,,,"$689,224",,,,,,,,,,,,,,,,,,,"$50,471",,,"$375,810",,,,,,"$162,504",,,,,,,"$94,099","$46,733",,"$120,752","$2,107,091",,,
2597892,,Viral (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$119,452",,,,,,,,,,,,,,,"$24,910",,,,,,,,,,,,,,,,,,,,
1213926,,The Sicilian Girl (2008),,,,,,,,,,,,,,,"$71,239",,,,,,"$190,888",,,,,,,,,,"$199,438",,,,,,,,,"$72,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2638662,,Summer Camp (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,409,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3646344,,Sworn Virgin (2015),,,,"$1,582",,,,,,,,,,,,,,,,,,,,,,,,,,,"$101,629",,,,,,,,,,,,,,,,,,,$667,,,,$167,,,,,,,,,,,,,,,,,,,
5803868,,Bosch: The Garden of Dreams (2016),"$29,396",,,,,,,,,,,,,,,,,,,,"$209,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$198,234",,,,,,,,,,,"$11,582",,
1823202,,Sibir. Monamur (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,700",,,,,,,,,,,,,,,,,,,,
1224373,,Slovenian Girl (2009),,,,,$463,"$12,261",,,,,,,,,,,,,,,"$17,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,489",,,,,,,,
0833448,,Lift (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$123,182",,,,,,,,,,,,,,,,,,,,
3384350,,The Devil's Dolls (2016),,,,,"$23,985",,,,,,"$115,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4585660,,Klown Forever (2015),,,,,,,,,,,,,,"$6,995,833",,,,,,,,,,,,,"$155,026",,,,,,,,,,,,,,,"$429,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
