imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0459759,,Revenge (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,770,000",,,,,,,,,,,,,,,,,,,
4559932,,Prizrak (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,402,809",,,,,,,,,,,,,,,,,,,
0450158,,The State Counsellor (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,450,000",,,,,,,,,,,,,,,,,,,
2674358,,The Hunter's Prayer (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,035",,,,,,,,,,,"$26,217",,,,,,,,
5929750,,Beatriz at Dinner (2017),,"$173,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$98,100",,,,,,,,,,,,,,,,,,,,,,"$38,281",,,,,,,,,,,,,,
0792978,,Mia and the Migoo (2008),,,,,"$16,812",,,,,,,,,,,,"$17,000",,,,,,"$4,414,342",,,,,,,,,,,"$35,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349126,,Muzhchina s garantiey (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,293,450",,,,,,,,,,,,,,,,,,,
2258239,,8 First Dates (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,443,347",,,,,,,,,,,,,,,,,,,
2156825,,Stone (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,090,797",,,,,,,,,,,,,,,,,,,
1429429,,Coursier (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,764",,,,,,,,"$25,859",,,,,,,,,
1414840,,Lyubov 2 Morkov (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,846,562",,,,,,,,,,,,,,,,,,,
1510274,,Lyubov v bolshom gorode 2 (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,208,556",,,,,,,,,,,,,,,,,,,
1245736,,Interceptor (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,877,112",,,,,,,,,,,,,,,,,,,
1532382,,Hooked (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,646,151",,,,,,,,,,,,,,"$37,968",,,,,
1027743,,Sea Monsters: A Prehistoric Adventure (2007),,"$1,266,745",,,,,,,,,,,,,,,,,,,,,"$1,204,076",,,,,,,,,,,,,,,,,,,,,"$29,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$360,744",,,
1438463,,High Security Vacation (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,532,675",,,,,,,,,,,,,,,,,,,
3469046,,Despicable Me 3 (2017),"$312,085","$25,230,192","$4,962,021",,"$6,658,997","$1,755,635","$23,168,715","$966,944","$7,377,294","$158,171,566","$6,952,678",,"$678,079","$254,840","$3,616,019","$4,997,659","$264,624,300",,"$2,484,620","$365,235","$807,774","$3,951,011","$41,410,060","$43,830,147",,"$2,528,341",,"$6,876,276","$2,838,744","$442,665","$2,919,721","$6,076,680","$5,675,841","$22,330,417",,"$66,229,119",,,,"$701,604","$836,892","$1,045,784","$3,911,388","$34,804,796","$187,460","$11,892,805","$3,946,901",,,"$4,094,938",,"$247,083","$583,904","$585,163","$5,871,463","$3,411,209","$9,872,733","$3,203,394",,"$1,261,318","$26,022,710","$564,288","$3,784,648","$1,671,374","$671,880","$3,482,617","$21,655,413","$23,329,085","$7,446,939","$11,994,624","$5,981,130","$1,701,296","$494,464","$3,186,444","$2,355,988","$4,198,353","$62,875,753","$1,370,130","$2,032,549","$3,318,385"
4131206,,Lucifer (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4835086,,We Are X (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$412,724",,,,,,,,,,,,,,,,,,,,,,,,,"$7,610",,,,,,"$31,648",,,,,"$43,664",,,,,"$7,210",,,
2822672,,Rock Dog (2016),"$94,632",,,,,"$79,892","$379,816","$251,528",,"$5,684,785","$314,913",,,,"$135,083",,"$9,420,546",,,,,,,,,"$67,353",,,"$139,971","$62,750",,,,"$535,264",,,,,,,,"$102,352",,"$909,295",,,,,,,,,,"$16,646",,,"$477,106","$202,725",,"$144,671","$1,439,122",,,"$89,610",,"$423,067","$1,602,054",,,,,,,"$211,059","$230,776","$235,070",,"$20,840",,
1372747,,Yulenka (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,926,017",,,,,,,,,,,,,,,,,,,
0814229,,Nevalyashka (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,088,286",,,,,,,,,,,,,,,,,,,
1432916,,Den D (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,039,611",,,,,,,,,,,,,,,,,,,
5158522,,The Levelling (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$115,411",,,
0479728,,Nikto ne znaet pro seks (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,995,214",,,,,,,,,,,,,,"$296,341",,,,,
1148261,,Bleach the Movie 2: The Diamond Dust Rebellion (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,915,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,304",,,,,,,,,
