imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies
0270846,,Superbabies: Baby Geniuses 2 (2004),,,,,,,,,,,,,,,,,,,,,,,,"$8,898",,,,,,,,,,,,,,,,,,,"$35,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$91,070",,,,,,,"$93,371",,,,
0337921,,Cellular (2004),"$588,371","$877,337","$714,251",,"$90,794","$694,692","$20,691","$1,408,165","$87,511",,"$227,122","$105,749",,"$242,291","$11,940",,"$43,060",,"$115,666",,,,,"$53,139",,"$65,721","$2,584,033","$1,782,495","$695,331","$139,404","$106,624","$31,255",,"$153,337","$527,795","$697,707",,"$1,033,301",,,,,"$358,751",,,,"$2,342,012",,,"$204,088",,,"$144,144",,"$95,127","$263,438","$411,320","$276,827","$443,000",,"$74,026","$900,202","$817,868",,"$28,660","$230,932",,"$68,614","$424,018",,"$1,804,281",,"$58,123","$585,113","$248,126",,"$103,193","$234,714","$1,906,360",,"$553,982",
0318627,,Resident Evil: Apocalypse (2004),"$281,000","$2,111,682","$827,438",,,"$706,412","$25,550","$2,452,334","$50,971",,"$331,576","$206,981",,"$326,970","$63,105",,"$137,895",,"$276,859",,,,"$99,199","$56,793",,"$224,874","$6,579,553","$3,254,049","$405,100","$943,641","$263,043","$70,276","$1,170,981",,,"$4,135,062","$44,232","$23,642,659",,,,,,"$46,372","$34,941",,"$4,563,297",,,"$53,005","$606,602",,"$256,916",,"$223,618",,"$251,488","$748,801",,,"$20,621",,"$2,160,000",,,,"$31,597",,"$355,425","$2,446,927","$5,054,224","$473,550","$320,430","$1,470,243","$1,354,300","$361,400",,"$458,507","$3,538,749","$17,743","$212,216",
0362526,,Criminal (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,917",,,,,,,,,,,"$311,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,215","$113,856",,,
0339412,,Mr. 3000 (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,190",,,,,,,,,,,
0346156,,Sky Captain and the World of Tomorrow (2004),"$120,952","$813,844",,,,"$146,019",,,,,,"$52,303",,,,,"$181,482",,"$239,544",,,,,"$12,954",,"$170,569","$654,735","$697,192","$124,150","$488,597",,"$34,271","$25,390",,,"$1,819,317",,"$2,111,175",,,,,"$21,112",,,,"$704,667",,,"$199,563","$84,574",,"$115,105",,,,"$45,613","$140,437",,,"$21,260",,"$2,103,622",,"$11,065",,"$15,375",,,"$2,240,492","$2,777,444","$165,785",,"$704,306","$393,300","$252,662",,"$85,586","$2,409,897",,,
0360201,,Wimbledon (2004),,"$4,141,940",,,,"$444,171",,"$331,315","$4,193",,,,"$250,941",,"$43,997",,"$100,509","$120,448","$163,256",,,,,"$6,000",,"$138,530","$615,000","$200,798",,,,"$93,031",,,"$286,228","$24,065",,"$328,474",,"$8,973",,,"$16,397",,,,"$319,409",,,"$511,328","$571,616",,"$271,739",,,,"$237,056","$369,971",,,"$22,812",,"$429,722",,"$1,490","$241,601","$21,920",,,"$663,330","$159,050","$362,718","$92,841","$32,141","$74,511",,,"$32,917","$12,946,666",,,
0348529,,Anatomy of Hell (2004),,"$35,057",,,,,,,,,,,,,,,,,,,,,,,,"$6,862","$226,357",,,,,,,,,"$11,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,609",,"$5,923",,,,,,
0338097,,Head in the Clouds (2004),,,"$18,958",,,,,,"$11,643",,,,,,,,,,,"$398,278",,,,,,,,,"$23,050",,,,,,,"$1,972,835",,,,,,,,,,,,,,,"$7,817",,,,,,,,,,,,"$341,988",,,,,,,"$154,253","$216,551",,,"$17,048",,"$160,612",,"$16,070",,,,
0361620,,First Daughter (2004),,"$65,152",,,,,,,,,,,,,,,,,,,,,,,,,"$52,530","$1,891",,,,,,,,,,,,,,,,,,,"$420,648",,,,,,,,,"$228,528",,,,,,,,,,,,,"$413,454",,"$10,490",,,,,,,,"$343,566",,,
0356618,,The Forgotten (2004),"$722,841","$2,754,072","$692,568","$37,304",,"$1,121,020","$29,951","$2,890,357","$57,742","$400,604",,"$524,695",,"$361,552","$361,552",,"$41,994",,,,$834,"$16,278","$176,003","$54,626","$38,382","$113,444","$1,723,657","$4,580,770","$433,986",,"$402,375","$108,830","$14,695",,,"$2,249,803",,"$5,849,143","$29,220",,"$160,149","$32,156","$57,188",,"$13,652","$162,995","$5,029,505",,,"$1,014,081","$337,617","$14,749","$22,155","$15,163","$323,152","$121,763","$389,710","$437,967",,"$22,213","$52,273",,"$1,107,887",,"$45,540","$352,849","$16,336","$92,357","$290,810","$1,550,669","$4,449,886",,"$551,805","$858,101","$216,298","$417,954",,"$141,197","$4,038,121","$60,718","$652,694",
0357054,,The Last Shot (2004),,,,,,,,,,,,,,,,,,,,"$464,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,804",,,,,,,,,,,,,"$74,251",,,,,,,,,,,
0365125,,A Dirty Shame (2004),"$4,334","$23,167",,,,"$45,292",,,,,,,,,,,,,,,,,,,,,"$182,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,633","$2,157",,,,,,,,,,,,"$221,474",,,,,,,,"$54,269",,,
