imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1527835,,Archipelago (2010),,,,,,,,,,,,,,,,,"$7,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,247",,,,,,,,,,,,,,,,,,"$491,598",,,
3893620,,Locust (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$431,000",,,,,,,,,,,,,,,,,,,,,
4382872,,Extraction (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$81,817",,,,,,,,"$10,250",,,,,,"$46,051",,,"$12,722",,,,,,,,,,,,,"$153,366","$15,952","$48,568",,"$310,514",,,,"$14,621"
1608290,,Zoolander 2 (2016),"$1,136,717","$5,289,356","$220,994",,"$65,081","$61,786","$120,163","$41,593",,"$117,906",,"$186,340","$27,913",,"$93,741","$33,390",,"$217,109",,"$11,903",,"$196,331",,"$565,610",,,"$294,025","$38,662","$87,044",,"$70,402","$2,359,733",,,,,"$39,410","$22,378","$278,202","$1,105,757","$103,400","$343,016",,"$105,583","$5,325",,,"$183,170","$2,442,645",,"$113,660",,"$77,963","$602,241","$19,091","$282,860","$38,407","$18,786","$178,393","$42,723","$914,604","$159,459",,,"$87,756",,"$341,010","$132,999","$54,932","$118,434","$362,149","$5,777,833","$72,907","$53,626",
2552394,,Barney Thomson (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,189",,,,,,,,,,,,,,,,,,,,,
3020666,,Unbranded (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3709678,,The Kindergarten Teacher (2014),"$83,325",,,,,,,,,,,,,,,,,,,,,,"$140,271",,,,,,,,,,,,,,,,,"$9,660",,,,,,,,,,,,,,,,,,,,,"$14,619",,,,,,,,,,,,,,
1292566,,How to Be Single (2016),"$435,000","$8,222,883","$643,500","$37,076","$1,086,235",,"$603,474","$119,720",,"$297,974",,"$314,000","$138,715",,"$211,611","$927,505",,"$151,915",,"$75,460",,"$594,118","$2,443,513","$9,300,000",,"$167,829","$655,422","$792,895","$82,895",,"$658,132","$2,100,000",,,"$13,360",,"$212,407","$139,978",,"$1,900,000","$2,771,220","$865,588",,"$1,273,017","$2,756",,,"$218,728","$369,268","$453,078","$318,340",,"$511,573","$2,321,499","$49,411","$810,641","$325,654","$82,894","$574,215",,"$1,722,977","$1,405,340",,"$70,892","$1,766,693",,"$3,500,000",,"$122,000","$527,213","$863,952","$8,600,000","$39,427","$9,143",
3054798,,Memories of the Sword (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,233,991",,,,,,,,,,,,,,,
3620762,,Anguish (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$467,,,
3028018,,Blue Exorcist: The Movie (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,973,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3505682,,Bolshoi Babylon (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,108",,,,,,"$4,648",,,,,,,,"$11,231",,,,,,,
5049302,,The Priests (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,404",,,,"$36,367,637",,,,,,,,,,,,,,,
1841584,,The Cat Vanishes (2011),"$208,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,279",,
1385633,,The Runway (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$109,735",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3345472,,Parasyte: Part 1 (2014),,,,,,,,,,,"$7,229,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2718314,,Dark Awakening (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$161,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4667094,,Fifty Shades of Black (2016),"$624,758",,,,"$60,714",,"$2,950,153",,,,,"$108,914","$27,188",,"$329,921","$184,937",,,,,,,,,,"$165,972",,"$191,065","$6,231",,,"$1,442,610",,,,,,"$57,883",,"$531,318",,,,,,,,"$210,154",,"$386,970","$307,252",,"$339,372","$610,293","$92,415",,"$236,306","$74,780","$142,907",,,,,,,,,,"$39,120","$131,393",,"$118,854",,,
4550098,,Nocturnal Animals (2016),"$109,412","$1,566,598","$117,203",,"$227,142",,"$593,988","$28,281",,,,"$84,508","$37,479","$10,827","$63,131","$240,000",,,,"$44,914",,"$83,891","$1,655,859","$1,301,547",,"$209,521",,"$128,427",,,"$113,914","$2,241,355","$432,457",,,"$37,819",,"$35,458",,"$591,473","$897,499","$155,124",,"$49,099",,"$47,217","$4,049","$24,446",,"$326,956","$127,484",,"$133,566","$1,117,755",,"$130,831","$26,950","$26,645","$10,932","$246,920","$1,096,338","$280,116","$422,455",,,,"$110,072","$39,234","$132,416",,,"$3,788,129","$15,877","$22,498",
1528854,,Daddy's Home (2015),"$1,185,905","$15,361,513","$413,661",,"$344,515","$402,552","$1,992,032","$129,447",,,,"$1,518,646","$40,273",,"$24,350","$598,325",,"$487,875",,,,"$292,186",,"$1,811,127",,"$25,797","$302,303","$577,100","$182,569",,"$819,041","$192,643",,,"$12,537","$37,195","$205,097","$81,269","$262,075","$7,056,781","$770,523","$1,051,916",,"$575,737","$33,253",,,"$2,378,465",,"$83,421","$218,386",,"$412,400","$2,079,885",,"$568,870","$40,194","$47,553","$467,749",,"$2,114,036","$774,443",,,,,"$901,711","$253,287","$59,373","$490,406","$1,432,189","$24,287,482","$171,343","$283,950",
1850457,,Sisters (2015),,"$8,360,646","$137,573",,,"$27,443","$49,670","$120,619",,"$38,092",,,"$45,904",,,,,"$131,252",,,,,"$99,714","$1,373,846",,,,,"$112,653",,,"$97,559",,,,"$28,193","$46,307","$35,987","$53,262",,,"$482,370",,,"$15,025",,,"$93,370","$1,494",,"$186,069",,"$276,223","$235,403","$34,239","$54,252",,"$101,480","$271,361",,"$257,418",,,,"$111,973",,"$130,925",,,"$173,344","$286,670","$3,979,713","$16,313","$23,697",
2267968,,Kung Fu Panda 3 (2016),"$3,854,608","$9,807,545","$1,220,923","$435,416","$1,732,240","$635,833","$6,607,390","$468,362","$88,488","$2,523,491","$154,304,371","$3,173,014","$351,400",,"$879,348","$3,151,584",,"$1,623,556",,"$227,230","$10,544","$1,346,971","$19,366,374","$7,029,300",,"$873,002","$3,531,619","$679,576","$156,478",,"$1,273,945","$9,188,861",,,,,"$292,667","$334,820","$3,548,516","$15,897,655","$3,027,409","$1,463,837",,"$2,026,269","$288,996",,,"$3,017,302",,"$2,756,669","$1,214,569","$514,763","$499,925","$13,905,351","$162,781","$3,759,394","$446,033","$359,505","$1,292,415","$26,388,997","$6,765,036","$2,224,755",,"$979,544","$1,697,068",,"$1,654,097","$1,257,143","$1,155,535","$1,140,564","$3,459,523","$20,321,914","$431,040","$712,073",
4316236,,The Black Panthers: Vanguard of the Revolution (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,523",,,
0844347,,Midnight Sun (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,"$138,336",,,,,,"$7,074,505",,,,,,,,,,,,,,,,,,,,,,,,,,,"$406,120",,,,,,,"$8,613","$6,484",,,,,,,
0416881,,"Josee, the Tiger and the Fish (2003)",,"$114,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$451,637",,,,,"$13,086",,,,"$15,599",,,,,,,,,,,,"$165,994",,,,,,"$473,194",,,,,,,,,,,,"$56,685",,,"$77,706"
0456821,,About Love (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,"$119,166",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,678",,,,,,,,
