imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kenya,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Norway,Palestine,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0211492,,The Luzhin Defence (2000),,,,,,,,,,,,,,,,,,,"$1,053,070",,,,,,,,"$8,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0086250,,Scarface (1983),"$115,726",,,,,,,,,,"$13,724",,,,,,,,"$45,408,703",,,,,,,,,,,,,$256,,,,,,,,,,,,,,,,,$501,,,"$9,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0132245,,Driven (2001),,"$639,376","$247,349",,,,,"$9,524",,,,,,,,"$77,537",,"$98,881",,,,,,,,,"$1,140,102",,,,"$75,789",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$385,406",,,,"$310,449",,,,,"$212,947",,,,
0245120,,The Forsaken (2001),,"$133,351",,,,,,,,,,,,,,,,,,,,,,,,"$115,300",,,,,,,,,,"$108,977",,,,,,,,,"$171,863",,,,,,,,,,,,,,,,,,,,,,,"$86,834",,,,,,,,,"$23,536",,,,
0203755,,One Night at McCool's (2001),,"$139,345",,,,,,,,,,,,,,"$34,374",,"$169,787","$6,290,673",,,,"$29,116",,,"$483,309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$104,816",,,,"$18,247",,,,,"$1,810,097",,,,
0141907,,Town & Country (2001),,"$9,935",,,,,"$208,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$190,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0234570,,Rat (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,350",,,,,,,,,,,,,
0209163,,The Mummy Returns (2001),"$3,425,760","$9,341,940","$2,185,343",,"$2,469,457",,"$5,759,477","$230,513",,"$2,626,277","$1,806,385","$3,477,429","$1,518,780","$154,130","$135,371","$581,957","$1,196,589","$1,200,233","$202,019,785",,,,"$622,166",,"$993,035","$11,132,607","$21,335,405","$1,438,048",,"$5,231,724","$1,281,629","$228,997","$5,846,366","$714,262","$1,374,161","$7,720,589",,"$30,174,149","$76,390",,"$208,886",,,"$1,216,184","$12,142,130",,"$1,347,411","$2,664,176",,"$1,165,245",,"$920,525","$2,561,565","$1,431,741","$1,362,559",,"$209,336",,,"$2,986,243",,,"$2,102,313",,"$185,348","$1,315,329","$12,102,404","$11,576,048","$27,436","$1,666,688","$2,070,849","$10,267,630","$2,615,644","$1,611,536",,,"$29,162,213",,"$2,195,327",,
0240913,,Under the Sand (2000),,"$17,158",,,,,,,,,"$19,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0056937,,Cleopatra (1963),,,,,,,,,,,,,,,,,,,"$57,777,778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
