imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1815862,,After Earth (2013),"$1,823,351","$3,726,634","$641,996","$219,610","$1,767,517","$389,382","$6,383,199","$187,962","$1,609,131","$34,480,000","$2,740,106","$97,025","$160,156","$858,590",,"$84,009","$689,907","$211,606","$488,093","$10,468,418","$5,391,608","$26,383","$431,995","$1,534,545","$542,747","$53,897","$1,780,190",,"$434,484","$5,848,559","$9,316,897",,"$90,480",,"$3,431,925","$13,777,293","$2,158,663","$842,092","$239,079","$1,189,625","$1,967,524","$1,917,924","$1,256,026","$602,581",,"$17,022,156","$36,883","$1,378,482","$93,363","$61,987","$1,039,656","$3,416,203","$9,151,770","$1,788,727",,,"$1,368,312","$997,230","$1,839,069","$1,512,220","$9,737,192","$315,371","$2,812,773",
1670345,,Now You See Me (2013),"$1,563,321","$16,163,376","$1,130,598",,"$3,096,700","$19,053","$7,073,407","$455,691","$878,920","$22,950,000","$2,599,673","$466,656","$589,774","$1,505,914",,"$13,969","$252,389","$353,292","$1,411,703","$25,720,414","$4,844,879",,"$710,589","$3,584,939","$969,067","$137,954",,,,"$5,839,709","$3,967,994",,"$330,573",,"$1,495,967","$13,897,322","$4,167,123","$1,855,663",,"$461,272","$874,185","$442,840","$3,071,984","$1,632,662",,"$15,079","$109,775","$2,545,843","$252,190","$117,655","$525,534","$17,055,726","$14,011,019","$1,430,788",,,"$2,925,094","$950,724",,"$2,287,826","$16,823,365","$317,743","$592,100",
1426329,,Lovelace (2013),,"$57,813",,,"$5,638",,"$68,938",,,,,"$7,636","$18,209",,,,,,,"$25,966",,,,"$52,155",,,,,,,,,"$9,242",,,"$90,681",,,,,,"$14,705",,"$32,335",,"$396,749",,"$32,354",,,"$2,968","$78,965",,,,,"$15,464",,"$11,837",,"$307,346",,,
1656192,,Special Forces (2011),,,,,"$19,276",,,,,,,,"$26,236",,,,,,,"$1,664,584",,,,,,,,,,"$277,094",,,,,"$81,156",,,,,,,"$96,618","$277,054","$8,468",,"$618,878",,"$183,015","$6,813",,,,,,,,"$7,048",,,"$146,384","$1,265",,,
1261954,,Take Me Home (2011),,,,,,,,,,,,,,,"$15,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,261",,,,,,
1833844,,Berberian Sound Studio (2012),,,,,,,,,,,,,,,,,,,,"$8,599",,,,,,,,,,,,,,,,"$8,943",,,,,,,,,,,,,,,,,,,,,,,,,"$256,722",,,
1727388,,The Way Way Back (2013),"$64,820","$1,191,589","$5,745",,"$6,739",,"$50,709",,,,,"$5,517",,"$63,867",,,,,"$35,857","$2,323","$152,143",,,"$8,246",,"$26,022",,,,,,,,,,"$57,426",,"$382,855",,"$27,682",,"$24,470","$126,821","$5,815",,,,"$60,143",,,"$48,837",,"$99,087","$111,722",,,,,,,"$2,405,782","$4,157",,
1772270,,Foxfire: Confessions of a Girl Gang (2012),,,,,"$21,015",,"$6,160",,,,,,,,,,,,,"$414,806",,,,,,,,,,"$13,843",,,,,,,"$1,686",,,,,,,"$2,921",,,,,,,,,"$41,303","$22,559",,,,,,,"$24,286",,,
2341664,,Come Out and Play (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$269,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937149,,The Body (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$346,690",,,,,,,,,,,,
