imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1502396,,Alamar (2009),"$32,204",,,"$15,535",,"$16,770",,,,,,,,,,,,,,,,,,,"$36,981",,,,,,,,,,,,,,,,,,,,,"$85,834",,,,,"$50,245",,,,,,,,,,,,,,,,"$4,392",,,,,,,,,,,,,,,,
1067583,,Water for Elephants (2011),"$426,644",,"$11,597,594","$1,070,385",,"$1,349,461","$34,535","$1,345,823","$71,534",,"$132,678",,"$253,533","$73,272",,"$155,699","$502,571",,,,"$105,107","$33,936","$64,676","$1,093","$434,146","$5,987,605","$7,312,529",,,"$241,804",,"$23,716","$28,383",,,,"$1,465,985",,,,"$100,725","$39,823","$49,548","$97,526","$170,958","$3,323,779",,"$603,683","$1,168,983",,"$937,096",,,"$261,890","$104,215","$272,012","$226,218",,"$192,961",,"$2,178,167","$33,860","$234,369","$15,887",,"$426,138","$372,153","$3,397,249","$1,178,824",,,,,"$555,311","$21,202",,"$495,109",,"$120,416","$6,168,676","$30,376","$402,173",
1646974,,The Names of Love (2010),"$109,394",,,"$83,757",,"$104,067",,"$133,742",,,,,,,,,,,,,,,,,,"$3,765,721","$1,142,347",,"$47,764",,,,,,,,,,,,,,,,,,,,"$34,718",,,,,,,,,,,,,,,,,,,"$158,780",,"$581,335",,,,,,,"$113,948",,,,"$14,077",,
0768239,,Storm (2009),,,,"$6,511",,$814,,,,,,,,,,,"$1,233,575",,,,,,,,,"$130,728","$273,877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223236,,African Cats (2011),"$105,627",,,,,,"$15,837",,,,,,"$54,897",,,,,,,,"$142,644",,,,,"$6,012,431","$79,706",,,"$4,261",,,,,,,"$36,486",,,,,,,,,"$222,490",,,"$211,409",,,,,"$29,405",,,,,,,,,"$4,626",,,"$40,059",,,,,,,,,,,,,,"$99,350","$5,205","$39,973",
1414378,,Tracker (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428556,,"A Woman, a Gun and a Noodle Shop (2009)",,,,,,,,,,,,,,,,,,"$190,946",,,,,,,,,,,,"$89,352",,$763,,,,,,,,,,,,,,,,,"$2,750",,,,,,,,$181,,,,,"$3,270","$24,895",,,,,"$115,151",,,,,,,"$1,122",,,,,,,,
1438535,,Film socialisme (2010),,,,"$15,256",,,,,,,,,,,,,,,,,,,,,,"$76,890",,,,,,,,,,,,,,,,,,,,"$4,446",,,,,,,,,,,"$10,499",,,,"$22,925",,,,,,,"$44,195",,,,,,,,,,,,"$4,943",,,
1139085,,1612: Khroniki smutnogo vremeni (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,784,877",,,,,,,,,,,,,,,,,,,,,,
1497874,,Cold Weather (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,698",,,
1596343,,Fast Five (2011),"$6,337,752",,"$26,794,607","$4,215,887",,"$3,331,279","$273,801","$16,679,130","$789,541",,"$2,097,536",,"$4,189,027","$280,541",,"$767,816","$2,662,560","$209,837,675",,"$79,918","$820,453","$447,618","$255,722",,"$1,184,638","$23,113,416","$27,072,388","$27,627","$2,439,869","$1,823,943","$842,422","$196,400","$4,723,541","$3,167,381",,"$2,954,894","$15,494,242",,"$17,707,642",,,"$241,074","$519,841","$343,355","$5,522,487","$25,942,449",,"$4,890,675","$3,054,048","$122,971","$3,838,206",,,"$2,211,004","$2,909,053","$1,237,102","$3,292,264",,"$985,939",,"$29,333,777","$42,975","$3,514,117","$255,724","$516,582","$2,686,639","$11,367,543","$14,498,253","$3,508,584",,,,,"$11,819,218","$4,793,226",,"$3,452,483","$2,014,415","$3,432,587","$30,243,825","$319,319","$6,472,460",
1371574,,Kosmos (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$78,880",,,"$1,034",,,
1013607,,Idiots and Angels (2008),,,,,,,,,,,,,,,,,,,,,,,,,,"$79,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,739",,,,,,,,,,,,,,,,,,,,,,
1620604,,We Are What We Are (2010),"$161,735",,,$625,,,"$21,226","$34,697",,,,,,"$13,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,547",,,"$77,767",,,,,,,,,,,,,,,,,"$6,540",,,,,,,,,,,,,,"$2,822",,,,"$5,741",,
1339161,,The Robber (2010),"$45,164",,,"$125,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
