imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Baltic States,Bangladesh,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Djibouti,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mauritius,Mexico,Middle East,Middle East Other,Middle East/UAE,Morocco,Netherlands,New Caledonia,New Zealand,Norway,Oman,Pakistan,Palestine,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Tunisia,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0279781,,Sorority Boys (2002),,,"$836,701","$161,561",,,,,,,"$22,620",,,,,,,,,,,,,,,,,,,,,,,,"$145,595",,,,,,,,,,,,,,,,,,,,,,,,,"$268,358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0286162,,Stolen Summer (2002),,,$672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0262432,,George Washington (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,195",,,,
0250305,,Clockstoppers (2002),,,"$122,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$170,830",,,,,,,,,"$10,479",,,,,,,,,,,,,"$303,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$133,972",,"$46,362",,,,,,,,,,"$527,837",,,,
0258000,,Panic Room (2002),"$402,605",,"$5,686,752","$878,959",,,,,,"$1,623,932","$27,646",,,"$295,761",,,,,,"$104,432",,,,"$96,397,334",,,,"$977,724",,"$414,175","$6,659,229","$9,313,172","$287,000","$682,131","$177,195",,,,,"$3,564,539",,"$14,912,266",,,,,,,,,,,"$4,930,761",,,,,"$2,044,403",,"$581,590","$826,304",,,,,,,,,,,,,,,,,,,,"$413,978","$4,298,130","$6,314,630",,,,"$750,054",,,"$732,676",,,"$12,117,419",,,,
0265662,,The Rookie (2002),,,"$51,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$169,406",,,,,,,,,"$11,731",,"$3,967,920",,,,,,,,,,,"$341,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$94,415","$29,100",,,,"$136,643",,,,,,,,,,
0254686,,The Piano Teacher (2001),,,"$9,805","$323,775",,,,,,"$70,623","$6,801",,,,,,,,,"$40,613",,,,"$1,012,069",,,,,,,"$3,310,008","$881,250",,,"$10,919",,,,,,,,,,,,,,,,,,,,,,,"$266,498",,$208,,,,,,,,,"$1,046",,,,,,"$16,020",,,,,,,"$30,569","$550,364",,,,,,,,,,"$236,021",,,,
0279065,,Time Out (2001),"$85,948",,"$12,859",,,,,,,,,,,,,,,,,,,,,"$448,542",,,,,,,"$604,505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,617",,,,,,,,"$24,221",,,,,,
0188128,,Very Annie Mary (2001),,,"$46,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$257,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0068309,,Boxcar Bertha (1972),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,443",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0257756,,High Crimes (2002),"$718,720",,"$1,505,236",,,,,,,"$1,032,830",,,,"$41,877",,,,,,,,,,,,,,,,"$18,788","$1,485,931","$61,558","$252,500",,"$65,684",,,,,"$1,664,424",,"$204,082",,,,,,,,,,,"$2,002,509",,,,,"$241,097",,"$199,498","$31,176",,,,,,,"$6,742",,,,,,,,,,,,,"$325,711","$924,104","$4,542,718",,,,"$196,527",,,"$167,959",,,"$325,739",,,,
0283111,,National Lampoon's Van Wilder (2002),,,"$713,714","$1,011,887",,,,,,,,,,,,,,,,"$134,863",,,,,,,,,,,"$1,023,235","$5,493,187",,"$62,268","$74,608",,,,,"$2,424,221",,,,,,,,,,,,,,,,,,"$693,939",,"$108,761",,,,,,,,"$19,966",,,,,,,,,,,,,"$111,049",,"$159,908",,,,,,,,,,"$2,635,382",,,,
0245407,,Crush (2001),"$27,471",,"$585,183","$110,572",,,,,,,,,,"$3,728",,,,,,,,,,,,,,,,"$21,149",,"$122,320",,,"$15,895",,,,,,,,,,,,,,,,,,"$62,274",,,,,"$68,694",,,"$8,200",,,,,,,,,,,,,,,,,,,,"$18,314",,"$941,802",,,,,,,,,,,,,,
0246134,,Lucky Break (2001),,,,,,,,,,,,,,,,,,,,"$13,883",,,,"$54,606",,,,,,,"$13,086",,,,,,,,,"$612,691",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$264,181",,,,,,,,,,"$1,613,956",,,,
