imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1049948,,Casi divas (2008),,,,,,,,,,,,,,,,"$46,612",,,,,,,,,,,,,,,,,,,,,,,,"$3,693,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655461,,Wild Oats (2016),,,,,,,,,,,,"$20,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$66,982",,,,,,,"$119,374",,,,,,,,,,,,,
1679335,,Trolls (2016),"$2,897,407","$12,962,523",,,"$2,267,137","$323,196","$7,411,095","$569,192","$2,591,493","$7,913,005","$1,726,604","$355,671",,"$960,102","$2,671,694","$154,025,064",,"$578,220",,,"$332,376","$18,495,935","$8,898,705","$713,867","$254,386","$591,358","$292,621","$233,386","$344,620","$1,764,880","$4,911,414",,,,,,,"$439,266","$410,324","$7,286,662","$3,847,213","$1,622,802",,"$2,284,324",,,,"$40,187","$977,426","$989,062","$337,609","$1,404,043",,"$1,168,137","$13,012,294",,"$845,277","$580,239","$267,561","$859,996","$4,481,930","$10,310,875","$2,909,418","$1,602,127",,,"$131,804",,"$1,089,423","$792,874","$1,691,224","$30,263,365","$213,968",,"$247,486"
5278930,,Sky Ladder: The Art of Cai Guo-Qiang (2016),,,,,,,,,,"$277,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2315582,,Una (2016),,"$310,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$85,189",,,,,,,,,,,"$23,644",,,"$32,356",,,,,,,,,,,,,,,"$14,955",,"$18,775",,,
1731755,,Silence (2011),,,,,,,,,,,,,,,,,,,,,"$286,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,995",,,
1472584,,Max Steel (2016),,,,,,"$91,091",,,,"$272,819","$63,035",,,,,,,,,,,,,,,,"$7,314",,,,,,,,,,,,,,,,,,,,,"$5,373",,,,"$7,517",,,"$408,673",,,,"$2,029","$159,564",,,,,,,"$356,847",,"$53,313","$42,869","$83,318",,"$3,215",,
5115004,,Struggle for Life (2016),"$7,663",,,,,,,,,,,,,,,,,,,,,"$667,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0462242,,El custodio (2006),"$107,488",,,,$894,,,,,,,,,,,,,,,,,,"$7,561",,,,,,,,,,,,,,,,,"$40,779",,,,,,,,,,,,,,,,,,,,,,"$6,316",,,,,,,,,,,"$2,354",,
5213534,,Oasis: Supersonic (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,777","$17,048",,,,,,,,,,,,,,,,,,,"$122,185","$48,239",,,,,"$48,620",,,,,"$970,383",,,
4645330,,Denial (2016),,"$466,355",,,,,"$90,371",,,,,,,,,,,,,,,"$950,247",,"$38,925",,,,,,"$88,318","$107,415",,,,,,,,,,"$100,122","$136,082",,,,,,,,,"$28,105","$43,574",,,,,,,,"$57,632","$218,014","$436,374",,,,,,,,,,"$1,159,504",,,
3393786,,Jack Reacher: Never Go Back (2016),"$430,458","$4,775,283","$722,296",,"$673,578","$41,966","$2,784,874","$229,656","$108,927","$8,968,438","$460,127",,,"$118,530","$549,320",,,,,,"$493,063","$7,261,023","$4,223,343","$339,894","$1,569,306","$340,211","$101,711","$1,094,074","$3,043,879","$816,185","$2,059,766",,"$7,870,403",,,,,"$62,186","$1,936,379","$2,426,651","$1,719,007","$895,708",,"$679,021",,,"$822,785","$16,523","$336,624","$1,151,374","$347,696","$620,312",,"$562,644","$3,268,002",,"$1,253,704","$71,509","$48,169","$609,677","$3,856,365","$1,529,132","$1,147,313","$1,210,242",,"$3,616,268","$856,787",,"$739,836","$440,899","$2,775,573","$9,825,861","$23,455","$5,570,780",
