imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,Netherlands Antilles,New Zealand,Nigeria,North Macedonia,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0356910,,Mr. & Mrs. Smith (2005),"$1,785,119","$15,564,796","$4,617,069","$391,124",,"$4,655,460","$80,356","$6,931,590","$261,186",,"$1,006,906","$617,198","$7,508,590","$1,101,866","$384,634",,,"$950,610",,"$2,377,197",,"$362,056",,"$358,450","$339,060","$172,924","$1,103,632","$21,938,141","$25,475,366","$2,963,780","$3,027,991","$1,348,456","$391,792","$1,237,270","$1,114,065","$1,537,666","$9,311,462","$179,741","$38,730,834","$180,615",,,"$196,573","$331,234",,"$201,566","$126,873","$1,072,734","$11,021,415",,,"$4,585,304",,"$2,573,584",,,"$3,546,012","$65,975",,"$600,124","$2,122,998","$2,090,155","$2,346,756","$1,526,901","$161,669","$191,689","$10,102,859","$8,637,197",,"$171,861","$1,581,393","$209,548","$312,130","$2,538,602","$21,583,459","$15,474,522",,"$3,722,457","$4,961,220",,,,"$8,449,213","$2,357,008","$2,095,434",,"$2,014,993","$24,619,123","$121,615","$1,230,169",,
0424774,,The Adventures of Sharkboy and Lavagirl 3-D (2005),"$555,399","$4,385,173",,"$31,677",,"$20,496","$49,049","$2,789,401",,,"$468,253","$438,726",,"$733,683","$64,762","$19,402",,,,,,,"$13,080","$234,901",,"$35,021",,"$303,014","$151,560",,,"$236,701","$57,973","$31,852",,,"$171,042","$27,208","$2,486,113","$7,021",,"$63,045","$52,968",,,"$27,208","$12,811","$95,812","$3,162,038",,,,,"$919,527",,,"$260,603","$5,110",,"$242,792","$99,758","$894,848",,,"$25,033",,"$2,926,829","$2,566,691",,"$16,315","$318,575",,"$139,015","$545,759","$226,364","$1,572,280",,"$208,407",,,,,,,,,"$93,316","$4,104,037","$94,943","$829,380",,
0338095,,High Tension (2003),"$103,082",,,,,"$30,476",,,,,,"$41,491",,,,,,"$20,398",,,,,,,,,,"$700,000",,,,,,,,,"$874,157",,,,,,,,,,,,"$499,236",,,,,,,,,,,,,,,,,,,,,$332,,"$2,575",,,,"$173,642",,,,,,,"$109,758",,,,,"$55,745",,,,
0373908,,The Honeymooners (2005),,,,,,"$8,445",,,,,,,,,,,,,,,,,,,,,,,"$55,510",,,,,,,,"$4,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$104,543",,,,,,,,,,,,,"$128,776","$37,931",,,,
0437407,,Parineeta (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$755,260",,,,
0377084,,Ladies in Lavender (2004),,"$2,824,577","$92,620",,,,,,,,,,,,,,,,,,"$6,765,081",,,,,,,"$241,186","$1,643,139",,,,,,,,,,,,,,,,,,,,"$206,004",,,"$89,024",,"$1,172,023",,,"$12,448",,,,,,,,,,,,,,,,,"$200,000","$44,055","$970,121",,,,,,,,,"$29,895",,,"$6,086,902",,,,
0388139,,It's All Gone Pete Tong (2004),,,,,,,,,"$11,880",,,,,,,,,,,,"$120,620",,,,,,"$6,801",,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,307",,,"$9,770",,,,,,,,,"$2,218",,,,,,,,,,"$43,177",,,,,,,"$45,863",,,,,"$1,347,044",,,,
0387914,,Innocent Voices (2004),,,,,,,,,,,,,,,,,,,,,"$837,878",,,,,,,,,,"$14,181",,,,,,,,,,,,,,,,,,"$1,338,796",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,459","$31,513",,,,,,,"$10,468",,,,,"$38,614",,,,
0043949,,Quo Vadis (1951),,,,,,,,,,,,,,,,,,"$79,923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,563",,,,,,,,,,,,,,,,,
0372784,,Batman Begins (2005),"$1,798,508","$12,262,670","$1,629,100",,,"$1,507,079",,"$7,436,675","$75,626",,,"$948,597","$1,049,000",,,,,"$221,135",,"$2,903,727","$206,863,479",,,,"$206,947",,"$1,276,287","$10,069,984","$7,035,261","$1,454,400","$1,847,378","$266,303","$436,199",,"$422,700",,"$8,366,802",,"$12,375,128",,,,,"$98,849",,,,,"$12,829,600",,,"$1,425,842",,"$1,668,960",,,"$2,272,108",,,,"$1,000,000","$780,360","$978,544",,,"$108,181",,"$1,295,104",,"$50,856",,"$53,004",,"$850,292","$6,380,946","$8,680,753",,"$3,461,355","$1,084,811",,,,"$1,331,204","$1,693,000","$1,052,362",,"$946,702","$21,311,957",,,"$35,962",
