imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1586752,,Machine Gun Preacher (2011),,,,,,"$13,729",,"$56,073",,,,,,"$26,507",,,"$18,981","$17,962",,,,,,"$34,159","$112,734","$18,387",,,,,,,,,"$31,136",,,"$229,377",,,"$20,325",,"$82,997","$27,511","$60,941","$88,166",,,,"$52,843","$15,962",,"$240,132","$150,625",,,,,"$7,425",,,,"$256,492","$1,038,669",,"$197,949",
1521197,,Anonymous (2011),,"$886,278","$132,379",,"$17,752",,,,,"$44,328",,,,"$16,108",,,,,,,"$328,894","$2,227,187",,"$197,542","$13,677",,,,,,"$2,035,154",,,,"$15,941",,,"$73,576",,"$78,471",,,,"$13,142","$133,513","$145,375",,"$2,556,933","$24,504",,,,"$64,968",,"$441,371","$6,382",,,,,,"$114,329","$60,215","$737,043","$22,462",,
0448694,,Puss in Boots (2011),"$856,929","$15,642,773","$6,038,904",,"$4,845,703","$759,691","$24,549,204","$856,378",,,,"$4,357,921","$686,328","$1,777,210","$3,290,897",,"$27,549","$2,239,186","$100,047","$1,956,315","$33,237,577","$34,002,212","$1,701","$2,619,557","$1,828,312","$1,608,811","$125,246",,"$993,944","$2,031,286","$21,400,840",,"$13,758,233",,"$236,421",,"$2,695,167","$17,537,732","$6,049,436","$1,869,689","$12,445","$4,600,259","$3,438,613","$1,423,066","$6,335,147","$3,982,784",,"$50,585,502","$205,073","$2,300,589","$596,953","$580,253","$2,706,645","$15,127,312","$20,653,981","$5,865,486",,,"$875,472",,"$4,086,074","$4,107,338","$1,235,540","$24,035,077","$496,130","$7,267,168",
1183911,,Mr. Nice (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,849",,,,,,,,,,,,,,,,,,,
0471042,,Tower Heist (2011),"$1,329,850","$10,852,306","$725,753",,"$400,204","$51,541","$2,321,339","$138,420",,,,"$447,294","$174,324","$77,627","$691,885",,"$6,349","$156,954","$79,686","$494,743","$1,225,266","$4,430,889","$13,223","$843,221","$361,700","$355,433","$64,453",,,"$1,252,799","$2,238,078",,"$4,056,777",,"$103,525",,"$787,086","$2,687,020","$1,004,516","$549,880","$22,757","$509,061","$559,697","$421,347","$395,570","$913,887",,"$6,876,690","$51,765","$943,791","$15,188","$229,124","$1,184,689","$562,506","$4,331,653","$658,463",,,"$444,773",,"$600,456","$1,013,623","$1,301,402","$7,060,653","$94,956","$1,861,000",
1616195,,J. Edgar (2011),"$725,861","$2,037,881","$241,291",,"$674,231","$16,452","$795,982",,,"$98,667",,,"$59,412",,"$1,862,861",,"$8,468","$82,728","$30,163","$206,300","$11,749,795","$1,492,876",,"$421,633","$165,396",,"$11,633",,,"$247,960","$8,035,717",,"$3,558,295",,"$17,389",,,"$1,525,192","$323,559","$108,904",,"$419,811","$125,987","$49,059",,"$357,298",,"$719,985","$34,134","$143,046",,,"$31,244",,"$4,165,909","$199,857",,,,,"$192,381",,"$186,256","$1,647,423","$66,687","$231,440",
1646980,,The Double (2011),"$225,060",,,,"$66,063",,,,,,,,"$22,676",,,,,,"$39,853",,,,,"$72,797",,"$17,276",,,,,"$749,064",,"$214,699",,"$15,645",,,"$210,390","$102,879",,,,"$191,873",,,"$173,724",,,,,,,,,"$1,819,065",,,,,,"$377,723",,"$272,049",,"$21,098",,
0983193,,The Adventures of Tintin (2011),"$1,440,228","$16,130,802","$1,015,191","$80,366","$9,951,665","$142,978","$10,626,954","$83,663",,"$501,138",,"$701,300","$101,983","$743,990","$6,764,564","$77,591,831","$24,218","$520,233","$183,106","$1,823,781","$53,970,688","$16,561,165",,"$1,157,922","$1,173,051","$230,558","$39,892","$3,002,651","$1,981,881","$552,221","$4,953,944",,"$13,513,900",,"$37,099",,"$1,254,199","$4,217,881","$4,787,909","$4,380,123","$21,528","$2,726,282","$373,724","$416,630","$1,541,223","$2,708,481",,"$8,889,594","$64,727","$2,104,620","$181,682","$17,887","$1,925,706","$5,618,530","$13,565,811","$12,802,714",,,"$587,511",,"$1,703,414","$797,667","$1,641,692","$25,927,543","$188,025","$1,939,398",
1535612,,The Son of No One (2011),,,,,,,,"$50,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$141,270",,,,,,,,"$30,659",,"$536,349",,,,,,,,,,,"$10,997",,,"$18,127","$272,557",,,,
1368491,,Undertow (2009),,,,,,"$7,773","$100,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$169,074",,,,,,,,,,,,"$215,789",,,,,,,,,,,,
