imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Costa Rica,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Guatemala,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,Netherlands Antilles,New Zealand,Nicaragua,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Saudi Arabia,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Switzerland (French),Switzerland (French/Italian),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0343996,,The Lost City (2005),,,,,,,,,,,,,,,,,,,,,,,"$2,484,186",,,,,,,,"$919,229",,,,,,,,,,,,"$89,239",,,,,,,,,,,"$172,179",,,"$86,975",,,,,,,,,,,"$21,393",,"$37,321","$115,732",,,"$29,984",,"$56,326",,,,,,"$1,014",,,,,"$201,818",,,,,,,,,,"$170,458",,,$382,,,,
0456658,,Shanghai Dreams (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,274",,,,,,,,,,,,,,,,,,"$6,468",,,,,,,,,,,,,,,,"$6,071",,,,,,,,,,,,,"$37,818",,,,
0404802,,The Notorious Bettie Page (2005),,,"$60,334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,997",,,,,,,,,,,,,,,,,,,,,,,,"$293,593",,,,
0416471,,American Gun (2005),,,,,,,,,,,,,,,,,,,,,,,"$24,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,040",,,,,
0409034,,Marilyn Hotchkiss' Ballroom Dancing & Charm School (2005),,,,,,,,,"$39,909",,,,,,,,,,,,,,"$349,132",,,,,,,,,,,,,,"$5,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$502,,,,,,,,,"$9,595",,,,,,,,,
0410400,,On a Clear Day (2005),,,"$125,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$120,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$473,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$106,847",,,,
0466909,,The Omen (2006),"$1,040,082",,"$1,872,345","$781,201",,,"$616,702","$77,461","$2,416,224","$101,004",,"$813,210","$840,426",,"$1,009,297",,"$56,531",,,"$149,877","$216,734","$395,847","$54,607,383","$91,344",,"$242,975","$404,940",,"$63,664","$170,627","$2,380,869","$2,761,921","$1,011,096",,,,"$762,509","$203,797","$90,246","$283,485","$532,082","$137,158","$2,128,019","$46,649","$2,249,273",,,,"$56,117","$107,373","$58,818","$88,561","$533,392","$8,297,369",,"$767,432","$479,599",,"$259,143",,,,"$815,005",,,,,"$697,705","$602,485","$679,419","$454,795","$687,050",,"$72,668",,"$5,402,560",,,,"$63,587","$628,207","$49,384","$65,252","$275,367",,"$2,017,221","$4,723,369",,"$893,022","$421,255",,,,,"$895,172","$387,515","$923,480","$650,629","$308,518","$8,050,083","$68,146","$940,408",,
0396688,,The King (2005),,,,,,,,,,,,,,,,,,,,,,"$2,080","$282,183",,,,,,,,,,"$47,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,100",,,,,,,,,"$8,884",,,,,"$198,419",,,,
0457510,,Nacho Libre (2006),,,"$2,424,764",,,,"$33,222","$2,160",,,"$216,889",,"$59,413",,"$41,033",,,,,,,"$15,187",,,,"$47,375",,,,,"$4,760","$133,939",,,,,,,"$84,981",,,,"$5,855",,"$1,040,350",,,,,"$9,546",,,"$247,622","$4,496,886","$115,993",,"$83,018",,"$556,830",,,,"$22,864",,,,,"$160,680","$181,971",,,,,,,"$232,927",,,,,"$381,081",,,"$111,561",,,"$560,650",,"$40,639",,,,,,,"$15,431",,,"$285,813","$7,332,945",,"$97,715","$13,367",
0410297,,The Lake House (2006),"$720,346",,"$4,373,186",,,,"$1,416,731",,"$2,455,147","$60,527",,,,,,,,,,"$129,236",,,,,,,"$80,769",,,,"$2,145,409","$6,474,567",,,,,"$390,999",,"$47,464",,,,"$1,649,852",,"$8,329,971",,,,,"$8,194",,,,"$4,200,000",,,"$914,506",,"$465,826",,,,"$42,975",,,,,"$72,000",,"$433,589","$920,564","$176,000",,"$85,037",,"$1,526,344",,,,"$65,508",,"$49,334",,"$414,967",,"$527,043","$3,922,500",,"$16,085","$1,451,587",,,,,"$675,455","$110,701","$949,752","$193,912","$63,392","$5,278,471",,,,
