imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Panama,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0452592,,Borderland (2007),,,,,,,$651,,,,,,"$26,848",,,,,"$97,182",,,"$37,080",,,,,,,,,,,,,,,"$238,952",,,,,,,,,"$253,200",,,,,,,"$49,486",,,,,,,,,,,,,,,,,,,,,,,,,
0497467,,Vivere (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,"$58,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0435528,,Whisper (2007),"$112,121",,,,,,"$29,005",,,"$60,604","$21,877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$54,778","$1,342,624",,,,,,,"$231,962","$136,830",,,,,"$854,848",,"$15,957",,,,,,,,,,,,,,,,"$365,206",
1465487,,Heartbreaker (2010),"$124,197",,"$551,652","$594,441",,"$143,573",,,"$13,130",,,"$307,840",,"$90,875",,"$132,528",,,,,,,,,"$131,602","$37,273,565","$2,114,901",,"$49,323","$34,873",,,,,,"$729,592",,,,,"$7,667","$12,574","$25,248",,"$63,125",,"$188,672",,,,,"$62,301",,"$523,587","$13,314",,,"$1,380,860",,"$89,491","$39,819","$21,679",,"$199,020","$1,510,738","$24,711",,"$6,149",,,"$123,105",,,"$935,327",,,
1588337,,Of Gods and Men (2010),"$127,416",,"$402,040","$249,734",,"$1,495,806",,"$213,637",,,,,"$93,899",,,,,,,,,,,,"$53,463","$27,211,609","$2,184,948",,,,,,,,,"$1,891,721",,,,,,"$35,547",,,"$123,178","$341,875","$58,997",,"$431,195",,,,,"$476,372","$116,866",,"$5,173",,,,"$31,172",,"$27,544",,"$2,120,166","$230,265","$817,857",,,,"$12,513",,,"$1,073,778","$25,050",,
1536044,,Paranormal Activity 2 (2010),"$2,481,483",,"$6,644,434","$601,750",,"$1,357,059","$210,794","$4,209,747",,,"$910,286",,"$1,513,758","$64,858",,"$286,256","$762,964",,,,"$309,188","$46,001",,,"$295,496","$6,876,138","$4,108,761",,"$461,842","$156,566","$32,147","$31,752",,"$415,949","$238,379","$3,856,430",,"$4,873,810",,,,"$61,800",,"$455,666","$8,185,616","$1,447,753","$625,939",,"$544,319",,,"$967,470","$501,889","$775,725","$346,523",,,"$5,521,308","$39,425","$576,707","$21,141","$87,515","$246,354","$2,318,515","$2,538,034","$836,578","$450,034","$141,704","$149,247",,"$1,177,263","$288,163","$481,555","$17,483,704","$108,517","$930,599",
1600524,,Heartbeats (2010),$791,,"$1,691","$20,656",,"$40,158",,"$31,148",,,,,,,,"$4,078",,,,,,,,,"$4,345","$411,042","$159,828",,,,,,,,,,,,,,"$11,897",,,,,,,,,,,,,"$34,269","$2,739",,,,,,,,,"$29,951",,,,,,,"$6,377",,,"$15,730",,,
0496634,,The Countess (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,581",,,,,,,,,,,,,
0494864,,Tenderness (2009),,,"$66,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,230",,,,,,,,
1212419,,Hereafter (2010),"$1,273,818",,"$2,473,268","$160,255",,"$944,011","$69,359","$3,613,748",,,,,"$443,942",,,,"$86,017",,,,"$98,231",,,,"$180,386","$16,700,888","$1,387,104",,"$1,640,551","$203,907",,"$53,065",,,"$319,396","$11,240,698",,"$8,409,324",,,,,,,"$2,644,498","$136,290",,,"$311,353",,,"$391,612","$173,317",,"$1,029,073",,,,"$29,628","$439,786",,,"$116,507","$296,697","$14,048,686","$85,267","$1,513,391","$334,165","$82,451",,,,"$222,330","$2,244,176","$110,893","$701,301",
