imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kenya,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Norway,Palestine,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,Russia/CIS,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Soviet Union,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies
0277622,,Cet amour-là (2001),,,,,,,,,,,,,,,,,,,,,,,,,,"$418,012","$55,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0275277,,Cowboy Bebop: The Movie (2001),,"$6,636",,,,,,,,,,,,,,,,,"$1,000,045",,,,,,,"$97,496",,,,,,,,,,"$25,429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0304328,,Levity (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$408,577",,,,,,,,,,,,,,,,,,,,,"$28,120",,,,,,,,,,,,,"$76,648",,,,,,,,,,,
0311519,,The Man Without a Past (2002),"$103,583","$8,042","$236,621",,,,,,,,"$31,257",,,,,"$11,858",,,,,,,,,"$1,136,104","$3,494,191","$1,891,196","$132,130",,,,,,,,"$1,090,427",,,,,,,,,,,,,,"$102,980",,"$256,760",,,,"$26,401",,,,,"$50,000",,,,,,,,,"$70,840",,,,,,,,,,,
0305224,,Anger Management (2003),"$620,799","$7,116,457","$1,302,098",,,,,"$66,509",,,"$220,367",,,,,"$230,164",,,,,,,"$77,897",,"$213,614","$1,005,592","$9,634,990","$1,187,000",,,"$307,751",,,,,"$1,585,477",,,,,,,,,,"$4,397,956",,,,"$962,680","$723,578","$720,972",,,,"$495,760",,,,,"$980,764",,,,,,"$790,542",,,"$4,925,648",,,"$177,503",,"$701,589",,,"$9,341,693",,,
0280477,,Better Luck Tomorrow (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,836",,,,,,,,,,,,,,
0297144,,Ghosts of the Abyss (2003),,"$8,024,962",,,,,,,,,,,,,,,,,"$17,040,871",,,,,,,"$95,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$118,114",,,
0251736,,House of 1000 Corpses (2003),"$125,452","$483,183","$128,296",,,,,,,,,,,,,,,,"$12,634,962",,,,,,,,"$136,741",,,,,,,,,"$797,746",,,,,,,,,,"$234,991",,,,,"$92,420",,,,,,"$68,391",,,,"$81,968",,,,,,,,,"$1,663,969",,,$558,,,,,"$71,368",,,
0300140,,Lilya 4-Ever (2002),,,,,,,,"$5,576",,,,,,,,,,,,,,,,,"$195,292","$42,559","$63,593",,,,,,,,,,,,,,,,,,,,,,,,,"$516,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0245803,,Bulletproof Monk (2003),"$233,443","$1,566,435","$161,638",,"$168,729",,"$100,000","$54,569",,,"$47,628",,,,,"$16,969",,,,,,,,"$2,946","$24,133","$402,305","$874,937",,,,,,,,,"$1,750,863",,"$284,595",,"$4,220",,,,"$10,537",,"$486,441",,,,"$131,116","$363,988","$82,656",,,,"$30,222",,,,,"$505,078",,,,,,"$393,125",,,"$2,615,924","$10,245",,"$686,996",,"$80,109",,,"$3,219,040",,,
