imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East/UAE,Morocco,Netherlands,New Zealand,Norway,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Syria,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies,Yugoslavia
0024216,,King Kong (1933),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0089017,,Desperately Seeking Susan (1985),,,,,,,,,,,,,,,,,,,,"$27,398,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0089893,,Red Sonja (1985),,"$2,782",,,,,,,,,,,,,,,,,,"$6,948,633",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0090264,,A View to a Kill (1985),,,,,,,,,,,,,,,,,,,,"$50,327,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,572",,,,
0089489,,Lifeforce (1985),,,,,,,,,,,,,,,,,,,,"$11,603,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0128445,,Rushmore (1998),,,,,,,,,,,,,,,,,,,,"$17,105,219",,,,,,,,"$90,281",,,,,,,,,,,,,,,,,,,,,,,,,$603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0039628,,Miracle on 34th Street (1947),,$527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0083944,,First Blood (1982),,,,,,,,,,,,,,,,,,,,"$47,212,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,088",$214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0095956,,Rambo III (1988),,,,,,,,,,,,,,,,,,,,"$53,715,611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0079817,,Rocky II (1979),,,,,,,,,,,,,,,,,,,,"$85,182,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,695",,,,
0084602,,Rocky III (1982),,,,,,,,,,,,,,,,,,,,"$125,049,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,561",,,,
0089927,,Rocky IV (1985),,"$35,156",,,,,,,,,,,,,,,,,,"$127,873,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,006",,,,
0100507,,Rocky V (1990),,,,,,,,,,,,,,,,,,,,"$40,946,358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0087538,,The Karate Kid (1984),,,,,,,,,,,,,,,,,,,,"$91,077,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,043",,,,
0097958,,National Lampoon's Christmas Vacation (1989),,"$4,595",,,,,,,,,,,,,,,,,,"$74,515,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,905",,,,
0128853,,You've Got Mail (1998),,,,,,,,,,,,,,,,,,,,"$115,821,495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0120863,,The Thin Red Line (1998),"$1,387,015","$2,926,662","$604,205",,,"$1,316,659","$73,027","$1,531,034","$23,688","$257,456",,"$385,103",,"$256,688","$61,696",,,"$187,264","$673,493","$36,400,491","$16,997",,"$38,749","$54,428","$28,337","$445,780","$5,478,423","$5,082,651",,"$831,058","$466,253","$130,554","$69,910","$146,053","$132,136",,"$355,104","$3,472,620","$19,607","$10,581,149",,,"$38,729","$94,570",,"$16,837","$43,903","$171,198","$1,998,018","$121,416",,"$601,140","$403,741","$664,200",,"$8,517","$164,907","$484,252","$213,875","$399,945","$201,358","$32,597",,"$85,536","$244,208",,"$398,414",,"$83,452",,"$1,539,577","$4,097,204",,"$1,144,849","$1,100,317",,"$1,996,266","$379,694","$767,309",,,"$6,604,051","$86,128","$257,000",,
0133751,,The Faculty (1998),,,,,,,,,,,,,,,,,,,,"$40,283,321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0129290,,Patch Adams (1998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0119336,,Hurlyburly (1998),,,,,,,,,,,,,,,,,,,,"$1,798,862",,,,,,,"$9,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0120458,,Virus (1999),,,,,,,,,"$5,849",,,,,,,,,,,"$14,036,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0091225,,Howard the Duck (1986),,,,,,,,,,,,,,,,,,,,"$16,295,774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0091064,,The Fly (1986),,,,,,,,,,,,,,,,,,,,"$40,456,565",,,,,,,"$2,929",,,,,,,,,,,,,,,,,,,,,,,,,,$691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0072271,,The Texas Chain Saw Massacre (1974),,"$1,378",,,,,,,,,,,,,,,,,,"$30,859,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0110978,,Texas Chainsaw Massacre: The Next Generation (1994),,,,,,,,,,,,,,,,,,,,"$185,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0092086,,Three Amigos! (1986),,,,,,,,,,,,,,,,,,,,"$39,246,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0054167,,Peeping Tom (1960),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0132477,,October Sky (1999),,,,,,,,,,,,,,,,,,,,"$32,570,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0151804,,Office Space (1999),,,,,,,,,,,,,,,,,,,,"$10,827,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0070334,,The Long Goodbye (1973),,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0098084,,Pet Sematary (1989),,$671,,,,,,,,,,,,,,,,,,"$57,469,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0085333,,Christine (1983),,,,,,,,,,,,,,,,,,,,"$21,017,849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,665",,,,
0072308,,The Towering Inferno (1974),,,,,,,,,,,,,,,,,,,,"$116,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0063442,,Planet of the Apes (1968),,,,,,,,,,,,,,,,,,,,"$32,589,624",,,,,,,"$6,360",,,,,,,,,,,,,,,,,,,,,,,,,,"$3,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0139134,,Cruel Intentions (1999),,,,,,,,,,,,,,,,,,,,"$38,773,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0049408,,The King and I (1956),,,,,,,,,,,,,,,,,,,,"$21,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0133093,,The Matrix (1999),,"$10,467,858","$115,262",,,,,,,,,,,"$3,906",,,"$590,966",,,"$172,076,928",,,,,,,,"$921,314",,,,,"$11,546",,,,,,,,,,,,,,,,,,,"$391,825",$808,,,,,,,,,,"$647,434",,,,,,,,"$256,979","$134,833",,,,,,,,"$57,221",,"$566,946",,,,
