imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
3324494,,Next Time I'll Aim for the Heart (2014),,,,,"$71,369",,"$10,072",,,,,,,,,,,,,,,,,"$3,335,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550481,,Flamenco Flamenco (2010),"$19,816",,,,"$5,444",,,,,,,,,,,,"$71,732",,,,,,,,,,"$1,051",,,,,,,,,,,,,,,,,,,,,,,,,,"$7,487",,,,"$37,381",,,,,,,"$303,966",,,,,,,,,,,,,
4083572,,Urge (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,680",,,,,,,,,,,,,,,,,,,,
4096620,,Troublemakers: The Story of Land Art (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,109",,,
3065204,,The Conjuring 2 (2016),"$3,894,800","$8,350,708",,,,,"$17,121,025","$70,964",,,"$1,850,000",,"$6,000,000",,"$650,461",,"$102,516,140",,,,,,"$614,645","$11,312,824","$7,300,000",,"$1,700,000",,"$168,583","$9,400,000","$12,500,000",,"$2,966,657","$647,000",,,,,,"$205,541","$3,900,000","$20,425,659","$1,988,298","$1,550,647",,"$2,081,616",,,,,,"$4,200,000","$2,648,144","$717,648",,"$365,740","$4,240,306",,,"$388,891","$71,219","$557,369","$14,127,168","$7,188,139",,"$833,000",,"$131,698","$4,800,000","$1,499,058","$711,000","$183,114","$1,816,630","$15,500,000","$571,957",,
4851640,,The Final Master (2015),,,,,,,,,,,,"$8,551,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5278596,,Weiner (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,479",,,
0995868,,Pele: Birth of a Legend (2016),,,,"$4,286",,"$14,124","$14,311","$5,314",,,,"$4,110,791",,"$3,437",,,,,"$8,987",,,,,,,"$22,338","$142,283",,"$8,567","$276,523",,,"$2,191,284","$313,304",,,"$45,538",,,,,"$170,644",,,,,"$6,545",,,,"$121,556",,,"$6,728","$7,759",,"$105,897",,"$53,802",,,"$13,330",,"$13,062",,,,,,,"$26,644","$6,455","$63,131",,,,
1289401,,Ghostbusters (2016),"$1,322,493","$9,303,411","$703,180","$112,288","$429,467","$140,070","$6,258,580","$72,467","$67,673",,"$568,872",,"$867,426","$81,848","$192,628","$409,771",,,"$448,945","$29,237","$55,429","$4,333","$284,376","$3,611,960","$3,635,143","$174,743","$1,675,097","$171,824","$107,878","$281,759","$2,064,566","$423,331","$2,690,438","$11,926,411",,"$25,004",,"$45,644","$75,796","$22,761","$2,028,401","$6,637,061","$732,480","$1,366,523","$40,416","$652,681","$48,981",,,,"$1,351,999","$1,544,593","$317,721","$321,342","$143,511","$144,342","$4,870,811","$22,171","$1,603,552","$73,894","$18,470","$705,289","$3,693,843","$3,645,960","$1,405,308","$298,601",,,"$1,375,624","$975,579","$450,541","$456,089","$955,125","$14,167,996","$144,903","$164,832","$180,498"
3974790,,Café. Waiting. Love (2014),,,,,,,,,,,,"$1,140,000",,,,,,,,,,,,,,,"$3,012,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$560,025",,,,"$34,800",,,,,,,,,,,,,,
