imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1853728,,Django Unchained (2012),"$2,199,830","$12,420,815","$6,602,147","$125,172","$3,901,448","$73,894","$7,013,509","$229,806",,"$936,855","$2,650,000","$672,871","$318,948",,"$1,317,678","$3,631,718","$162,805,434","$50,410","$109,001","$135,022",,"$1,745,422","$37,297,979","$51,597,323",,"$1,378,573","$667,689","$1,090,120","$216,750","$555,705","$576,440","$2,183,456","$16,283,123","$4,897,256",,,"$164,007",,"$181,343","$4,026,816","$4,512,554","$1,732,847","$249,139","$3,536,650",,,"$424,379","$137,177","$2,695,932","$1,240,971",,,"$16,002,335","$206,835","$410,216","$389,708","$169,402","$482,803","$1,735,782","$14,328,129","$5,723,060",,,"$226,837",,"$943,128","$1,099,289","$790,029","$24,893,462","$207,333","$1,110,832",
1758830,,This Is 40 (2012),"$232,497","$5,115,028","$718,503",,"$181,934",,,"$38,393",,"$40,923",,"$158,278","$58,477",,,,,,,"$44,852",,,"$1,323,427","$2,879,805",,,,"$519,112","$41,874",,,"$149,663","$30,298",,,,"$65,267",,,"$732,613",,"$274,263","$9,384",,,,"$85,709",,,"$527,549",,,"$949,402","$42,743",,,"$153,461","$362,224",,"$716,503","$359,815",,,,,,"$293,973","$273,385","$4,291,296",,,
1792647,,Cirque du Soleil: Worlds Away (2012),"$461,732","$1,136,233",,,,"$52,450","$454,918",,,"$40,190",,"$301,636",,,,,,,,,,,,"$534,052",,,"$20,881",,,,,,"$385,648","$5,667,435",,,"$38,470",,,"$1,083,397",,"$198,767",,,,,"$127,072",,,,,,"$7,991,585",,"$49,917",,,"$16,231",,"$345,837",,,,"$54,664",,,"$292,922","$116,170","$180,992","$37,653","$267,221",
1649419,,The Impossible (2012),"$2,070,606","$4,783,895","$60,949",,"$3,315,459","$123,252","$4,151,580","$94,804",,"$1,588,700","$8,730,000",,"$121,675",,"$172,469","$1,004,538",,"$30,436","$305,931",,,"$249,195","$4,147,373","$286,822",,"$748,586","$1,754,649","$108,285","$220,054",,,,"$4,775,829",,,,"$624,642",,"$810,683","$11,119,679","$1,727,292","$592,095",,"$1,209,258",,,"$973,228","$146,811","$2,860,191","$1,499,446",,,"$1,771,465","$4,210","$894,022","$31,105","$24,038","$270,450","$4,144,670","$54,536,668","$249,114",,,"$884,435",,"$264,213",,"$914,452","$20,705,247","$202,309","$2,231,335",
1707386,,Les Misérables (2012),"$1,260,800","$27,577,953","$1,168,464",,"$846,376","$57,492","$4,938,947","$74,531",,"$329,151","$10,159,425","$377,141","$68,245","$99,496","$875,884","$2,356,990",,"$17,022","$81,198","$83,766","$150,171","$962,895","$1,977,620","$6,490,403",,"$471,704","$5,478,338","$501,859","$83,352","$302,540","$649,135","$392,807","$2,830,260","$65,566,020",,"$101,008","$208,099","$118,392","$718,088","$5,101,227","$2,997,108","$3,205,664","$6,400","$3,015,186",,"$11,107","$581,375","$1,954,694","$1,314,793","$1,047,638",,"$166,122","$3,654,211","$37,561","$2,292,786","$216,056","$59,455","$796,163","$40,636,329","$11,419,085","$3,109,484","$1,234,025","$5,077,309","$632,821","$81,204","$589,131","$351,603","$683,768","$64,489,646","$112,157","$129,124","$274,224"
1230215,,Not Fade Away (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,607",,,,,,
1441951,,Quartet (2012),"$483,260","$8,747,220","$223,114",,"$227,629","$2,430","$432,596","$5,637",,,,"$119,259",,,,"$538,579",,,,,,"$603,478","$1,366,395","$2,562,810",,"$70,228","$55,504","$33,866",$516,,,"$372,085","$1,780,169","$1,679,710",,,,,"$11,752","$570,845","$180,726","$1,946,662",,"$54,413",,,"$22,675",,"$228,046","$88,743",,,"$50,361",,"$32,079",,,"$406,961","$83,345","$999,540","$275,666","$946,967","$5,961",,,"$12,169",,"$8,574","$12,406,069","$63,853","$98,753",
2347497,,Silent Night (2012),,,"$112,027",,,,,,,,,,,,,,"$14,567",,,,,,,,,,,,,,,,,,,,,"$4,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042432,,11 Flowers (2011),,,,,"$2,386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0415607,,The Willow Tree (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,747",,,,,,,,,,,,,,
1600207,,The Eye of the Storm (2011),,"$1,847,312",,,,,,,,,,,,,,,,,,,,,,,,"$13,602",,,,,,,,,,,,,,,,,,,,,,,,"$47,764",,,,,,,,"$37,687",,,,,,,,,,,"$74,758",,,
2205401,,Addicted (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,332",,,,,"$5,684",,,,,,,,,,,,,,,,,"$3,586","$104,886",,,,,,,,,,,,,,"$11,056"
1374985,,Alois Nebel (2011),,,,,,,,,,,,,,,"$541,260",,,,,,,,"$90,580","$23,727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,618",,,,,,,,,,,,,,,,,,,
1838571,,Juan of the Dead (2011),,,$198,,,"$21,901","$6,120",,,,,,,,,,,,,,,,,"$31,773",,,,,,,,,"$97,234",,,,,,,"$74,547",,,,,,,,,,,,,,,,,,,,"$74,004",,,,,,,,,"$1,057",,,
1047540,,Parental Guidance (2012),"$1,324,528","$11,385,883","$493,918","$99,987","$16,022","$171,448","$3,463,978",,,"$550,736",,"$1,129,826",,,,,,"$21,077","$458,092",,,,"$2,321","$1,922,198",,,,,,,,"$254,602",,,,,"$161,630",,"$322,689","$5,225,527",,"$609,606",,,,,"$1,132,985","$100,202",,,,,"$1,987,339","$99,106","$334,821",,"$74,929","$731,552",,"$382,005",,,,,,,"$75,566","$319,164","$7,518,177","$294,361","$1,687,089",
1649433,,Vidal Sassoon: The Movie (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,558",,,
1680059,,Born to Be Wild (2011),,"$669,098",,,,,"$11,857",,,,,"$10,390",,,,,,,,,,,,,,,,,,,,,,,,,,,$237,"$9,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,952",,,
1748227,,The Collection (2012),"$596,595",,,,,"$84,387",,,,"$168,014",,,"$12,627",,,,,,"$75,434",,,,,,,,,,,,,,,,,,,,,"$127,569",,,,,,,"$404,547",,"$69,345",,,,"$1,063,393",,,,,,,"$40,082",,,,,,"$137,029",,"$186,011",,"$6,339","$116,276",
1754078,,Las Acacias (2011),"$113,013",,,,,,"$8,994",,,,,,,,,,"$6,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"$131,165",,,,,"$2,367","$1,588",,,,,,,,,,"$21,896",,,,,,,,,"$68,022","$2,934",,
1194242,,Le vilain (2009),,,,,"$266,124",,,,,,,,,,,,,,,,,,"$14,473,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,488",,,,,,,,,,,,,,,,,,,
1678051,,Soldiers of Fortune (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,542,287",,,,,,,,,,,,,,,"$203,101",,,,
1979319,,Rurouni Kenshin Part I: Origins (2012),,,,,,,,,,,,,,,,,"$32,445",,,,,,,,,,"$119,520",,,,,,,"$36,798,585",,,,,"$24,302",,,,,,,,,"$647,922",,,,,,,,,,,,,,,,"$55,861",,,,,"$8,389",,,
2091473,,Promised Land (2012),,,,,,,,,,,,,,,,,,,,,,"$18,967","$1,262,489","$235,554",,,"$71,522",,,,,,"$428,453",,,,,,,,,,,,,,,,,"$49,799",,,,"$4,192","$15,353",,"$1,521","$32,015",,"$993,892","$85,242",,,"$4,421",,"$21,989",,"$20,008","$195,716",,,
1821427,,Offender (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,600",,,,,,"$2,291",,,,,,,,,,,,,,,,,,"$178,158",,,
0857190,,The Sweeney (2012),,"$206,669",,,,,,,,,,,,,,,,,,,,,,"$168,023",,,,,,,,,,,,,,,,,,"$114,464",,,,,,,,$263,,,,,,,,,,,,,,,,,,"$20,852","$7,171,391",,,
2181931,,English Vinglish (2012),,"$131,959",$500,,,,,,,,,,,,,,,,,,,,,"$57,469",,,"$230,871",,,"$7,234,332",,,,,,,,,,,,"$28,575","$5,453",,,,,,,,,,,,,,,,,,,,,,,,,,"$747,905",,,
1946289,,The Man Who Laughs (2012),,,,,,,"$116,309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$243,690",,,,,"$21,173",,,,,,,,
1675161,,"Guns, Girls and Gambling (2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,196",,,,,,,,,,,,,,,,,,,
0486636,,Odette Toulemonde (2006),"$30,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,354",,
1572315,,Texas Chainsaw (2013),"$291,133",,,,"$90,706","$86,568","$918,813",,,,,"$218,291","$72,491",,,"$209,173",,,,,,"$124,157","$221,215",,,"$92,201","$139,151",,,,,,"$1,809,630",,,,"$58,982",,,"$1,079,050","$229,421",,,"$193,144",,,"$162,098","$57,030","$106,750","$31,308",,,"$1,723,361","$27,378",,,"$47,340","$58,143",,,"$482,678",,,"$301,669",,"$275,964",,"$312,600","$3,125,247",,"$452,949",
1321870,,Gangster Squad (2013),"$540,899","$7,477,123","$231,692",,"$1,132,060","$23,699","$1,028,380","$137,070",,"$105,154",,"$270,531","$93,265",,"$234,504","$622,411",,"$29,415","$109,085","$36,920",,"$222,781","$5,751,984","$2,587,867",,"$676,358","$88,735","$254,275","$65,504","$156,243","$856,158","$222,631","$1,690,641","$2,646,226",,,"$100,791",,,"$3,107,959","$1,650,916","$811,593","$133,080","$1,239,588",,,"$165,883","$195,482","$336,919","$244,062",,,"$4,216,325","$75,935","$785,707","$210,797","$49,967","$388,033",,"$2,102,871","$1,107,062",,,"$216,629",,"$421,248","$340,100","$656,853","$8,209,350","$24,015","$1,092,317",
2112131,,Dabangg 2 (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$171,177",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,526,621",,,
