imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,Israel,Italy,Japan,Jordan,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela
4191054,,Strange Magic (2015),,,,,,,,,,,,,,,,,,,,,,"$12,548",,,,,,,,,,,,,,,,,,,,,,,,,"$141,788",,,"$41,023",,,,,,,,,"$49,259",,,,,
1885331,,Paris-Manhattan (2012),,"$628,145",,,,,"$317,929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$204,856",,,,,,,,,,,,,,,,,,,
1797348,,7 Days in Havana (2011),"$146,106",,,,,,"$121,045",,"$1,975",,,,,,,,,,,,,,,,,,,,,,,,,"$151,696",,,,,,,,,,,"$527,950",,,,,,,,,,,,,,,,,,,
1666801,,The DUFF (2015),,"$2,745,752","$258,881","$17,443",,,,,,,,"$9,562",,"$158,654",,,"$23,791",,"$88,488",,"$1,212,325","$20,083",,,"$28,027",,"$815,219",,"$16,623",,"$39,259","$12,973","$77,968",,,,"$144,665","$3,736",,"$20,806","$111,311",,"$16,923",,"$232,067","$20,752",,,"$44,542","$194,563","$6,168",,"$94,340",,,"$31,133","$67,355","$8,731",,"$39,932","$64,200","$3,053,129",,
2714380,,The Remaining (2014),"$79,948",,,,,"$9,774",,,,,,,,,,"$110,825",,,,,,,,,,,,,,,,,,"$803,222",,,$746,,,"$118,239",,,,,,,,,,"$4,904",,,,,,,,,,,,,,
1945084,,Everly (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,355",,"$8,883",,,,,,,,,,,"$14,956",,,,,,
1724962,,Beyond Outrage (2012),,,,,,,,,,,,,,,,,,,,,,,"$7,964",,,,,"$16,995,152",,,,,,,,,,,,,,,,,"$12,906",,"$7,615",,,,,,,,,,,,,,,,,
2785032,,The Little Death (2014),,"$152,399","$78,937",,,,"$7,158",,,,,,,"$59,671",,,,"$4,961",,,,"$72,829",,,"$5,907",,,,,,,,,,,,"$16,873",,,,"$177,978","$5,991",,,,$220,,,,,,,,,,,,,,,,,,
1693039,,Pinocchio (2012),,,,,"$42,337",,,,,,,,,,,,,,,"$274,636",,,,,,,"$1,639,014",,,,"$1,373",,,"$351,035",,,,,,,"$30,139",,,,,,,,,,"$363,667",,,,,,,,,,"$84,807",,,
0168856,,A Fish Tale (2000),"$49,621","$150,167",,,,,,$251,"$40,463",,,,,,,,,,,,"$2,602,697",,,"$197,793",,,,,,,,,,"$621,326","$1,004,727",,,,,,,,,,,,,,,,"$296,579",,,,,,,,,,,"$67,792",,
