imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
3567194,,Red Dog: True Blue (2016),,"$5,511,973",,,,"$73,898",,,,,,"$45,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$183,098",,,,,,,,"$1,104,314",,,,,,,,,,,,,,,,,,,,,,,,,
4779036,,Don't Blink (2015),,,,,,,,,,,,,,,,,,"$76,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$407,,,,,,,,,,,,,,,,,,,,,,,,
4630550,,The Unknown Girl (2016),"$42,455",,,,,,,"$1,340",,,,"$25,783",,,,,,,,,,,,"$1,250,351",,"$59,771",,,,,,,"$319,391",,,,,,,$302,,,,"$208,856",,"$12,138",,,,,,,,,,,"$2,833","$40,656",,,,"$3,735",,"$171,900","$73,895",,,,,,,"$5,825",,,"$52,160","$10,700",,
3564574,,Eternity (2016),,,,,,,,$433,,,,,,,,,,,,,,,,"$743,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,056",,,,"$61,864",,,,,,"$19,014","$4,022",,,,,,,"$4,452",,,,,,
5157456,,Viking (2016),,,,,,"$13,682",,,,,"$2,116,918","$48,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,833,929",,,,,,,,,,,,,,,,,,,,
4685554,,The Snow Queen 3: Fire and Ice (2016),,,,,,,"$230,118",,,,"$11,554,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,134,561",,,,,,"$2,503,912",,,,,,,,,,,,,,
3746824,,Sheep & Wolves (2016),,,,,,"$71,035",,,,,,"$82,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,353,508",,,,,,"$192,052",,,,,,,,,,,,,,
3606888,,A Street Cat Named Bob (2016),,"$430,790",,,,,,,,,"$7,606,781",,,,,,,"$82,703",,,,,,,,,,,,,,,"$1,096,723",,,,,,,,,,,"$307,802","$462,836","$335,432",,,,,,,"$105,248",,,,,,,,,,,"$167,395",,,,,,"$25,019",,,,"$53,891","$5,378,423",,,
1293847,,xXx: Return of Xander Cage (2017),"$1,382,570","$5,696,807","$1,202,423",,"$1,068,052","$290,761","$6,265,728","$789,554",,"$548,390","$164,066,583","$3,246,048",,"$54,579",,"$230,962","$602,917",,,,,,"$343,016","$7,364,072","$7,078,590","$414,739","$1,717,336","$416,251","$124,129","$8,132,734","$5,083,204","$1,999,918","$2,410,703",,"$4,596,170",,,,,"$43,950","$4,602,674","$6,206,521",,"$1,916,393","$813,343","$783,568",,,"$2,202,502","$83,433","$1,461,755","$1,811,335","$388,747","$1,259,739",,,"$1,359,341","$10,331,216",,"$2,288,542","$143,166","$91,758","$1,707,898","$3,547,334","$2,385,345","$1,080,403","$1,688,354",,"$5,782,620","$1,924,529",,"$1,786,421","$1,183,410","$4,211,138","$4,462,065","$84,463","$308,961",
4030600,,The Bye Bye Man (2017),"$506,303",,,,"$199,000","$42,218",,"$32,214",,"$96,000",,"$313,939",,"$24,000","$9,000","$98,041",,,,"$6,000","$30,000","$17,000",,,"$788,402","$120,000","$43,000","$133,092","$4,552","$84,000","$104,000",,"$644,176",,,,,"$14,000",,"$30,748","$159,000","$115,338",,"$260,000",,"$223,844",,,,"$19,221","$193,900","$68,000",,"$108,000",,,"$121,069","$238,519","$10,100","$43,000","$82,855",,"$62,472",,"$685,903","$114,000",,,"$32,000","$11,000",,"$49,479","$40,089","$272,000","$1,229,000",,,
4116284,,The Lego Batman Movie (2017),"$2,154,082","$8,458,744",,,,"$339,571","$6,400,000","$179,839",,,"$6,114,589","$1,200,000",,,,"$882,966",,"$175,936,671",,,,,"$1,163,369","$5,600,000","$7,400,000","$542,510","$1,100,000","$505,510","$270,413",,"$1,400,000",,"$3,000,000",,"$1,000,000",,,,,"$234,537",,"$8,400,000",,"$3,000,000","$1,385,350","$1,064,934",,,,"$73,184",,,"$2,914,505","$726,843",,,"$356,230","$4,800,000",,,"$448,355","$135,400","$678,966","$1,000,000","$4,800,000",,"$1,400,000",,"$750,000","$105,479",,"$405,000","$360,275","$1,459,173","$34,600,000","$14,391",,
1389139,,When the Bough Breaks (2016),,,,,,,,,,,,,,,,,$735,,,,,,,,,,,,,,,,,,,,,,"$11,687",,,,,,,,,,,,,,,,,,,,,,,,"$465,009",,,,,,,,,,,"$55,281",,,,
5358714,,Good Boy (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,222,772",,,,,,,,,,,,,,,,,,,,
