imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
3471098,,Maggie's Plan (2015),,"$307,173",,,,,"$63,536",,,,,,,"$11,132",,,,,,,,"$344,427",,,,,,,,,,"$306,447",,,,,"$9,473",,"$75,234","$201,182",,,$193,,"$16,816",,"$57,275","$23,101",,,,,,"$8,438","$9,283","$53,471","$326,767","$65,254",,,,,,,"$16,737",,"$7,760","$628,457",,,
1292648,,Plastic Planet (2009),,,"$722,947",,"$2,021",,,,,,,,,,,"$3,164",,,,,,"$4,757","$113,311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$345,,,,,,,,,,,,,
0474361,,Sisters in Law (2005),,,,,,,,,,,,,,,,"$33,312",,,,,,,"$15,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083452,,Eddie the Eagle (2015),"$54,106","$5,896,692","$141,444","$60,004","$105,266","$8,219","$102,978",,"$3,854",,"$970,358","$177,563","$12,680","$80,569","$119,324",,"$74,980",,,,"$108,909","$555,241","$1,231,754",,"$6,829","$288,764","$111,144",,,,,"$57,092",,,,"$22,461","$39,054",,"$337,372","$156,492","$942,938",,"$121,887","$14,458","$63,232",,,"$37,109","$56,402","$70,581","$458,784","$9,169","$197,085","$23,793","$27,226","$70,784","$1,548,478","$53,726","$115,411",,"$24,500","$378,971","$957,020",,"$32,184","$27,324","$129,593","$12,803,022",$895,"$53,508",
4387040,,Airlift (2016),,"$143,440",,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,800,422",,,,,,,,,,,,"$139,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4399594,,Fitoor (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,719,097",,,,,,,,,,,,"$14,820",,,,,,,,,,,,,,,,,,,,,,,,,,,"$191,993",,,
0293567,,Sammy and Me (2002),"$256,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0485634,,The Education of Fairies (2006),"$87,467",,,,,,,,,"$6,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,122",,
1160004,,Lovely Loneliness (2008),"$51,457",,,,,,"$39,856",,,,,,,,,,,,,,,"$25,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243375,,The Dancer and the Thief (2009),"$261,734",,,,,,"$409,772",,,,,"$21,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,172,688",,,,,,,,,,,,,
1760958,,En fuera de juego (2011),"$208,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4019560,,Exposed (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,340",,,,,,,,,,,,,"$46,263",,,,,,,,,,,,,"$23,136",,,,,,,
0870958,,Bloody Reunion (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$68,756","$138,657",,,,,,,,,,,,,,"$7,541",,,,"$2,702,346",,,,,,"$69,647","$107,736",,,,,,,
3478962,,My King (2015),"$52,673",,"$31,532",,"$163,978",,"$66,952",,,"$8,035",,"$60,588","$1,043",,"$16,010",,,,"$19,500",,"$39,274","$5,108,299","$396,009",,"$16,534","$37,595",,,,,"$52,110","$684,640","$54,721",,"$9,301","$7,026","$9,985",,"$171,212",,"$9,659",,"$14,795",,,,"$76,135","$6,542",,,"$275,951","$4,922","$4,540","$5,016","$1,792",,"$36,311","$81,931","$79,029","$207,543","$44,897",,"$19,930",,"$21,541",,,"$24,079",,,
