imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies
0318081,,A Sound of Thunder (2005),,,"$46,371",,,,"$56,741",,,"$20,880",,"$10,590",,,,,,,"$49,527",,,,,,,,,,,,,,,"$16,119",,,,,,"$3,203,941",,,,,,,,,"$953,667",,,"$173,472",,,,,"$53,912",,,"$61,550",,,"$16,333",,"$1,130,387",,,,"$4,539",,,,"$3,635,826",,,,"$244,800",,,"$86,359",,,,
0318725,,Fear and Trembling (2003),,,,,,,,,,,,,,,,,,,"$15,271",,,"$126,684",,,,,,"$83,829","$2,067,677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,752",,,,,,,,
0320193,,Oasis (2002),,,,,,,,,,,,,,,,,,,,,,"$10,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,686,648",,,,,,,,,,,,
0322674,,Twin Sisters (2002),"$87,582",,"$356,589",,,,,,,,,,"$5,256",,,,,,,,,"$1,563",,,,,,,,"$156,454",,,,,,,,,,,,,,,,,,,"$65,313",,,"$4,350,998","$78,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,793",,,
0323807,,"Remember Me, My Love (2003)","$147,589",,"$163,781",,,,,"$1,820",,,,,"$15,842",,,,,,,,,"$227,986",,,,,,,"$900,023",,,,,,,,,"$11,141,221",,,,,,,,,,,"$63,969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,075",,
0325123,,Bright Young Things (2003),,,"$232,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$151,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,587,828",,,
0330099,,The Brown Bunny (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,298",,,,,,,,,,,,,,,,,,,,,,,,
0331811,,11:14 (2003),,,,,,,,,,,,,"$13,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$211,926",,,,,,,"$1,599,704",,,,"$2,342",,,,,,,,
0332831,,Springtime in a Small Town (2002),,,"$14,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0334725,,Wondrous Oblivion (2003),,,"$385,581",,,,,,,,,,,,,,,,,,,"$88,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$97,421",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$319,738",,,
0337103,,Crimson Rivers 2: Angels of the Apocalypse (2004),"$136,863",,,"$426,023",,,,,,,,,,,,,,,"$231,428",,,,,,,,,,"$14,360,058","$3,417,049","$158,700",,"$272,012",,,,,"$4,677,063",,"$2,050,945",,,,,,,,,"$1,992,549",,,,,,,,,,"$438,284","$217,906",,,"$10,266",,"$1,530,000",,,,,,,"$951,651","$556,973",,,"$277,617",,"$22,872",,"$136,239",,,,
