Movie Name,Mexico,United Arab Emirates,Germany,Türkiye,Spain,Malaysia,Netherlands,Norway,Denmark,Austria,Belgium,Lithuania,Romania,Hungary,United Kingdom,Domestic,France,Italy,Greece,Poland,Portugal,Ukraine,Sweden,Finland,South Africa,Switzerland,Bulgaria,Croatia,Lebanon,Estonia,Latvia,Serbia and Montenegro,Nigeria,East Africa,Iceland,Russia/CIS,Taiwan,Philippines,Thailand,Brazil,Argentina,Venezuela,Peru,Colombia,Chile,Uruguay,Ecuador,Bolivia,China,Kuwait,Qatar,Egypt,Bahrain,Oman,Ethiopia,Ghana,Curaçao,Central America,Jamaica,Lesser Antilles,Aruba,Singapore,New Zealand,Israel,South Africa/Nigeria,Australia,South Korea,Puerto Rico,Middle East Other,Czech Republic/Slovakia,Czech Republic,Slovakia,Slovenia,Cyprus,Central America+,Japan,Hong Kong,Indonesia,Vietnam,India,Dominican Republic,Greece and Cyprus,S/E/W Africa,Jordan,Laos,Switzerland (German),Switzerland (French),Switzerland (Italian),Pakistan,E/W Africa,Trinidad & Tobago
Role Models (2008),"$316,587","$135,192","$2,045,464",,"$1,714,036","$60,649","$509,017",,"$314,724","$401,812","$223,891","$35,144","$66,660",,"$12,119,463",,"$346,143","$23,593",,,,"$102,029",,,"$214,599","$127,528","$58,621","$43,093","$19,779","$26,720","$32,730",,"$3,229",,"$80,381","$727,263",,,,,,"$277,708","$86,456","$24,717",,,"$22,267","$5,690",,,,"$15,784",,,,,,,,"$20,252",,"$88,601","$176,632",,"$220,047","$4,494,103",,,,,,,"$126,795",,"$47,750",,,,,,,,,,,,,,,,
Krabat and the Legend of the Satanic Mill (2008),"$158,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$186,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saw V (2008),"$1,029,677","$448,288","$4,874,300","$2,527,650","$5,380,130",,"$458,431","$123,411","$389,822","$942,516","$665,938","$174,527","$135,193","$104,253","$10,436,769",,"$4,134,338","$3,319,993","$872,039","$946,072","$592,687","$171,220","$479,311","$213,270","$124,351","$911,497","$74,830","$76,222","$5,413","$75,256","$76,542",,,,"$8,111","$1,908,728","$509,540","$59,949","$57,179","$2,554,935","$1,076,755","$1,423,000","$198,687","$530,860","$309,625","$21,538","$272,459","$23,167",,,,,,,,,,"$382,148",,,,"$164,707","$187,614",,,"$2,340,224","$798,030","$737,034",,,"$265,450","$42,088","$119,802",,,"$2,935,385","$426,329",,,,,,,,,,,,,,
Sex Drive (2008),"$213,841",,"$134,624",,"$704,430","$73,813","$316,473",,"$459,026",,"$427,393","$138,450","$204,466","$69,229","$2,211,079",,,"$1,951,363","$115,659",,,,"$109,431","$51,240",,,,"$22,624","$20,653","$18,700","$68,266",,,,"$52,555","$664,183",,"$50,901","$93,345","$145,680","$34,790","$212,030","$78,841","$34,361","$24,700","$2,329",,"$26,199",,,,,,,,,,,,,,"$63,379","$83,010",,,"$1,428,008",,,,,"$11,740","$35,571",,,,,"$1,069",,,,,,,,,,,,,,
While She Was Out (2008),"$178,981",,,,,,,,,,,,,,,,,,"$14,891",,,,,,,,"$8,531",,,,,,,,,"$100,213",,,,,,"$105,710","$88,794",,,,,$968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Island (2006),"$32,675",,,,,,,,,,,,,,,,"$426,079",,,,,,,,,,,,,,,,,,,"$2,640,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Hills Chihuahua (2008),"$7,660,801","$256,720","$2,425,811","$157,346","$7,963,722","$306,039","$1,019,753","$547,915","$507,999","$578,983","$1,342,050","$136,136","$86,787",,"$5,497,724",,"$1,593,545","$5,244,509",,"$916,173",,,"$657,256","$200,197","$382,732","$364,186",,,"$69,387","$29,525","$52,556",,"$6,223","$14,985","$74,028","$676,319","$162,917","$223,624","$389,652","$589,395","$1,559,499","$1,431,937","$544,202","$1,562,720","$579,028","$37,378","$623,482","$93,433",,"$105,759",,"$22,715",,,,,,"$846,140",,,,"$537,237","$448,108","$616,065",,"$4,608,097",,,,,,,"$53,738",,,"$362,899","$390,442","$220,212",,,,,,,,,,,,,
Half Moon (2006),"$50,700",,"$49,355",,"$120,552",,"$3,944",,,$636,"$2,434",,,,"$16,068",,,,,,,,,,,,,,,,,,,,,,"$2,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Monkeys (2008),"$50,967",,"$67,089","$736,000","$52,933",,,"$4,844",,,"$3,827",,,,"$118,992",,"$378,815","$180,593","$253,478",,"$4,141",,,,,,,,,,,"$8,718",,,,"$21,139","$17,414",,,"$10,926","$14,566",,,"$10,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,754",,,,,,,,,,,,,,
The Class (2008),"$34,583",$436,"$985,081","$26,933","$1,876,570",,"$642,726","$439,478","$146,474","$285,279","$895,100","$23,770","$5,905",$44,"$1,433,912",,"$13,018,239","$2,223,910","$575,050",,,,"$172,283","$57,902",,"$732,361",,,"$5,958",,,,,,,"$44,042","$16,916",,,"$610,089","$301,798",,,"$92,537","$15,673","$29,544",,"$436,888",,,,,,,,,,,,,,,"$66,219",,,"$275,080","$44,489",,,,,,,,,,"$21,426",,,,,,,,,,,,,,
