Movie Name,Mexico,United Arab Emirates,Germany,Türkiye,Spain,Malaysia,Netherlands,Norway,Denmark,Austria,Belgium,Lithuania,Romania,Hungary,United Kingdom,Domestic,France,Italy,Greece,Poland,Portugal,Ukraine,Sweden,Finland,South Africa,Switzerland,Bulgaria,Croatia,Lebanon,Estonia,Latvia,Serbia and Montenegro,Nigeria,East Africa,Iceland,Russia/CIS,Taiwan,Philippines,Thailand,Brazil,Argentina,Venezuela,Peru,Colombia,Chile,Uruguay,Ecuador,Bolivia,China,Kuwait,Qatar,Egypt,Bahrain,Oman,Ethiopia,Ghana,Curaçao,Central America,Jamaica,Lesser Antilles,Aruba,Singapore,New Zealand,Israel,South Africa/Nigeria,Australia,South Korea,Puerto Rico,Middle East Other,Czech Republic/Slovakia,Czech Republic,Slovakia,Slovenia,Cyprus,Central America+,Japan,Hong Kong,Indonesia,Vietnam,India,Dominican Republic,Greece and Cyprus,S/E/W Africa,Jordan,Laos,Switzerland (German),Switzerland (French),Switzerland (Italian),Pakistan,E/W Africa,Trinidad & Tobago
The Visitor (2008),,"$304,902",,,,,,,,,$798,,,,,,,,,,,,,"$6,611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Escapist (2008),,"$21,484",,,,,"$24,893",,,,,,,,"$283,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,853",,,"$9,849",,,,,,,,,,,,,,,,,,,,,,,,,
Far Cry (2008),,"$26,483","$620,549","$3,754",,"$115,731",,,,"$16,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They Wait (2007),,"$51,129",,,,"$277,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$84,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ong Bak 2 (2008),,"$272,055",,,"$1,096,242","$935,226",,,,,,,,,,,"$2,196,189",,,,,,,,,,,,,,,,,,,,"$11,058","$27,179","$2,923,911",,,,,,,,,,,,,,,,,,,,,,,"$513,006","$31,041",,,,"$154,275",,,,,,,,,,"$672,650",,,,,,,,,,,,,,
Sunshine Cleaning (2008),,"$14,249","$765,397","$86,390","$270,421",,"$360,566",,,"$22,250","$133,355",,,,"$675,115",,"$657,260","$19,064",,,,,"$13,432",,"$95,721","$76,858",,,$742,,,,,,,,"$3,871",,,"$44,260",,,,,,,,,,,,,,,,,,,,,,"$68,620","$461,049",,,"$671,843","$25,187",,,,,,,,,,"$52,042",,,,,,,,,,,,,,
Echelon Conspiracy (2009),,"$133,018",,,,,,,,,,,,,,,,,,,,"$40,413",,,,,,,,,,,,,,"$455,660",,"$38,603","$18,308",,,,,,,,,,,,,,,,,,,,,,,"$115,383",,,,,"$719,388",,,,,,,,,,,,,,,,,,,,,,,,
Boarding Gate (2007),,"$41,452",,,,,,,,,$541,,,,,"$49,333","$448,541",,,,"$5,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$418,,,,,,,,,,,,,,,,,,,,,,,,
Nothing But the Truth (2008),,"$54,036",,,,,,,,,,,,,,,"$2,710","$223,130",,,"$46,180",,,,,,,"$36,190",,,,,,,,,,"$47,586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lucky Ones (2008),,"$14,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Boat That Rocked (2009),,"$25,490","$1,821,517",,"$212,834",,"$166,101","$154,481",,"$270,808","$84,981",,,"$18,864","$10,125,727","$8,017,917","$7,126,759","$1,383,446",,,"$117,566","$81,400","$234,070","$247,077",,,"$23,600","$40,796","$2,553","$9,761","$60,077","$7,549",,,"$27,373","$1,082,277",,,,,,,,,,,,,,,,,,,,,,,,,,,"$582,727",,,"$4,251,228",,,,,"$137,158",,"$34,647",,,,,,,,,,,,,,,,,,
Crank: High Voltage (2009),,"$414,785","$6,890,754","$440,926",,,,,,"$846,591","$29,749","$92,134","$165,632","$87,484","$1,859,343",,,,"$174,370","$72,021",,"$465,690",,,"$64,725","$973,773","$124,119","$43,200","$11,423","$49,777","$80,693",,,,"$44,498","$6,462,224","$314,718","$278,168","$467,826",,,,,,,,,,,,,,,,,,,,,,,"$60,707","$4,834",,,,,,,,"$26,802","$10,477",,,,"$330,849",,,,,,,,,,,,,,,
S. Darko (2009),,"$44,103",,,,,,,,,,,,,"$1,269",,,"$993,083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powder Blue (2009),,"$17,835",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fade to Black (2006),,"$16,252",,,,,,,,,,,,,"$2,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Blue Almost Black (2006),,,"$669,482",,"$931,354",,"$234,327","$167,052","$69,077","$41,664","$21,537","$19,162","$5,748","$5,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flash of Genius (2008),,,"$70,091",,"$20,965",,,,,,,,,,"$96,765",,"$17,454","$60,891","$11,010",,"$7,502",,,"$1,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$72,992",,$942,,,,,,,,,,,,,,,,,,,,,,,,,
Cadillac Records (2008),,,"$81,266",,"$39,781",,,,,,,,,,"$40,454",,,"$22,053",,,,,"$8,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$496,114",,,,,,,,,,,,,,,
Rab Ne Bana Di Jodi (2008),,,"$76,884",,,"$113,194","$135,930",,,,,,,,"$2,178,914",,,,,,,,,,"$151,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,287",,,"$336,797",,,,,,,,,,,,,,"$24,791,233",,,,,,,,,,,
Tuya's Marriage (2006),,,"$789,823","$23,939","$319,208",,"$16,057","$40,587",,"$58,947","$91,020",,"$1,055",,,,,"$758,239","$7,166",,,,"$67,001",,,"$27,637",,,,,,,,,,"$6,326","$2,955",,,,,,,,,,,,"$174,608",,,,,,,,,,,,,,,,,,"$4,050",,,,,,,,,,,,,,,,,,,,,,,,
Ben X (2007),,,"$140,398","$39,070","$5,841",,,,,"$4,430","$2,370,990",,,$61,"$17,958",,"$126,492",,"$4,075",,,,"$1,406","$3,719",,,,,,,,,,,,,,,,,"$27,023",,,"$1,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grocer's Son (2007),,,"$709,353",,"$570,041",,"$19,288","$248,139","$22,453","$59,544","$74,019",,,,"$4,816",,"$1,927,778",,"$8,452",,,,"$307,607",,,"$138,735",,,,,,,,,,,"$62,883",,,,,,,,,,,,,,,,,,,,,,,,,,"$244,491",,,"$432,948",,,,,,,,,,,,,,,,,,,,,,,,,
The Secret of the Grain (2007),,,"$815,402",,"$191,575",,"$228,116",,,"$195,475","$256,275",,,,"$493,245",,"$8,620,554","$2,875,013","$81,555",,"$176,571",,"$96,694",,,"$40,974",,,,,,,,,,"$64,206",,,,"$106,102","$83,642",,,,,,,,,,,"$3,142",,,,,,,,,,,$936,,,"$360,950",,,,,,,,,,,,,,,,,,,,,,,,,
Notorious (2009),,,"$596,015",,"$38,793",,,,,,,,,,"$3,996,758","$36,843,682","$958,594","$209,043",,,,,,,"$141,099",,,,,,,,"$14,178","$16,225",,,,"$4,319",,,,,,,,,,,,,,,,,,"$5,288",,,"$41,320","$34,741",,"$10,813","$143,322",,,"$1,200,290",,"$97,687",,,,,,,,,,,,,,,,,,,,,,"$68,000",
Berlin Calling (2008),,,"$550,645",,,,,,,"$21,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Good the Bad the Weird (2008),,,"$31,733",,,,,,,"$2,182",,,,,"$57,892",,"$807,082",,,,,,,,,,"$3,337",,,,,,,,,,"$23,575",,,,,,,,,,,,,,,,,,,,,,,,,"$59,064",,,,,"$36,008,317",,,,,,,,,"$426,757",,,,,,,,,,,,,,,
Chaos (2005),,,"$9,877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observe and Report (2009),,,"$58,610",,,,,,,,"$18,243","$22,897",,,"$1,025,086",,,,,,,"$67,057",,"$20,720",,,,,,"$15,331","$14,476",,,,"$46,212","$764,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$912,486",,,,,,,,,,,,,,,,,,,,,,,,,
Revanche (2008),,,"$194,654",,,,,"$23,908",,"$282,103",,,,,,,"$24,944","$64,694",,,,,,,,,,,,,,,,,,"$16,341","$21,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moon (2009),,,"$618,426","$18,884","$451,359",,,,,"$76,215",,,,,"$1,813,302",,,"$155,407","$46,487",,"$8,997",,,,,,,"$18,476",,"$4,115",,,,,,"$276,625",,,,,,,,,,,,,,,,,,,,,,,,,,"$34,593","$82,393",,,"$604,525","$84,756",,,,"$19,055",,,,,"$436,329",,,,,,,,,,,,,,,
Mammoth (2009),,,"$31,477",,"$182,455",,"$56,843","$31,817",,,"$24,207",,,,,,,,,,,,"$1,528,299","$113,284",,,,,,,,,,,,"$55,984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fanboys (2009),,,"$156,344",,,,,,,"$6,352",,,,,,,,,,,"$12,075",,,,"$14,223",,,,,,,,,,"$44,580",,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,991",,,,"$2,109",,,,,,,,,,,,,,,,,,,,,,,,,
How to Cook Your Life (2007),,,"$192,604",,"$75,308",,,,,"$18,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billu (2009),,,"$18,156",,"$4,759","$32,813",,,,,,,,,"$739,293",,,,,,,,,,"$51,218",,,,,,,,,,,,"$5,619",,,,,,,,,,,,,,,,,,,,,,,,,,"$13,537",,,"$118,438",,,,,,,,,,,,,,"$6,296,036",,,,,,,,,,,
Flame & Citron (2008),,,"$301,487",,"$140,467",,,"$149,776","$9,210,518","$4,634",,,,,"$62,655",,,,"$25,185",,"$12,060",,,,,,,,,,,,,,,,,,,,"$26,349",,,"$24,732",,,,,,,,,,,,,,,,,,,"$80,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Man Japan (2007),,,"$27,544",,,,,,,,,,,"$2,341",,"$40,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,694,904",,,,,,,,,,,,,,,
O'Horten (2007),,,"$491,038",$187,,,"$4,884","$480,991",,"$11,794","$4,730",,,,"$70,678","$302,232","$262,013","$106,699","$5,073",,,,,"$2,313",,,,,,,,,,,,"$23,829","$12,330",,,,"$13,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 (2008),,,"$249,860","$1,334,204",,,,,,"$33,225","$47,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,092",,,,,,,,,,,,,,,,,,,,"$54,243",,,,,,,,,,,,,,,,,,,,,,,,,
Choke (2008),,,,"$46,621","$184,213",,,,,,,,,,"$255,500",,"$43,950","$22,858",,"$10,779","$7,850",,,,"$18,586",,,,,"$1,346","$12,325",,,,"$5,605","$169,189",,,,"$3,396",,,,,,,,,,,,,,,,,,,,,,"$33,704","$22,692",,,"$147,282",,,,,,,,,,,"$41,361",,,,,,"$28,617",,,,,,,,
Sunflower (2005),,,,,"$2,496","$1,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Christmas Tale (2008),,,,,"$171,096",,,"$75,055","$59,466","$36,828","$28,349",,"$2,576",,"$94,454",,"$5,216,577","$232,740","$11,089",,"$16,479",,"$20,610","$79,201",,"$86,038",$612,,,,,"$4,962",,,,,"$9,076",,,"$28,041","$90,076",,,"$26,001",,"$6,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habana Blues (2005),,,,,"$3,642,445",,,,,,,,"$3,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,245",,,,,,,,,,,,,,,,,,,,,,,,,,"$41,110",,,,,,,,,,,,,,,,,,,,,,,,
Repo! The Genetic Opera (2008),,,,,"$26,079",,,,,,,,"$2,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,939",,,,,"$6,470",$689,,,,,,,,,,,,,,,,,,,
Anvil (2008),,,,,"$11,868",,,,,"$4,050",,,,,"$220,166",,"$26,105",,,,,,,,,,,,,,,,,,"$2,652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,628",,,,,,,,,,,,,,,,,,,,,,,,,
Adventureland (2009),,,,,"$22,550",,,,,"$8,073",,,,"$12,725","$796,548",,,"$31,944",,,,,,,"$22,712",,,,,"$11,422",,,"$3,699",,"$36,497",,,"$9,095",,,"$34,326",,,,,,"$35,989",,,,,,,,,,,,,,,,,,,"$95,215",,,,,,,,,,,,,,,,,,,,,,,,,
In the Loop (2009),,,,,"$611,245",,,"$102,704",,,,"$4,352",,,"$3,545,746",,"$265,573",,,,,,"$123,522",,,,,"$4,609","$2,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$351,070",,,"$382,300",,,,,,,,,,,,,,,,,,,,,,,,,
Nana (2005),,,,,"$2,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$385,649",,"$31,500",,,,,,,,,$814,,,,,,,,,,,,,,,,,,,"$442,039",,,,,,,,,"$33,154,571","$657,283",,,,,,,,,,,,,,
Bab'Aziz: The Prince That Contemplated His Soul (2005),,,,,"$257,291",,,,,,"$6,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Damned United (2009),,,,,"$14,643",,,,,,,,,,"$3,582,592",,"$11,619",,,,"$3,782",,"$5,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,337",,,"$10,208",,,,,,,,,,,,,,,,,,,,,,,,,
The Girlfriend Experience (2009),,,,,"$109,851",,,,,,,,,,,,"$115,585",,,,"$52,979",,,,,,,,,,,,,,,"$18,445",,,,"$54,474",,,,,,,,,,,,,,,,,,,,,,,,,,"$13,767",,,,,,,,,,,,,,,,,,,,,,,,,
Euphoria (2006),,,,,"$4,922",,,,,,,,,,,,,,"$5,857",,,"$22,774",,,,,,,,,,,,,,"$344,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Sick (2006),,,,,"$36,446",,,,,,,,"$62,193",,,,,,,,,,,,,,,,,,,,,,,,$719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Songs (2007),,,,,"$313,300",,,,,,"$39,783",,"$4,503",,"$45,986","$104,567","$2,136,942",,"$6,186",,,"$4,506",,,,"$170,982",,,,,,,,,,"$50,824","$35,665",,,"$53,690","$25,486",,,,,"$2,729",,,,,,,,,,,,,,,,,,,,,"$1,163",,,,,,,,,,,,,,,,,,,,,,,,
Summer Hours (2008),,,,,"$535,824",,"$2,341",,"$19,403","$17,106","$40,971",,,,"$459,758",,"$3,772,116",,,,"$21,123",,"$105,317","$82,987",,,,,,,,,,,,,"$18,291",,,,"$209,214",,,"$22,852","$100,208","$28,880",,,,,,,,,,,,,,,,,"$74,763",,,"$641,751","$25,951",,,,,,,,,,,,,,,,,,,,,,,,
OSS 117: Lost in Rio (2009),,,,,"$17,075",,,,,,"$768,906",,,,,,"$20,857,087",,"$15,911",,,,,,,,,,"$6,506",,"$4,630",,,,,"$164,755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Snow (2009),,,,,"$182,135",,,"$1,670,092",,,,,,,,"$46,742",,,,,,,,,,,,,,,,,,,,"$85,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulpan (2008),,,,,"$56,543",,,,,"$53,845","$18,698",$455,,,,,"$398,691","$104,411",,,"$25,270",,,,,,,,,,,,,,,"$1,930",,,,,"$7,648",,,,,,,,,,,,,,,,,,,,,,,,,"$329,753",,,,,,,,,,,"$10,359",,,,,,,,,,,,,,
"Angus, Thongs and Perfect Snogging (2008)",,,,,,"$33,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,753","$147,927",,,"$1,362,201",,,,,,,,,,"$151,887",,,"$53,032",,,,,,,,,,,,
Soul Men (2008),,,,,,"$9,631",,,,,,,,,,,,"$219,923",,,"$11,500",,,,"$8,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ip Man (2008),,,,,,"$1,448,373",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$801,604","$51,656",,,,,,,,,,,"$13,728,640",,,,,,,,,,,,,"$2,049,498","$10,989",,,,"$548,647",,,,,,,,,,"$3,300,847",,,,,,,,,,,,,,
Make It Happen (2008),,,,,,"$41,443",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$492,825","$63,782","$108,174","$87,261",,,,,,,,,,,,,,,,,,,,,,,"$91,686",,,,"$1,526,207",,,,,,,,,,,"$39,938",,,,,,,,,,,,,,
Chocolate (2008),,,,,,"$247,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,940",,"$2,029,792",,,,,,,,,,,,,,,,,,,,,,,"$377,555",,,,,,,,,,,,,,,"$502,074",,,,,,,,,,,,,,
13B: Fear Has a New Address (2009),,,,,,"$56,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,389,325",,,,,,,,,,,
Kambakkht Ishq (2009),,,,,,"$63,109",,,,,,,,,"$1,170,803",,,,,,,,,,"$83,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,730",,,"$198,579",,,,,,,,,,,,,,,,,,,,,,,,,
Donkey Punch (2008),,,,,,,"$56,166",,,,"$1,901",,,,"$546,963",,,,,,,,"$70,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fear(s) of the Dark (2007),,,,,,,$365,,,,"$18,365",,,,"$13,893",,"$295,093",,,,,,,,,,,,,,,,,,,"$44,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,015",,,,,,,,,,,,,,,,,,
Dry Season (2006),,,,,,,$680,,,"$9,753",,,,,"$17,807",,,"$16,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red (2008),,,,,,,,"$10,974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Synecdoche, New York (2008)",,,,,,,,"$17,810",,,"$19,525",,,,"$875,104","$3,083,538","$24,573","$187,077",,,"$27,163",,"$28,638",,,,,,,,,,,,,"$56,742","$15,398",,,"$80,683","$34,392",,,"$8,385",,"$1,910",,"$77,643",,,,,,,,,,,,,,,,,,"$67,856","$27,681",,,,,,,,,,"$24,283",,,,,,,,,,,,,,
Say That You Love Me (2006),,,,,,,,"$26,819",,,,,,,,,,,,,,,"$471,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Spanley (2008),,,,,,,,"$1,466",,,,,,,"$291,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$222,382",,,"$213,351",,,,,,,,,,,,,,,,,,,,,,,,,
Everlasting Moments (2008),,,,,,,,"$219,794","$400,100",,,,,,"$115,791","$610,825",,,,,,,"$1,863,064","$76,826",,,,,,,,,,,,,,,,,"$30,507",,,,,,,,,,,,,,,,,,,,,,,,,"$17,847",,,,,,,,,,,,,,,,,,,,,,,,,
Ghosts of Cité Soleil (2006),,,,,,,,,"$125,285",,,,,,"$44,407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendy and Lucy (2008),,,,,,,,,,"$21,867",,,,,"$144,356","$865,695","$141,661",,,,,,,,,,,,,,,,,,,,,,,,$340,,,,,,,,,,,,,,,,,,,,,,"$1,264",,,"$17,471",,,,,,,,,,,,,,,,,,,,,,,,,
Momma's Man (2008),,,,,,,,,,"$19,809",,,,,"$3,141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Investigation (2007),,,,,,,,,,,"$37,886",,,,,,"$7,834,362",,,,"$2,564",,,,,,,,,,,$190,,,,"$142,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chop Shop (2007),,,,,,,,,,,"$1,549",,,,,,"$96,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Exterminating Angels (2006),,,,,,,,,,,,"$17,494",,,,,,,,,,,,,,,,,,,,,,,,"$100,000",,,,"$13,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Foot Fist Way (2006),,,,,,,,,,,,,,,"$11,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magicians (2007),,,,,,,,,,,,,,,"$1,751,868",,,,,,,,,,,,,,,,,,,,,"$125,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Express (2008),,,,,,,,,,,,,,,"$14,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbacks of a Fool (2008),,,,,,,,,,,,,,,"$900,575",,,,"$29,021",,,,,,"$16,755",,,,,,,,,,,"$55,110","$21,640",,,"$92,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar (2008),,,,,,,,,,,,,,,"$37,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,204",,,,,,,,,,
The Informers (2008),,,,,,,,,,,,,,,"$23,693",,,,,,"$28,719",,,,,,,,,,,,,,,"$29,762",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fired Up! (2009),,,,,,,,,,,,,,,"$139,720",,,,,,,,,,"$286,235",,,,,,,,$787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$941,069",,,,,,,,,,,,,,,,,,,,,,,,,
Before the Rains (2007),,,,,,,,,,,,,,,"$138,055",,,,,,,,,,"$51,998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$56,134",,,"$33,407",,"$7,473",,,,,,,,,,,,,,,,,,,,,,,
Special (2006),,,,,,,,,,,,,,,"$7,765","$7,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salaam Namaste (2005),,,,,,,,,,,,,,,"$1,277,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$273,735",,,,,,,,,,,,,,,,,,,,,,,,,
Tyson (2008),,,,,,,,,,,,,,,"$18,152",,,,,,,,,,,,,,,,,,,,"$5,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,871",,,"$30,142",,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Metal in Baghdad (2007),,,,,,,,,,,,,,,"$2,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Dick (2008),,,,,,,,,,,,,,,"$12,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo! (2008),,,,,,,,,,,,,,,,"$351,059","$513,295",,,,"$4,535",,,,,,,,,,,,,,,"$51,747","$13,292",,,,,,,,,,,,,,,,,,,,,,,,,"$26,252",,,,,"$207,894",,,,,$383,,,,,"$21,405",,,,,,,,,,,,,,
Ninja III: The Domination (1984),,,,,,,,,,,,,,,,"$7,610,785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobel Son (2007),,,,,,,,,,,,,,,,"$540,382",,"$5,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Square (2008),,,,,,,,,,,,,,,,"$406,116","$66,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$255,784",,,,,,,,,,,,,,,,,,,,,,,,,
The Gravedancers (2006),,,,,,,,,,,,,,,,"$321,875",,,,,,,,,,,,,,,,,,,,,,"$156,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Life and Times of Allen Ginsberg (1994),,,,,,,,,,,,,,,,"$669,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Night of the Living Dead 3D (2006),,,,,,,,,,,,,,,,"$271,000",,,,,,"$165,622",,,,,,,,,,,,,,"$1,013,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,892",,,,,,,,,,,,,,,,,,,,
Filth and Wisdom (2008),,,,,,,,,,,,,,,,,"$170,478","$159,288",,,,,,"$2,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
