Movie Name,Germany,United Kingdom,Austria,France,Netherlands,Switzerland,Denmark,Spain,Italy,Belgium,Norway,Hungary,United Arab Emirates,Poland,Israel,Sweden,South Africa,Finland,Ukraine,Romania,Slovakia,Czech Republic,Croatia,Estonia,Portugal,Iceland,Bulgaria,Lebanon,Türkiye,Slovenia,Lithuania,Latvia,Egypt,Serbia and Montenegro,Greece,Mexico,Brazil,Peru,Ecuador,Argentina,Chile,Colombia,Panama,Bolivia,Uruguay,Paraguay,Australia,New Zealand,Russia/CIS,Hong Kong,India,Singapore,Malaysia,Taiwan,Vietnam,Indonesia,Thailand,Philippines,Domestic,South Korea,Japan,China,Venezuela,Cambodia,Pakistan,Switzerland (German),Switzerland (French),Nigeria,Dominican Republic,Ghana,Jordan,Qatar,Oman
The Edge of Seventeen (2016),,"$675,330",,,,,"$18,572",,"$59,591","$4,901",,,"$128,000",,,,"$84,812",,,,,,,,,,,"$4,020",,,,,,,,,,,,,,,,,,,"$3,123,625","$280,830",,,,,,,,,,,,"$558,706",,,,,,,,,,,,,
When the Lights Went Out (2012),,"$115,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$512,439",,"$468,597","$10,111",,,,,,,,,,,,,,,,,,,"$75,505",,,,,,,,,,,,,,,
Anthropoid (2016),,"$1,015,298",,,,,,"$97,834",,,,,,,,,,,,,"$79,967","$790,284",,,,,,,"$16,499",,,,,,"$19,304",,,,,"$36,150",,"$22,041",,,,,,,"$36,997",,,,,,,,,,,,,,,,,,,,,,,,
Blood Father (2016),,"$85,561",,"$1,403,392","$153,150",,,"$555,825",,,,"$63,504","$923,568",,,,"$163,131",,,,"$19,421","$10,750",,,"$81,790",,,,"$183,580","$2,050",,,,,"$56,367","$323,350","$274,177",,,,,"$85,386",,,,,"$409,696","$50,419",,,,,,,,,,,,,,"$2,057,916",,,,,,,,,,,
Elle (2016),,"$642,158",,"$4,215,020","$954,550",,"$82,607","$948,493","$1,006,440",,"$105,580",,,"$27,490",,"$271,951",,"$73,138","$23,712",,,,"$11,836",,"$82,763",,,,"$18,485","$11,614",,,,,"$182,842","$146,528","$254,385","$20,326",,"$176,195","$19,818",,,,"$18,522",,"$197,734","$7,314","$5,459","$58,306",,"$25,480",,"$44,873",,,"$21,153",,,"$228,704",,,"$30,875",,,,"$193,396",,,,,,
Dough (2015),,"$177,763",,"$77,975",,,,"$15,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$227,837",,,,,,,,,,,,,,,,,,,,,,,,,
Train to Busan (2016),,"$115,915",,"$1,950,833","$61,712",,,"$190,851",,,,,"$53,948",,,,,,,,,,"$9,637",,,,,,"$149,730",,,,,,"$28,730","$1,160,145","$1,451,384",,,"$708,685",,"$309,701",,"$200,612","$20,643","$25,955","$789,242","$97,214","$148,037",,,,,,,,"$2,126,556",,"$2,129,768","$80,466,363","$568,538",,,,,,,,,,,,
Rustom (2016),,"$148,974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$255,492","$166,709",,,,,,,,,,,,,,,,,,,,,,,,,
The Seventh Fire (2015),,$865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Down by Love (2016),,$814,,,,,,,,"$20,596",,,,,,,,,,,"$2,952",,,,,,,,,,"$6,083",,,,,,,,,,,,,,,,,,"$22,660",,,,,,,,,,,,,,,,,,,,,,,,
Sanam Teri Kasam (2016),,"$45,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,318,971",,,,,,,,,,,,,,,,,,,,,,
Baaghi (2016),,"$141,868",,,,,,,,,"$9,058",,,,,,,,,,,,,,,,,,$263,,,,,,,,,,,,,,,,,,"$54,946","$32,260",,,"$10,591,237",,,,,,,,,,,,,,,,,,,,,,
Cold War 2 (2016),,"$14,209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$370,515","$47,663",,,,,,,,,,,,"$7,025",,"$102,197,265",,,,,,,,,,,
Detective Chinatown (2015),,"$8,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$106,304","$15,949",,,,"$125,773",,,,,,,,,,"$125,112,232",,,,,,,,,,,
Dishoom (2016),,"$354,916",,,,,,,,,"$16,478",,,,,,,,,,,,,,"$3,267",,,,,,,,,,,,,,,,,,,,,,"$73,053","$71,471",,,,,,,,,,,,,,,,,,,,,,,,,
God's Not Dead 2 (2016),,"$39,109",,,,,,,,,,,,"$334,658",,,"$107,524",,,,,,,,,,,"$1,141",,,,,,,,"$431,943","$1,491,461","$112,013","$60,074","$22,720","$47,066","$113,976",,"$33,123",,"$25,947","$150,211","$48,849",,,,,,,,,,,,"$231,688",,,"$13,191",,,,,"$4,328","$100,591",,,,
Hockney (2014),,"$252,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$120,745","$102,753",,,,,,,,,,,,,
Housefull 3 (2016),,"$105,588",,,,,,,,,"$20,653",,,,,,,,,,,,,,"$6,769",,,,,,,,,,,,,,,,,,,,,,"$273,088","$211,165",,,"$15,070,245",,,,,,,,,,,,,,,,,,,,,,
Kabali (2016),,"$387,262",,"$70,188",,,,,,,"$28,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
League of Gods (2016),,"$25,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$138,662","$23,710",,,,,,,,,"$397,645","$14,336",,"$34,754",,"$42,682,491",,,,,,,,,,,
Mohenjo Daro (2016),,"$228,462",,,,,,,,,"$10,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$89,071","$37,383",,,,,,,,,,,,,,,,,,,,,,,,,
The First Monday in May (2016),,"$97,817",,,,,,,,,,,"$4,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,666",,,,,"$282,592","$125,221","$7,589",,,,,,,,,,,,,,,,,,,,,,,,
