Movie Name,Domestic,United Kingdom,Italy,Germany,Poland,Spain,Netherlands,France,Finland,Norway,Portugal,South Africa,Czech Republic,Hungary,Türkiye,Romania,Slovakia,Lithuania,Bulgaria,Slovenia,United Arab Emirates,Iceland,Australia,Japan,South Korea,New Zealand,Russia/CIS,Argentina,Brazil,Colombia,Bolivia,Greece,Belgium,Uruguay,Sweden,Lebanon,Austria,Denmark,Croatia,Serbia and Montenegro,Switzerland (French),Ukraine,Oman,Mexico,Peru,Ecuador,Venezuela,Thailand,Taiwan,Switzerland (German),Egypt,Chile,Malaysia,Philippines,Singapore,Hong Kong,Vietnam,China,Israel,Switzerland,Paraguay,India,Bahrain,Panama,Estonia,Latvia,Costa Rica,Honduras,Indonesia,Kuwait,Qatar,Nigeria,Jordan,Kenya,Ghana,Trinidad & Tobago,Dominican Republic,Jamaica,Pakistan,Mongolia,Cambodia
Desert Dancer (2014),,"$2,873",,"$147,865",,"$36,902",,,,,,,,,,,,,,,,,,,,,"$14,002",$301,"$27,304",,"$2,908",,,"$9,336",,,,,,,,,,,,"$7,591",,,,,,,,,,"$33,812",,,,,,,,,,,,,,,,,,,,,,,,,
Mother's Day (2016),,"$1,289,246","$424,052",,"$627,001","$395,405","$1,367,527","$1,393,955","$343,493","$241,189","$201,579","$413,987","$124,241","$263,457","$177,339","$198,387","$146,502",,,"$33,135","$610,230","$80,695","$4,075,446",,,"$445,746","$1,162,802","$364,510","$755,183",,,,,,,,,,,,"$84,897",,,"$1,055,525",,,,"$14,282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snowden (2016),,"$403,867","$1,699,527","$3,215,856",,"$546,321","$381,667","$3,404,632","$159,737","$211,031","$342,720",,"$36,202","$161,845","$207,093","$95,505","$81,731","$26,337","$130,384","$50,732","$720,172",,"$1,199,213",,"$278,313",,"$1,138,571","$57,392","$518,144","$51,196",,"$324,298",,"$21,030",,,,,,,,"$51,512",,,,,,"$254,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratchet & Clank (2016),,"$518,804","$126,659",,"$285,330","$334,963","$244,863","$1,240,710",,,"$86,399","$163,657","$2,653",,"$35,773","$80,408","$31,186","$31,058","$26,444","$8,436","$35,247","$43,727",,,"$303,329",,"$240,205",,"$191,928","$47,114",,,,,,,,,,,,"$34,087",,"$81,172",,,,,,,,,,,,,,"$370,256",,,,,,,,,,,,,,,,,,,,,,,
The Nice Guys (2016),,"$4,913,256","$2,105,444",,"$991,634","$1,336,582","$594,952","$2,781,017","$231,225","$298,374","$291,294","$129,707","$170,211","$502,885","$310,810","$296,647","$112,449","$38,600",,"$23,788","$688,146","$72,300","$4,369,278",,"$134,291","$703,121","$2,456,043","$456,208","$503,289","$90,691",,,,,,,,,,,"$51,566","$151,083",,"$988,779",,,,"$110,988",,"$621,797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Hologram for the King (2016),,"$1,062,859","$277,061","$593,882",,"$621,842","$266,600",,"$102,272","$39,450","$170,727","$24,684","$11,285",,"$131,263","$61,043",,"$31,047",,,,"$2,862",,,,,"$446,151",,"$22,056","$42,628",,,,,,,,,,,,"$50,103",,"$599,891",,,,"$14,229",,"$385,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin and the Chipmunks: The Road Chip (2015),,"$23,908,156","$6,807,266","$6,277,763","$2,797,131","$4,689,711","$4,411,437","$10,949,003","$807,980","$2,532,695","$874,783","$1,218,784","$1,078,914","$451,025","$1,321,278","$201,903","$244,158","$222,932","$287,772","$329,218","$1,731,106","$164,143","$9,690,441",,"$1,713,690","$1,246,533","$3,147,988","$2,005,896","$9,733,314","$676,761","$435,599",,"$2,336,186","$200,052","$3,095,898","$350,472","$1,375,372","$2,198,420","$299,609","$164,571","$499,188","$264,044","$134,719","$7,461,267","$1,723,488","$875,027","$367,668",,"$363,158","$1,264,370",,"$1,104,928","$1,703,820",,"$1,839,365","$1,275,513","$964,094","$9,582,624",,,,"$239,432","$390,744",,"$150,539",,,,,,"$458,015",,,"$73,986",,,,,,,
The Shallows (2016),,"$2,908,236","$2,404,408","$1,477,499","$307,932","$2,545,415","$963,873","$4,136,075","$79,361","$394,036","$374,611","$198,801","$91,838","$302,456","$447,605","$94,587","$71,452","$28,812","$41,141","$62,682","$1,147,394","$31,550","$2,856,421","$1,572,328","$2,793,517","$345,145","$3,137,750","$794,962","$1,576,802","$361,408","$67,323","$174,339","$930,202","$83,790","$146,195","$166,570","$177,753","$226,606","$120,380","$46,854",,"$228,507","$52,060","$3,608,763","$706,526","$245,749","$114,303","$1,607,928","$715,025",,"$216,624","$221,799","$1,557,721","$1,006,837","$361,438","$497,244","$262,107","$15,291,870","$415,453","$75,674","$31,191","$343,130","$122,482",,"$43,505","$22,911",,,"$857,541",,,,"$60,449",,,,,,"$31,925",,"$45,028"
My Worst Nightmare (2011),,,"$620,827","$231,599",,,,"$6,364,190",,,"$12,822",,,,,,,,,,,,,,,,,"$6,594",,,,"$23,227","$819,065",,,,"$126,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imagining Argentina (2003),,,"$281,201",,,"$38,511",,,,,"$10,421",,"$1,782",,,,"$6,715",,,,"$29,430",,,,,,,,,,,,,,,"$6,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
