imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Chile,China,Colombia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Kenya,Kuwait,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
3775086,,They Call Me Jeeg Robot (2015),,,,,,,,,,,,,,,,"$257,657",,,"$2,356",,,,,,"$5,713,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0794338,,Sakuran (2006),,,,,,,,,,,,,,,,,,,,,,,,,,"$5,973,534",,,,,,,,,,,,,,,,,,,,,,,"$56,935",,,,"$106,801",,,,,,,,
1355546,,Ayan (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,046,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3626076,,Rodina (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$691,120",,,,,,,,,,,,,,,,,,
1796652,,Tokyo Family (2013),,,,,"$15,465",,,,,,,,,,,,,,,"$122,781",,,,,,"$16,713,198",,,,,,,,,,,,,,,,,,,"$11,063",,,,"$64,296",,,,,,,,,,,,
3678656,,You're Ugly Too (2015),,,,,,,,,,,,,,,,,"$45,640",,,"$2,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,087",,,,,,,,,,,
2093991,,Elvis & Nixon (2016),,,,,"$11,985",,,,,,,,,,,"$265,796",,,,,,,,,"$285,111",,,,,,,,,,,,,,,,,,"$54,556",,,,,,,"$13,883","$1,559",,,,,"$8,418","$24,025","$77,812",,,
3907314,,The Iron Ministry (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$545,,,,,,,,,,,,,,,,,,
4424228,,The Patriarch (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$913,153",,,,,,,,,,,,,,,,,,,,,,,,,,,
4110568,,Dil Dhadakne Do (2015),,"$380,561","$3,280",,,,,,,,,,,,,,,,,,,,"$13,708,447",,,,,,,,,,,"$81,009",,,,,,,,,,,,,,,,,,,,,,,,"$630,680",,,
2057392,,Eye in the Sky (2015),"$69,061","$2,074,059",,,"$119,785",,"$61,034","$2,523,370",,,,,,,,,,,,,,,,,"$267,257",,,,"$154,649","$20,923",,"$992,418","$447,301","$494,679",,,"$6,233","$72,299",,,"$171,779",,,,"$165,968",,"$5,998","$98,191","$96,934","$1,451,609",,,"$92,372",,"$55,707",,"$429,783","$6,637,511",,"$46,138",
0337708,,The Rocket Post (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$58,112",,,,,,,,,,,,,,,,,,,,,,,,"$6,233",,,
3766394,,"Hello, My Name Is Doris (2015)",,"$27,225",,,,,,,,,,,,,,,,,,,,,,"$86,047",,,,,,,,,,,,,,,,,,,,,,,,"$40,302",,"$52,547","$8,328",,,,,,,,,,
2506388,,Mademoiselle C (2013),,,,,,,,,,,,,,,,"$16,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,391",,,,,,,,"$10,058",,,
2091935,,Mr. Right (2015),,,,,,,,,,"$5,761",,,,,,,,,,,"$12,800",,,,,,,,"$4,371","$14,930","$23,777",,,"$9,558",,,"$11,150",,,,"$16,917","$131,114",,,,"$22,344","$12,672","$57,870","$79,539",,,,,"$17,043","$5,090",,"$147,965",,,,
1992138,,Force (2011),,"$72,907",,,,,,,,,,,,,,,,,,,,,"$4,716,590",,,,,,,,"$11,044",,,"$2,914",,,,,,,,,,,,,,,,,,,,,,,,,,,
4257926,,Miracles from Heaven (2016),"$10,514","$628,508",,,"$752,487","$16,777",,,"$494,995",,"$7,563","$61,705,123","$368,819","$9,632",,,"$105,516","$2,063",,"$248,461",,,,,,"$183,730","$2,173",,"$42,890",,,"$5,708,535",,,"$57,884","$278,715",,,"$259,836","$271,604","$70,659",,,,"$79,412","$85,720",,"$93,805","$100,822","$214,174",,,,,,"$36,658","$35,342","$67,579",,,
4210080,,The Confirmation (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,746",,,,,,,,,,,,,,,,,,,,,,,,,,,
3922816,,The Daughter (2015),,"$1,261,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,398",,,"$94,668","$47,438",,"$5,914",,,,,"$18,554",,,,,,,,,,,,,,,,,"$49,118",,,
4273292,,Under the Shadow (2016),,,,,,,,,,,,,,,,,,,"$6,298",,,,,,,,,,,,,,,"$1,911",,,,,,,,,,,,,,,,,,,,,,,,"$93,215",,,
