Movie Name,Belgium,Argentina,Uruguay,Russia/CIS,Domestic,Brazil,Thailand,South Korea,Spain,Italy,Germany,France,Austria,Norway,United Arab Emirates,Bulgaria,Türkiye,Greece,Portugal,Croatia,South Africa,Slovenia,Iceland,Serbia and Montenegro,Oman,Australia,United Kingdom,Romania,Ukraine,Switzerland,Hungary,Chile,Switzerland (German),Finland,Poland,Slovakia,New Zealand,Singapore,Netherlands,Denmark,Sweden,Lebanon,Switzerland (French),Czech Republic,Lithuania,Latvia,Switzerland (Italian),Kenya,Mexico,Venezuela,Colombia,Peru,Bolivia,Ecuador,Japan,Hong Kong,India,Taiwan,Malaysia,Philippines,Vietnam,China,Qatar,Egypt,Israel,Bahrain,Jordan,Nigeria,Estonia,Ethiopia,Ghana,Cyprus,Panama,Paraguay,Cambodia
"Bystree, chem kroliki (2014)",,,,"$5,237,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Else Men Talk About (2011),,,,"$17,657,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanished Empire (2008),,,,"$1,501,283","$10,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Them Who? (2015),,,,"$16,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Squad (2015),,,,"$84,211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$363,284",,,,,,,,,,,,,
Heart of a Dog (2015),,,,"$23,457","$420,813",,,,,,,,,,,,,,"$25,975",,,,,,,,"$23,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitchcock/Truffaut (2015),,,,"$17,736",,,,"$1,306","$59,068",,,,,,,,"$10,026",,"$1,698",,,,,,,,"$33,571",,,,,,,,,,"$2,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Power of Fear (2006),,,,"$4,890,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schneider vs. Bax (2015),,,,"$6,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Countess (2015),,,,"$937,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babysitting 2 (2015),,,,"$657,311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,496",,,,,,,,,,,,,,,,,,,,,,
Monkey King: Hero Is Back (2015),,,,"$53,091",,,,"$114,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$153,020,000",,,,,,,,,,,,,
To Live! (2010),,,,"$11,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archipelago (2010),,,,"$13,247","$7,791",,,,,,,,,,,,,,,,,,,,,,"$491,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locust (2014),,,,"$431,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
