imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Middle East/UAE,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Syria,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,Yugoslavia
0102370,,Madonna: Truth or Dare (1991),,"$1,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100332,,Paris Is Burning (1990),,,,,,,,,,,,,,,,,,,"$3,905,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0073486,,One Flew Over the Cuckoo's Nest (1975),,,,,,,,,,,,,,,,,,,"$108,981,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$111,909",,,,,,,,,,,,,,,,,"$5,279",,"$16,354",,,,
0080684,,Star Wars: Episode V - The Empire Strikes Back (1980),"$543,211","$3,527,470","$507,939",,"$743,231","$43,644","$1,235,130","$42,981",,"$263,579","$480,424",,"$330,396","$56,486",,"$61,962",,"$586,215","$292,753,960","$100,000",,,"$22,112","$15,560","$326,848","$7,249,448","$7,771,680","$203,995",,"$354,074","$314,183","$6,975","$115,955","$158,756",,"$172,813","$1,449,747","$12,701","$7,615,862",,,"$14,843","$18,050",,"$44,965","$11,097","$156,419","$1,031,797",,,,"$594,082","$662,628","$580,903",,"$8,815","$242,326","$450,766","$682,447","$150,997","$266,850","$70,531",,,,"$36,404","$218,708",,"$19,336","$230,883",,"$894,814","$1,867,304","$928,380","$871,892",,"$468,444","$527,598","$205,998",,,"$11,537,365","$38,882","$92,285",,
0093779,,The Princess Bride (1987),,"$23,926",,,,,,,,,,,,,,,,,"$30,857,814",,,,,,,"$3,478",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,787",,,,,,,,,,,,,,,,,,,,"$14,376",,,,,,,,,"$1,488",,,,
0082971,,Raiders of the Lost Ark (1981),,"$104,978",,,,,,,,,,,,,,,,,"$248,159,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$207,241",,,,
0088846,,Brazil (1985),,"$2,137",,,,,,,,,,,,,,"$2,557",,,"$9,929,135",,,,,,,"$13,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,010",,,,,,,,,,,,,,,,,,,,,,,,,,
0090605,,Aliens (1986),"$472,866","$3,118,350","$139,530",,"$271,368","$25,563","$3,676,920",,"$225,432",,"$145,776",,"$254,344",,,"$12,093",,"$153,466","$85,160,248",,,,"$27,507",,"$65,054","$7,012,907","$4,666,844",,"$72,692","$1,665,181",,"$3,106","$58,668",,,"$180,809","$505,378",,"$9,302,337",,,,"$3,869",,,,"$225,286","$300,044",,,,"$322,381","$192,398","$127,323",,,"$89,023","$179,815",,"$165,294","$293,256","$78,471",,"$184,514","$680,951",,"$624,561",,,,,"$4,406","$674,261","$1,070,417",,,"$1,006,223","$178,600",,,,"$6,636,712","$95,898","$563,720",,
0060196,,"The Good, the Bad and the Ugly (1966)",,"$18,459",,,,,,,,,,,,,,,,,"$25,100,000",,,,,,"$41,390","$12,880",,,,,,,,,,,,,,,,,,,,,,,,,,,$582,"$18,063",,,,,,,,,,,,,,,,,,"$3,992",,,,,,,,,,"$58,521",,,,
0094336,,Withnail & I (1987),,,,,,,,,,,,,,,,,,,"$1,544,889",,,,,,,,,"$15,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$144,076",,,,
