imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Iraq,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0428646,,Hui Buh: Das Schlossgespenst (2006),,,,,,,,,,,"$714,796",,,,,,,,,,,,,,"$12,886,988",,,,,,,,,"$598,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$234,228",,,,,,,,,,,
0385891,,Girls on Top 2 (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$270,000",,,,,,,,,,,,,,,,,,,,
1639093,,Russendisko (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,278",,,,,,,,,,,,,,,,,,,,
2204315,,Saving Santa (2013),,,,,,"$28,111",,,,,,,,,,,,,"$323,355",,,,,,,,,,,,,,,,,,,,,,,,"$680,620",,,,,,"$341,366",,,,,,,"$2,542,740",,,,,,"$1,279,726",,,,,,,,,,,,,"$1,364,628",
0378417,,Night of the Living Dorks (2004),,,"$69,471",,,,,,,,,,,,,,,,,,,,,,"$1,466,934",,,,,,,,,"$285,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0258827,,Girls on Top (2001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$460,000",,,,,,,,,,,,,,,,,,,,
0780568,,My Führer (2007),"$1,330",,"$391,123",,,,,,,,,,"$11,860",,"$14,455",,"$2,465",,,,,,,"$79,752","$6,870,273",,,"$17,277",,,,,,"$145,077",,,,,,,,,,,,,"$12,933",,,,"$38,700",,,,,"$15,997","$1,160",,"$6,880","$5,361",,,"$88,200",,"$54,765",,,,,,,,,,,
1780856,,Stopped on Track (2011),,,"$18,532",,,,,,,,,,,,,,,,,,,,,,"$678,888",,,,,,,,,,,,,,,,,,"$11,408",,,,,,,,,,,,,,,,,,,,"$1,409",,,,,,,,,,,,,
0295375,,More Ants in the Pants (2002),,,"$421,684",,,,,,,,,,,,,,,,,,,,,,"$4,838,417",,,,"$159,780",,,,,"$520,745",,,,,,,,,,,,,,,,,,,,,,"$380,000",,,,,,,,,,,,,,,,,,,,
2764784,,Phoenix (2014),"$6,619","$196,497","$35,735",,"$32,453",,"$4,802","$2,322",,,,"$24,111",,,,,,,,,,,,"$809,167","$704,818",,"$85,838",,,,,,,"$96,375",,,,,,,"$2,261",,,,"$151,940",,$501,,,,,,,,,,,,$836,,,"$62,378","$353,358","$28,175",,,,,,,,,"$58,634","$14,331",,
2626926,,Closed Curtain (2013),,,,,,,"$5,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3305316,,A Second Chance (2014),,"$40,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,588",,,,,"$9,421,528",,,,,,,,"$6,706",,,,,,,,,,"$729,403",,,,,,,,
3302594,,The Mystery of Happiness (2014),"$2,993,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$85,293",,,,,,,,,,,"$129,346",,
2536436,,App (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,217",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$313,990",,,,,,,,,,,,,,,,,,,,
1595366,,What Men Talk About (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,051,411",,,,,,,,,,,,,,,,,,,,
0239450,,Ants in the Pants (2000),,,,,,,,,,"$7,023",,,,,,,,,,,,,,,"$7,476,698",,,,,,,,,"$142,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3485166,,The Pirates (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,494",,,,,,,,,,,,"$64,414,955",,,,,,,,,,,,,,
2952602,,Kung Fu Jungle (2014),,,,,,,,,,,"$18,710,000",,,,,,,,,,,,,,,,,"$1,222,827",,,,,,,,,,,,,,"$2,061,798",,,"$35,724",,,,,,,,,,,,,"$1,402,465",,,,,,,,,,"$468,951",,,,"$39,216",,,,
2393845,,Kill Me Three Times (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,185",,"$12,780",,,,"$50,600"
3469592,,Rise of the Legend (2014),,,,,,,,,,,"$29,290,000",,,,,,,,,,,,,,,,,"$935,847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$706,687",,,,,,,,,,,,,,,,,,
2027136,,Kristy (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$107,848",,,,,,,,"$8,034",,,,,,,,,,,,"$194,416",,,,,,,,,,,,,,
2861532,,A Wolf at the Door (2013),,,,,,,"$168,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$836,,,,,,,,,,,"$6,334",,,,,,,,,"$270,981",,,,
1568343,,The Humbling (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,372",,,,,,,,,,,,"$12,111",,,,,,"$11,999",,
1932695,,"Isoroku Yamamoto, the Commander-in-Chief of the Combined Fleet (2011)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$99,492",,,,,,,"$17,969,314",,,,,,,,,,,,,,,,,,,,,"$41,815",,,,,,,,,,,,,,,,,,,,
0319147,,Casomai (2002),"$131,593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,953,178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2872750,,Shaun the Sheep Movie (2015),"$314,956","$5,041,778","$1,299,587",,"$930,817","$29,722","$368,618","$37,888",,"$89,920","$8,713,376","$100,265","$134,190",,"$468,409",,"$19,375,982",,"$115,638","$13,653","$145,796",,"$830,933","$6,715,152","$11,730,462",,"$139,131","$423,149",,"$34,443","$57,051",,,"$2,689,725","$4,552,326","$31,873",,,"$83,179","$153,702","$125,824",,"$745,588","$1,555,089","$607,005",,"$1,267,996",,"$163,916",,"$1,166,687","$714,822",,"$83,292",,"$1,272,828","$55,921","$377,856","$138,400","$199,026","$164,331","$559,389","$3,157,336","$1,425,094",,"$486,049","$1,783,089","$135,936",,"$544,730","$167,973","$370,256","$21,952,598","$24,790","$905,249",
1969062,,Infinitely Polar Bear (2014),"$1,010","$25,885",,,,,"$36,709",,,,,,,,,"$1,796",,,,,,,,"$162,622",,,"$13,515","$79,302",,,,,,"$246,705",,,,,,"$10,649",,,,,"$51,016",,,,,,,"$5,400",,,,,,,,,,,,,,,,,,,,"$6,119",,,,
1712187,,The Ages of Love (2011),"$272,584","$400,909",,,,"$13,728","$288,885",,,"$44,496",,,,,,,,,,,,,,,,,,"$36,256",,,,,,,,,,,,,,,,,,,,,"$121,417",,,,,,,"$562,899",,,,,,,,,,,,,,,,,,"$83,714",,
2493486,,Last Knights (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$230,073",,,,,,,,,,,,,,,"$54,191",,,,,,"$772,090",,,,,,,,,,,,,"$9,515",,,,,,,
2063011,,The Viral Factor (2012),,,,,,,,,,,,,,,,,"$220,496",,,,,,,,,,,"$2,864,127",,,,,,,,,,,,,,"$1,798,028",,,"$9,397",,,,,,,,,,,,,"$778,284",,,,,,,,,,,"$16,987",,,"$24,695",,,,
1332486,,Kiss Me Again (2010),,"$14,267",,,,,,,,,"$437,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404425,,Woman in Gold (2015),"$348,412","$4,653,694","$259,887",,"$200,532",,"$422,093",,,"$113,163",,"$75,703",,,"$22,475","$1,305,480",,,,,,,"$97,090","$1,683,359","$1,573,115",,"$112,812",,"$18,781",,,,,"$1,091,400","$1,251,653","$2,143",,,,"$32,045",,,"$937,548","$458,646","$1,450,987",,"$83,210","$2,351","$130,719",,"$232,921","$186,081",,,,,,"$13,114","$43,244",,"$218,660","$860,631","$1,484,687","$509,986","$115,088","$175,955","$332,555","$262,927","$47,880","$81,982",,,"$3,878,626","$97,234",,
3399024,,Samba (2014),,"$306,771","$268,977",,"$1,667,788",,"$537,929",,,,,"$57,015","$15,078",,"$42,091","$228,762",,,,,"$12,607",,,"$24,245,847","$2,434,309",,"$107,440",,"$22,710","$29,374",,,,"$955,266",,,,,"$17,721","$14,413","$7,295",,"$162,071","$2,064,910","$107,909",,,,,,"$258,956","$228,709",,,,"$250,872",,,,"$4,687",,"$234,814","$2,494,011","$35,183",,"$1,072,774","$1,121,080",,,,"$19,796",,,,,
0382295,,Seven Dwarves (2004),,,"$5,322,380",,"$145,545",,,,,,,,,,,,,,,,,,,,"$48,726,183",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,067,284",,,,,,,,,,,,,,"$2,871,961",,,"$16,580",,,,,,,,
2962876,,The Road Within (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,661",,,,,,,,,,,,,,"$15,031",,"$8,324",,,,,,,,,,,"$6,532",,,,,,,
1272051,,Space Dogs (2010),,,,,,,,,,,,,"$36,150",,,,"$14,408",,,,"$8,721",,,,,,"$156,113",,,,,,"$221,361","$20,729",,,,,"$17,506","$10,542","$15,415",,,,,,,,,,"$1,308,603","$23,609",,,"$6,221,940",,,,,,,"$240,726",,,,,,,,,"$175,732","$82,280",,,,
2876428,,"Good Day, Ramon (2013)",,,,,,,,,,,,"$50,716",,,,,,,"$60,161",,,,,,,,,,,,,,,,,,,,,,,,"$4,832,599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,036",,
1964418,,Tomorrowland (2015),"$1,760,538","$3,397,228","$444,682","$70,528","$700,466","$151,240","$2,784,174","$150,631",,"$734,487","$19,240,000","$873,302","$55,177",,"$123,651","$603,740",,,"$840,948","$168,374","$60,463",,,"$6,535,891","$3,162,814",,"$283,693","$1,860,305","$184,818","$46,761","$406,983",,"$351,908","$3,415,898","$10,255,853","$47,045","$29,558",,"$35,778","$156,914","$47,922","$1,952,169","$5,671,204","$811,291","$593,547","$42,141","$228,891","$89,288","$1,038,299","$2,488,622","$1,079,509","$539,593","$155,025",,,"$7,164,018","$26,438","$1,931,395","$75,458","$32,040","$216,818","$1,804,359","$4,845,253","$641,267",,"$270,539","$359,445","$2,275,297","$1,476,090",,"$555,540",,"$7,740,556","$86,279","$1,539,781","$590,773"
2376218,,The Forger (2014),,,,"$19,165",,,,,,,,,"$8,887",,,,,,,"$13,475",,,,,,,,,,,,,,"$65,987",,"$4,221",,,,"$39,839",,,"$264,604",,,,,"$10,534",,,,,"$9,224",,,,,,,,,,,,,,,,,,,"$64,368",,,,
