imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela
1275590,,De l'autre côté du lit (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$459,206",,,,,,,,,,,,,,,,,
1733105,,Up & Away (2012),,,,,,,,,,,,"$64,148",,,,,,,,,,,,,,"$18,404",,,,,,,,,,,,,,"$9,920",,"$57,815",,,,,,,,,,,"$18,439",,,,,,,,,,,,,,,
2852400,,A Touch of Sin (2013),,,,,"$66,282",,"$36,530",,,,,,,,,,,,,,,"$329,657","$21,695",,,,,,,,"$33,461",,,,,,,,,,,,,,,,,,"$17,965",,,,,,,,,"$127,805",,,,,,,,"$67,376",,
2263058,,More Than Honey (2012),,,"$371,958",,"$36,892",,"$3,769",,,,,,,,,"$79,772",,,,,"$10,904",,"$1,092,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,279","$9,251",,,,,,,,,
1894476,,How I Live Now (2013),,,,,,,,,,,,,,,,,,,,,,"$85,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,822",,,,,"$5,063",,"$11,447","$746,312",,
1698648,,Girl Most Likely (2012),,,,,"$82,537",,"$30,790",,,,,,,,,,,,,,,"$226,791",,,,,,,,,,,,,,,,,,,"$36,978",,,,,,,,"$39,063",,,,,,,"$26,733",,,,,,,,,,"$264,134",,
2094018,,Hours (2013),"$145,308",,,,,,,,,,,,,,,,,"$11,757",,,,,,,,"$87,754",,,,,,,,,,,,,,,,,,,,,"$34,950",,,,,,"$70,500",,,,,,,,,,,,,,"$6,229",
1673376,,Free the Mind (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,715",,,,,,,,,,,
2299842,,Pieta (2012),,,"$2,049",,,,"$17,173",,,,,,,,,,"$2,274,727",,,,,,,,,"$16,599",,,,,"$582,059",,,,,,,,,,,,,,,,,"$9,917",,,"$46,256",,,,,,"$3,635,108",,,,,"$1,853","$8,475",,,,,
1726888,,Clandestine Childhood (2011),"$907,322",,,,"$19,081",,"$171,152",,,,,,,,,,,,,,,,,,,,,,,,"$18,071",,,,,,,,,,"$5,001",,,,,,,,,,"$4,771",,,,,,,"$77,939",,,,,,,,,,
1836808,,Great Expectations (2012),,"$323,746","$12,093",,"$22,880",,,,,,,,,"$28,376",,,,,,,,,"$83,379",,"$115,514",,,,,,"$373,096",,,,,,,,,,,"$140,770",,,,,,"$7,618","$23,903",,"$209,884",,"$38,757",,,"$72,673",,"$820,878",,,,,"$31,670",,"$63,489","$3,575,497",,
1621039,,Free Birds (2013),"$1,628,546","$5,196,966","$765,355",,"$103,098","$173,674","$4,626,987","$103,288",,"$338,336","$7,990,000","$718,925",,"$274,568",,,"$2,639",,"$12,766",,,,"$3,952,862",,"$238,177","$58,105","$235,987","$60,209",,,"$1,522,249",,,,,,"$12,961",,"$362,875","$1,808,282","$51,069",,,,,"$684,196","$37,105","$2,104,068","$913,644",,"$5,914,861","$64,636","$150,612","$198,721","$186,221","$501,791","$704,951","$1,245,474",,,,"$104,657","$417,393","$202,713","$679,520","$4,380,164","$216,529","$1,426,211"
1678040,,Bed & Breakfast: Love is a Happy Accident (2010),,,,,,,"$268,678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0387596,,Silmido (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,540,528",,,,,,,,,,,,,,,,"$16,306",,,,,,,,,,,,,,,,,,,
