Movie Name,Hong Kong,United Kingdom,Italy,France,United Arab Emirates,Poland,Greece,Portugal,Lebanon,Ukraine,Croatia,Iceland,Serbia and Montenegro,Oman,Spain,Russia/CIS,Singapore,Vietnam,Thailand,Malaysia,Philippines,South Korea,New Zealand,China,Domestic,Germany,Netherlands,Belgium,Sweden,Austria,Switzerland (German),Israel,Denmark,Norway,Finland,Czech Republic,Türkiye,Hungary,South Africa,Switzerland (French),Switzerland,Slovakia,Romania,Ghana,Lithuania,Bulgaria,Slovenia,Latvia,Estonia,Jordan,Egypt,Kenya,Nigeria,Mexico,Brazil,Argentina,Venezuela,Chile,Colombia,Peru,Ecuador,Uruguay,Bolivia,Japan,Australia,Taiwan,India,Ethiopia,Russia,Indonesia,Cambodia,Qatar,Bahrain,Pakistan
The Gallows (2015),,"$1,165,784","$829,405","$377,354",,"$317,883",,,"$61,199",,,"$21,442",,,"$876,570","$1,371,164","$114,519",,,"$207,897","$164,830",,"$157,934",,,"$399,253","$175,364",,,"$193,802",,,,"$187,609",,,,,"$52,080",,,"$32,352",,,"$40,920",,,"$14,073",,"$54,811",,,,"$2,429,647","$752,693","$2,160,289","$1,223,583","$380,543","$656,393","$451,178","$279,831","$61,446","$147,892",,"$736,731","$523,267","$42,877",,,,,,,
Finding Fanny (2014),,"$315,316",,,"$425,039",,,,,,,,,,,,,,,,,,"$23,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,211",,,,,,,,"$40,746",
The Second Mother (2015),,,"$240,666","$170,795",,"$8,083",,"$25,049",,,,,,,"$272,216",,,,,,,"$9,833",,,,"$467,274","$41,878",,,"$29,945",,,,"$22,050",,,"$10,491",,,"$23,181",,,,,,,,,,,,,,,"$1,297,282","$7,831",,,,,,,,,,,,,,,,,,
Back to the Jurassic (2012),,,"$714,589",,"$135,409","$986,644",,"$65,072","$27,191",,,,,,,"$721,787",,,,"$46,803",,"$1,831,658","$29,852",,,"$57,186",,,,"$14,258",,,,,,"$142,739","$436,473","$41,443","$220,966",,,"$78,198",,,,,,,,,,,,"$386,586",,"$102,492",,"$133,870","$63,084","$58,935",,"$13,068","$30,707",,"$79,918",,,,,,,,,
Gemma Bovery (2014),,,"$91,263","$3,956,458",,,"$30,124","$12,797","$4,023",,,,"$2,524",,"$102,066",,,,,,,,"$36,775",,,"$106,437",,"$1,913",,"$28,518",,,,"$2,927",,,,,,,,,,,"$1,715",,"$18,231","$3,088",,,,,,,"$33,598","$20,535",,,,,,,,,,,,,,,,,,
"Thelma, Louise et Chantal (2010)",,,"$10,069",,,,,,,,,,,,,,,,,,,,,,,,,"$19,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As God Commands (2008),,,"$4,496,101",,,,,,,,,,,,,,,,,,,"$10,253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giulia Doesn't Date at Night (2009),,,"$1,118,316",,,,,,,,,,,,,,,,,,,,,,,"$7,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Red and the Blue (2012),,,"$1,720,151",,,"$6,203",,,,,,,,,,,,,,,,,,,,"$2,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Worst Week of My Life (2011),,,"$16,454,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men Vs Women (2010),,,"$18,452,860",,,,,"$10,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escort in Love (2011),,,"$11,471,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorelle mai (2010),,,"$429,931",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,550",,,,,,,,,,,,,,,,,,,
Every Blessed Day (2012),,,"$2,717,393",,,,,,,,,,,,"$24,659",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,597",,,,,,"$1,820",,,,,,,,,,,,
"White as Milk, Red as Blood (2013)",,,"$4,191,786",,,"$2,126",,,,,,,,,"$12,431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Can Quit Whenever I Want (2014),,,"$5,482,323",,,,,"$2,332",,,,,,,,"$54,755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Devil's Violinist (2013),,,"$175,418",,,,,,,,,,,,,,,,,,,"$115,271",,,"$11,294","$2,802,028",,,,"$407,720",,,,,,,,,,,,,,,,,,,,,,,,"$534,750",,,,,,"$22,937",,,,,,,,,,,,,,
Remember Me? (2014),,,"$1,005,018",,,,,,,,,,,,"$15,266",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Best Things in the World (2010),,,"$5,617",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,214,499",,,,,,,,,,,,,,,,,,,
"Zoran, My Nephew the Idiot (2013)",,,"$798,582",,,,,,,,,,,,,,,,,,,,,,,"$20,116",,,,"$15,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,426",,,,,,,,,,,,,,,
The Journey Home (2014),,,"$2,677,436",,,,,,,,,,,,,,,,,,,,,"$338,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andiamo a quel paese (2014),,,"$9,437,265",,,,,,,,,,,,,"$25,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Man Who Will Come (2009),,,"$2,997,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,838",,,,,,,,,,,,,,,,,,
La seconda notte di nozze (2005),,,"$4,235,042",,,,,,,,,,,,"$158,537",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutta la vita davanti (2008),,,"$5,648,340",,,,,,,,,,,,,,,,,,,,,,,,,,,"$69,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Prodigies (2011),,,,"$1,279,882",,,,"$1,026",,,,,,,,,,,"$3,526",,,,,,,,,"$63,529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Party (2014),,,,"$11,264",,,,"$27,834",,,"$14,231","$6,224",,,,,,,,,,,,,"$4,571",,,,,,,,,,,,,,,,,,,,"$18,012",,,,"$36,127",,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Boys (2013),,,,"$122,760",,,,,,,,,,,,,,,,,,,,,,,,"$24,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaffa (2009),,,,"$531,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,792",,,,,,,,
Battle of the Brave (2004),,,,"$113,169",,,,,"$1,744",,,,,,"$333,655",,,,,,,,,,"$1,599,716",,,,,,,,,,,,,,,,,$714,"$5,734",,,"$2,561",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous les soleils (2011),,,,"$3,828,067",,,,,,,,,,,"$323,007",,,,,,,,"$18,312",,,,"$268,504","$197,142",,,,,,,,,"$52,429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Président (2006),,,,"$2,045,056",,,,,,,,,,,,,,,,,,,,,,,,"$20,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,078",,,,,,,,
Larry Gaye: Renegade Male Flight Attendant (2015),,,,,"$65,100",,,,,,,,,,,"$5,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin Trade (2014),,,,,"$79,286",,,,,,,,,,,,"$142,666","$45,460","$141,329","$185,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Meals (2010),,,,,,"$9,673",,,,,,,,,"$447,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,780","$58,004",,,,,,,,,,,,,,,,,,,
Madame Bovary (2014),,,,,,,"$22,610",,,,,,,,"$108,333",,"$8,832",,,,,"$41,290","$77,294",,,"$35,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$320,749",,,,,,,,,
Beloved Sisters (2014),,,,,,,,"$4,465",,,,,,,,,,,,,,,"$6,050",,"$54,030","$2,293,203",,,,"$40,753",,,,,,,,,,,,,,,,,,,,,,,,,,"$13,644",,,,,,,,,,,,,,,,,,
