Movie Name,United Kingdom,Spain,Germany,France,Netherlands,Italy,United Arab Emirates,Poland,Sweden,Greece,Belgium,Norway,Israel,Denmark,Türkiye,Ukraine,Portugal,Bahrain,Austria,South Africa,Hungary,Finland,Lebanon,Egypt,Czech Republic,Nigeria,Croatia,Slovakia,Bulgaria,Iceland,East Africa,Slovenia,Serbia and Montenegro,Mexico,Brazil,Venezuela,Argentina,Peru,Colombia,Chile,Ecuador,Uruguay,Bolivia,Australia,Japan,Russia/CIS,Singapore,Hong Kong,South Korea,New Zealand,India,Philippines,Thailand,Malaysia,Domestic,Latvia,China,Oman,Taiwan,Kuwait,Lithuania,Ghana,Romania,Switzerland,Estonia,Central America,Jamaica,Jordan
Delivery Man (2013),"$5,146,759","$246,511","$539,436",,"$602,041","$183,981","$647,243","$99,886","$315,729","$43,348","$200,623",,,"$107,903","$13,398","$357,203","$337,092",,"$464,509","$414,758","$537,685","$351,897","$105,604","$45,513","$78,134",,"$97,883","$78,429","$101,228","$48,419","$5,661","$56,326","$21,064","$982,184","$672,846","$949,005","$253,368","$421,403","$249,197","$33,946","$195,677","$97,662","$64,680","$2,997,656",,"$2,874,407","$360,475","$198,490",,"$305,402",,"$155,001","$62,231","$334,347",,,,,,,,,,,,,,
Charlie Countryman (2013),"$19,482",,,"$35,958",,,,,,,,,,,,,,,,"$10,945",,,,,,,,,,,,,,,,,,,,,,,,,,"$340,788","$9,865","$13,117",,,,,"$2,081",,,,,$104,,,,,,,,,,
Krrish 3 (2013),"$1,325,600",,,,,,,,,,,,,,,,,,,,,,,"$9,455",,,,,,,,,,,,,,,,,,,,"$391,029",,,,,,"$140,341",,,,"$112,245",,,,,,,,,,,,,,
Frozen (2013),"$110,513,107","$22,492,845","$48,286,887","$46,942,953","$10,579,064","$26,421,884","$3,141,631","$7,350,813","$9,736,009","$2,178,786","$7,925,750","$7,526,458","$2,337,875","$7,765,713","$4,732,212","$2,866,139","$3,008,947",,"$5,289,644","$2,659,920","$2,049,003","$2,513,372","$606,538","$704,264","$1,558,657","$167,333","$502,739","$1,218,850","$1,404,187","$351,299","$91,624","$447,119","$425,123","$25,732,202","$21,741,637","$12,514,904","$11,554,864","$3,410,542","$6,268,454","$5,232,894","$2,479,144","$675,917","$809,530","$25,659,632","$249,036,646","$33,436,103","$3,841,382","$2,579,735","$65,508,608","$4,447,074","$610,925","$2,690,603","$1,454,495","$3,618,668","$400,953,009",,"$48,240,000",,,,"$576,724",,,,,,,
Inside Llewyn Davis (2013),"$4,104,571","$1,772,335","$2,772,115","$4,275,202","$586,784","$3,067,823","$1,857","$201,266","$96,944","$62,643","$388,376",,,,"$55,081",,"$101,178",,"$202,466",,,"$28,938",,,"$10,686",,"$11,978",,"$5,735","$6,393",,"$25,186",,"$112,676","$129,677","$23,133","$54,286","$11,516","$30,017","$17,551","$2,363","$5,991",,"$859,032",,,"$18,909","$42,376","$503,187","$79,780",,,"$25,095",,"$13,235,319",,,,,,,,"$24,930",,,,,
The Wolf of Wall Street (2013),"$37,413,041","$16,461,083","$30,310,346","$26,445,099","$8,168,147","$15,963,169","$1,338,616","$6,191,181","$5,486,006","$1,602,392","$5,680,568","$4,017,972",,"$4,330,893","$1,129,548","$624,277","$1,779,013",,"$4,185,278","$1,108,217","$2,454,420","$1,724,405","$463,239","$340,013","$1,988,254",,"$987,312","$681,292","$628,141","$323,444",,"$602,540","$245,324","$5,706,398","$6,166,455","$1,117,829","$2,703,372","$674,415","$1,272,546","$924,204","$264,736","$305,512","$2,695","$36,761,045","$8,297,398","$13,717,171","$1,270,281","$4,006,916","$3,991,687","$2,250,429",,"$213,469","$629,947",,"$116,900,694",,,,"$4,057,365",,,,,,,,,
Homefront (2013),"$1,841,216","$1,908,166","$2,545,669","$5,339,668","$807,696",,"$1,290,622",,,"$321,856","$953,704",,,,,"$356,157","$361,602",,"$583,524","$319,327","$74,659","$85,323","$239,716",,,,"$44,683",,"$256,025","$38,639",,"$48,990",,"$924,367","$138,212","$561,622",,"$153,041","$365,266",,"$11,307",,"$24,331",,"$132,899","$2,683,952","$189,328",,,,,"$97,849","$52,034","$579,068",,,"$4,960,000",,,,,,,,,,,
Mandela: Long Walk to Freedom (2013),"$7,190,817","$519,297","$2,138,995","$2,176,129","$790,452",,"$176,041","$3,363","$354,978",,"$325,747",,,"$324,082","$64,102",,"$529,706",,"$310,170","$2,121,670",,"$44,675","$8,635","$2,496",,,,,,"$5,003","$12,125",,,,,,,,,,,,,"$1,338,217","$736,552",,"$52,713","$100,254",,"$273,234",,,,"$63,250",,,,,,,,,,,,,,
August: Osage County (2013),"$3,167,227","$4,360,896","$1,725,883","$4,167,159","$526,550","$2,022,571","$123,939","$1,524,981","$1,075,124","$410,523","$234,031","$48,666",,"$461,327","$183,396",,"$436,416",,"$167,965","$141,769","$121,671","$238,234","$51,729","$16,114","$175,097",,"$43,399","$65,746","$74,223","$13,694",,,,"$692,849","$1,971,459","$19,184","$1,441,932","$67,578","$83,862","$158,282",,"$138,756","$8,034","$3,431,569",,"$1,061,788","$66,972","$351,422","$298,805","$712,893",,,,$392,,,,,,,,,,,,,,
Violette (2013),"$12,751","$330,531","$165,021","$787,064",,,,,,,"$3,208",,,,,,,,"$37,518",,"$27,302","$27,680",,,,,,,,$938,,,,,"$39,969",,"$52,463",,,$377,,"$8,618",,,,,,,,,,,,,,,,,,,,,$382,,,,,
Tim's Vermeer (2013),"$13,802",,,,,,,"$1,738",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Hustle (2013),"$22,518,549","$6,811,118","$7,356,787","$5,187,790","$1,310,317","$6,511,827","$490,971","$926,141","$1,941,814","$869,016","$900,090","$566,159",,"$867,176","$803,426",,"$924,933",,"$1,399,181","$270,989","$420,465","$715,324","$103,231","$113,910","$33,615",,"$311,558","$72,915","$122,896","$84,299",,"$95,447","$51,598","$2,995,621","$3,778,893","$439,701","$1,142,526","$284,728","$420,771","$266,921","$119,880","$194,150","$43,105","$11,803,120","$2,112,783","$4,297,426","$717,311","$854,721","$619,959","$1,145,298","$704,479","$77,893","$256,973","$81,955",,,"$2,810,000",,,,,,,,,,,
The Secret Life of Walter Mitty (2013),"$10,940,932","$7,995,300","$7,521,380","$8,403,143","$1,148,750","$8,264,371","$701,156","$244,040","$1,550,874","$265,760","$1,760,180","$527,098","$448,322","$937,383","$566,328","$431,068","$707,467","$138,500","$902,767","$345,182","$363,546","$772,870","$96,835","$140,216","$336,125",,"$124,112","$132,711","$75,348","$359,888","$22,981","$48,102","$38,069","$6,567,280","$4,156,411","$402,623","$1,245,813","$642,093","$715,023","$633,662","$292,648","$83,116","$67,130","$11,926,988","$9,347,860","$11,305,316","$1,489,628","$3,008,064","$6,289,894","$888,685","$375,919","$332,648","$742,567","$794,802",,,,,,,,,,,,,,
Her (2013),"$2,331,512","$2,236,251","$1,343,524","$3,036,246","$495,647","$2,714,710",,"$551,656","$205,644","$137,422","$296,601","$241,324",,"$223,233","$103,435","$28,097","$213,821",,"$186,221","$29,020","$24,884","$118,888","$31,625",,"$73,691",,"$43,727","$32,292","$34,742","$17,314",,"$20,563","$11,472","$708,616","$1,020,678","$67,502","$266,338","$68,192","$135,693","$72,587","$54,370","$38,232","$12,731","$1,261,279","$1,127,466",,"$186,468","$295,909","$2,443,434","$175,658",,"$26,948","$154,259","$49,254","$25,568,251",,,,,,,,,,,,,
Young & Beautiful (2013),"$215,403","$307,823","$463,659","$5,907,597","$101,425","$483,464",,"$228,080",,,"$326,272",,,"$178,321","$26,770","$51,934","$14,495",,"$73,371",,,,,,"$28,108",,,,"$2,212",,,,,"$183,062","$184,866",,,,"$55,721",,,"$4,116",,,,"$823,744",,"$35,907",,,,,,,,,,,,,,,,,,,,
The Punk Singer (2013),"$23,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Survivor (2013),"$3,495,458","$2,569,756","$1,140,425","$1,539,077","$52,369","$640,891","$823,353","$120,330","$184,380","$67,917",,"$249,624",,"$205,382","$65,800","$26,796","$247,730",,"$283,070","$99,610","$82,725","$96,251","$182,947","$90,542","$62,497",,"$19,525","$15,762","$53,267","$17,559",,"$13,194","$4,857","$388,934","$565,060","$375,377","$173,341","$92,858","$222,273",,"$12,574","$8,535",,"$3,586,321","$2,290,705",,"$682,539","$989,569","$1,294,960","$336,704",,"$264,241","$422,110","$583,849",,,,,,,,,,,,,,
The Armstrong Lie (2013),"$123,083",,,,,,,$379,,,,,,,,,"$7,973",,,,,,,,,,,,,,,,,"$10,581",,,,,,,,,,"$69,084",,,,,,,,,,,,,,,,,,,,,,,,
