imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Costa Rica,Croatia,Czech Republic,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0378453,,"It's Not You, It's Me (2004)","$448,471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3628584,,Barbershop: The Next Cut (2016),,,,,,,,,,,,,,,,,"$54,058,961",,,,,"$3,021",,,,,,,,,,,,,,,,,,,,,,,,"$238,402",,,,,,,,,,,,,,,,,,,"$330,500",,,,,,,,,,,,,"$135,486",,,
3797868,,The Choice (2016),"$10,012","$796,840","$194,913","$10,336","$236,822","$8,141","$236,723",,,"$29,448",,,,,,,"$18,730,891",,"$26,171",,,,,"$979,371",,,,"$54,627",,"$4,049",,,,,,,,,,,"$36,987","$34,823","$16,530","$360,616",,"$417,484",,,,"$2,712",,,,"$47,712","$127,604",,"$120,870",,,"$91,689",,,,,"$130,388","$15,917",,,,,,,"$7,418",,"$25,824","$26,996","$75,006","$198,772","$20,793",,"$3,447"
1995390,,Our Kind of Traitor (2016),"$101,129","$65,244","$95,237",,"$97,201",,"$88,131","$28,504",,,,"$45,587","$8,787","$26,695",,"$87,138",,,"$15,010",,"$13,585","$74,105","$747,429","$667,048",,"$135,956","$1,905","$44,664",,,,"$66,106","$144,255","$399,762",,"$275,593",,,,"$11,037",,"$7,902","$25,037","$91,748",,"$161,003","$212,702",,"$98,303",,,"$8,318",,"$33,176","$18,821",,"$72,780",,,"$140,292","$15,639","$40,193",,"$4,709","$45,503","$13,280","$313,906","$96,706","$207,428","$39,227",,,"$12,485",,"$56,500",,"$203,684","$1,774,423","$7,821",,
3954660,,Suntan (2016),,,,,,,,,,,,,,,,,,,,,,,,,,"$145,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,766",,,
2277860,,Finding Dory (2016),"$16,004,539","$36,312,693","$4,572,667",,"$5,204,300","$1,313,486","$34,529,711","$391,220",,"$7,026,238","$38,052,302","$7,995,441",,,"$1,942,288","$2,532,112","$486,295,561",,,,,"$922,679","$21,880,347","$35,307,381",,"$2,054,994",,"$6,615,732","$1,114,967","$364,372","$2,799,262",,,"$17,433,399",,"$65,982,721",,,,,,"$169,087","$1,954,333","$24,781,954",,"$9,976,165","$4,626,878",,"$2,786,441",,,"$6,800,000","$327,166",,"$4,640,452","$3,654,512","$2,185,259",,"$631,451","$9,222,835",,"$4,135,984","$1,465,935","$145,145","$3,024,048","$18,175,847","$20,038,169","$6,438,969","$5,127,323",,,"$5,062,350","$1,492,471",,"$2,145,693","$784,805","$4,347,363","$56,327,874",,"$3,319,862",
2702724,,The Boss (2016),,"$4,468,588","$412,409",,,,,"$59,173",,,,,,"$44,139",,,,,,,"$17,305",,,"$1,400,000",,,,,"$532,212","$83,693",,,,"$108,341",,,,,,,"$97,589","$39,061",,,,"$518,673","$486,689",,"$346,849","$4,015",,,,,,"$235,785","$215,339",,"$280,804",,"$19,942",,,"$38,588","$283,172",,"$23,026",,,,"$334,580",,,,,"$285,342","$768,164","$2,435,799",,,
4901306,,Perfect Strangers (2016),"$498,772","$1,671,748",,,,,,"$4,362",,,"$8,060,716","$39,568",,,"$151,711",,,,,,,"$38,182",,,,"$97,743",,,"$151,857",,,,,"$19,630,803",,,,,,,,,,,,"$466,045",,,"$18,814",,,,,,,,"$126,784",,"$37,985","$850,799",,,"$81,100","$2,155",,,,,,,,,,,,"$47,053",,,"$231,294",,
2368619,,The Take (2016),"$136,808","$369,211","$162,626",,"$152,848","$25,723",,"$14,255",,,"$2,148,284","$289,260",,"$16,705",,,,,,,"$6,862",,,"$924,034",,,,,,"$12,896",,,"$383,494","$303,114",,,,,,"$4,410",,"$13,963",,"$799,684",,"$673,702","$81,736",,,,,,"$6,107",,"$110,562","$93,677","$68,317",,"$247,159","$231,099",,"$158,017",,,"$129,043","$666,946",,"$132,668","$147,099","$227,583",,,"$40,495",,"$146,937","$25,551","$753,255","$2,948,233","$12,047",,"$37,668"
4683366,,Ghayal Once Again (2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,637,413",,,,,,,,,,,,,,,,"$52,933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
