imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1172049,,Demolition (2015),,,,,"$61,207",,,,,,,,,,,,"$5,722",,,,,,,"$304,503",,,"$32,286","$63,738",,,,,,,,"$88,393",,,,,,"$3,310","$13,635",,,,"$409,061","$12,535",,,,,,,"$14,031",,"$20,734","$59,277",,,,"$211,360",,"$11,300",,,"$51,186","$329,617","$81,321",,,,,,,,"$125,697",,"$102,309","$386,646",,,
1830792,,Romeos (2011),,,,,,,,,,,,,,,,,,"$1,081",,,,,,,"$18,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,076",,,,,,,,,,,,,,
4145178,,Listen to Me Marlon (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$70,558",,,
4072352,,Magallanes (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$376,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488778,,The Keeping Room (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,961",,,,,,,,,,,,"$4,002","$38,793",,,
1018765,,Our Brand Is Crisis (2015),,,"$6,687",,,"$114,527",,,,,,,,,,,,,,,,,,,"$22,317",,,"$44,054",,,,,,,"$40,666",,,,,,,"$29,034",,,,,,,,,"$2,350",,,,,,,"$85,170",,,,,,"$38,448",,,,,,,,,,"$1,007,501",,,,,"$95,087","$39,556",,,
4294052,,Attack on Titan Part 2 (2015),"$1,379","$54,933",,,,,,,,,,,,,,,,"$305,934",,,,,,,,,,"$549,656",,,,,,,,,"$13,232,553",,,,,,,"$121,724",,,,"$14,553",,,,,,,,"$288,313",,,,,,"$46,366",,"$286,364",,,,,,,,,,$308,"$253,308",,,,,,,,"$32,398"
1849718,,Agneepath (2012),,"$297,474",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,419,250",,,,,,,,,,,,,"$52,587",,,,"$80,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,165,447",,,
2168910,,Cocktail (2012),,"$310,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,323",,,,"$55,846","$7,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,096,227",,,
3508840,,The Assassin (2015),,,,,"$57,185",,"$48,634",,,,,"$9,400,000",,,,,,,,,,,"$9,433",,,,,"$211,053",,"$2,341",,,,,,,,,,,,,,,,,,"$8,346",,"$109,968",,,,,,,"$5,947","$24,903",,,,,,"$104,207",,"$4,894",,"$91,089","$61,234","$10,013",,,,"$1,083,809","$9,879",,"$6,979",,,"$109,213",,,
