imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Chile,China,Colombia,Croatia,Curaçao,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Iraq,Israel,Italy,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland (French),Switzerland (German),Taiwan,Thailand,Tunisia,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0475760,,Tokyo Tower (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$680,406",,,,,,,"$27,507,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$738,475",,,,,"$315,724",,,,,,,,,,
4415016,,Twenty (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$146,377",,,,,,,,,,,,,,"$9,159",,,,,,,,,,,,,,,,,,"$46,010",,,,"$21,861,512",,,,,,,,,,,,,,"$72,679",
4178092,,The Gift (2015),"$104,556",,"$1,737,116","$272,122",,,,"$300,480",,,,,"$52,927","$43,855",,"$89,953","$67,546","$43,787,265",,,"$3,454",,,,"$190,243",,,"$38,504",,"$24,066","$124,806",,,"$866,127",,,,,"$8,427","$47,588","$3,247",,"$1,302,568",,"$172,758",,,"$90,813",,,"$91,330","$21,903","$248,140","$39,644",,,,"$1,868","$36,101","$190,101","$36,987",,"$110,410","$37,069","$922,254","$40,201",,,,"$72,524",,,"$26,681",,"$2,268,314","$8,968",,,
4263482,,The Witch (2015),"$884,813",,"$519,218","$32,888",,,"$79,308","$2,519,823",,,"$31,209",,"$243,972",,,"$178,286",,,,,"$17,327",,,"$882,449","$831,448",,,,,"$17,058",,,,"$522,657",,,,,,"$25,854",,,"$3,414,834",,,"$39,015",,,"$5,198",,"$209,247",,,,,,,,,,"$96,068",,,,"$2,102,188",,,,,"$42,513",,,,"$285,250","$1,278,874",,"$55,322",,
1828229,,Tales of the Night (2011),,,,,,"$69,668",,"$7,547",,,,,,,,,,,,,,,,"$1,670,763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,241",,,,
3877674,,Men & Chicken (2015),,,,,,,,,,,,,,,,,"$4,303,403",,,,,,,"$42,615","$245,392",,,,,,,,,,,,,,,,,,,,"$113,582",,,,,,,,,,,,,,,,,,,"$8,465",,,,"$7,420",,,,,,,"$14,388",,,,
4158624,,3 Generations (2015),"$9,567",,,,,"$11,969",,,,,,,,,,,,,,,,,"$10,057",,"$49,630",,,,,,,,,"$210,917",,,,,,,,,,,"$87,931",,,,,,,,,"$3,910",,,,,,,,,,"$55,662","$52,409",,,,,"$10,137",,"$22,226",,,,,,,
2131698,,Zaytoun (2012),,,,,,,,,,,,,,,,,,,,,,,,"$135,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3680410,,Last Cab to Darwin (2015),,,"$5,444,246",,,,,,,,,,"$18,190",,,,,"$34,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$448,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3392330,,Short Peace (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$605,945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3567288,,The Visit (2015),"$853,784",,"$2,162,810","$483,307",,"$299,562","$59,461","$660,198",,,,,,"$42,601",,,,,"$177,670","$36,000","$34,676",,"$209,665","$2,337,614","$4,620,741",,,,"$54,715",,,,"$293,709","$2,066,513",,"$29,917",,,"$21,849","$28,259","$39,005","$161,101","$1,504,004",,"$401,767",,,"$162,131","$1,268",,,"$13,753","$199,037","$283,957",,,,"$627,317","$24,279","$314,416",,"$27,319","$30,049","$351,420","$5,395,531",,"$48,952","$223,629","$177,885","$35,065",,"$189,434",,"$198,942","$3,130,052","$55,482","$416,759","$179,282",
