imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
1783422,,Two Lives (2012),"$44,169",,"$16,536",,"$75,872",,,,,,,"$49,647",,,,,,,,,,,"$930,820",,,,,,,,,,,,,,,,,,,,,"$133,621",,,,,,,,,,,,,,,,"$375,975",,,,,,,,,,,,,
1322333,,The Burma Conspiracy (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,578,907",,,,,,,,,,,,,"$12,764",,,,,,,
2626350,,Step Up All In (2014),,"$2,802,561","$1,239,528",,"$2,470,380",,,"$133,939",,,,,"$173,678","$142,859","$255,991",,"$42,759","$95,420","$201,283",,"$144,251","$7,063,666","$8,617,556",,"$456,432","$1,625,137","$157,596","$48,304","$756,331",,,"$4,666,405",,,,,"$530,365",,"$1,480,536",,"$1,987,523","$685,945","$23,926","$176,884",,,,"$1,128,753","$849,801","$206,871",,,"$6,211,481","$27,855","$1,288,480","$76,852","$46,949","$1,503,812","$3,683,691","$1,434,677",,,,,,"$1,502,553","$49,125",,"$1,572,261","$2,020,045",,,
2581244,,Life After Beth (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,648",,,,,,,,,,,,,,,,,,,,"$15,188",,,,"$9,077","$157,531",,,
2345737,,The Rover (2014),,"$401,693",,,"$23,067",,"$34,959",,,,,,"$4,123",,,,,,,,,"$204,750",,,,,,,,,,"$212,454",,,,,,,"$58,936",,,,,,,,,"$33,951",,,,,,,"$4,695",,,"$6,134",,,,,,,,"$15,693","$41,564",,"$79,497","$274,068",,,
1612608,,The Italian (2010),,,"$282,255",,"$376,901",,,,,,,,,,,,,,,,,"$8,895,760","$1,344,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$182,037",,,,,,,,,,,,,
2473602,,Get on Up (2014),,,"$35,659",,,,"$1,359",,,,,,,,,,,,,,,"$1,005,073","$220,654",,,,,,,,,,,,,,,,,,,"$43,141",,,,,,,,"$13,442",,,,,,,,,,"$28,400",,,,,,,,,,"$172,937",,,
3404158,,The Suspect (2013),,,,,,,,,,,,,,,,,,,,,,,,,,"$45,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,409,448",,,,,,,,,,,,,,
2870756,,Magic in the Moonlight (2014),"$914,214","$2,661,307","$318,803",,"$423,707",,"$1,573,242","$83,599",,,,,"$41,084","$194,577","$372,656",,,,,,"$185,898","$8,036,708","$1,628,248",,"$807,806","$163,845","$126,064","$3,616",,,,"$4,213,915",,,,,,"$36,473",,"$337,079","$745,258","$401,022",,"$175,727",,,"$95,226",,"$1,391,812","$398,393",,"$27,983","$21,267",,"$76,336","$59,165","$27,298","$93,800",,"$2,375,955","$383,333",,"$330,069",,"$125,731","$29,976","$181,241",,,"$1,422,133","$94,336","$198,811",
2758880,,Winter Sleep (2014),,"$171,014",,,,,,,,,,"$24,506",,,,,,,,,,,,,,"$50,281",,,,,,,,,,,,,,,,"$45,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2675914,,In Order of Disappearance (2014),,,"$28,282",,,,,,,,,,,,,"$50,251",,,,,"$19,523",,,,"$31,410",,,,,,,"$260,787",,,,,,$125,,,,,,"$408,884",,,,,"$12,538",,,,,"$1,447",,,,,,,,,,,,,,,,"$91,199",,,
3504048,,Housebound (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$223,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077908,,Zarafa (2012),,,"$4,960",,"$357,985",,"$23,690",,,,,,,,,,,,,,,"$11,169,839","$18,537",,"$83,833",,,,,,,"$100,376",,,,,,,,,,,,,"$2,351",,,,,"$56,118",,,"$146,563",,,,,,,"$62,693",,,,,,,"$144,175",,"$26,276",$178,,,
2980648,,The Hundred-Foot Journey (2014),"$235,415","$10,472,459","$680,811",,"$223,984",,"$405,294","$81,449",,"$186,029",,"$87,015","$131,743","$100,039","$345,228","$54,240,821","$15,508","$45,840","$37,996",,"$178,064","$1,033,679","$5,095,552",,"$218,586","$381,478","$158,268","$86,656","$74,141",,,"$691,764",,,,,"$107,579",,"$325,633","$279,866","$476,614","$1,786,403","$5,487","$54,539",,,"$203,091",,"$678,730","$324,506",,,"$616,402","$51,646","$412,294","$53,078","$30,505","$407,900",,"$1,505,472","$1,715,975",,,,"$514,745","$109,782","$100,343",,,"$4,364,114","$109,814","$72,116",
3576084,,Zero Motivation (2014),"$20,436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
