Movie Name,France,Belgium,Colombia,Domestic,Portugal,United Kingdom,Greece,Russia/CIS,Argentina,Australia,Mexico,Bolivia,Taiwan,Hong Kong,Germany,Sweden,Austria,Norway,Switzerland,Finland,Denmark,Netherlands,Poland,Hungary,Czech Republic,South Africa,Iceland,Türkiye,Spain,Italy,Bulgaria,United Arab Emirates,Slovakia,Serbia and Montenegro,Romania,Brazil,New Zealand,Singapore,Egypt,Lebanon,Puerto Rico,Venezuela,Peru,Ecuador,Central America+,Uruguay,Japan,Malaysia,South Korea,Thailand,Chile,Russia,Kuwait,Bahrain,Qatar,East Africa,Jordan,Estonia,Nigeria,Latvia,Oman,Croatia,Lithuania,India,Philippines,Indonesia,China,Middle East/UAE,Czech Republic/Slovakia,Israel,Slovenia,Lesser Antilles,Dominican Republic,Jamaica,Ukraine,Russia/CIS/Ukraine,Baltic States,Central America,West Indies,Cyprus,Kenya,Curaçao,Vietnam,Switzerland (German),Switzerland (French),Switzerland (Italian),Middle East Other,Pakistan,North Macedonia,Sri Lanka,Netherlands Antilles,Lebanon/United Arab Emirates
The Ringer (2005),"$5,195",,,,,"$3,267,338",,,,"$1,070,219","$189,289",,,,"$14,370",,,,,,,,,,,,,,"$3,998","$11,136",,,,,,,"$345,218",,,,"$77,500",,,,,,"$22,925",,,,,,,,,,,,,,,,,,,,,,,,,"$6,580",,,,,,,,,,,,,,,,,,,,
Mrs. Henderson Presents (2005),"$1,091,230",,,,,"$7,102,939","$84,375",,"$63,813","$4,375,495","$175,357",,"$18,303","$2,410","$318,611",,"$85,062","$10,585","$206,991",,"$643,610","$43,747",,,"$1,414","$159,765","$1,985",,"$509,933","$1,024,679",,,"$2,078","$9,451",,,"$897,657",,,,,,,,,,,,,,"$9,828",,,,,,,,,,,,,,,,,,,,,,,,$733,,,,,,,,,,,,,,,,,
The Spirit of the Beehive (1973),"$114,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Father (2002),"$12,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeping Mum (2005),"$1,276,347",,,"$1,619,466",,"$2,967,359","$206,500","$182,460","$87,717","$2,476,027","$758,745","$2,156",,"$325,525","$1,931,507",,"$308,899","$40,593","$387,886","$34,997",,"$625,475","$254,724",,"$125,523",,"$27,393",,"$971,806","$1,417,762",,"$64,500","$23,920",,"$84,865",,"$455,988",,,"$6,633",,"$105,447",,"$17,034",,,,,,"$48,300","$24,137",,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,066",,,,,,,,,,,,,,
The New World (2005),"$3,911,288","$620,498","$27,832","$12,712,093","$330,187","$548,457","$539,137",,"$98,425","$122,321","$314,939",,,"$9,934","$583,425","$97,897","$114,687","$325,720","$276,886","$165,418","$140,146","$269,908",,,,"$151,855","$31,568","$795,185","$2,317,758","$3,501,972",,"$211,851",,,,"$295,377",,"$20,057",,"$5,545","$48,186",,"$37,324","$30,420",,,"$2,481,543","$52,375",,,"$18,729",,,,,,,,,,,,,"$34,590","$192,253",,,,,"$68,090",,,,,,,,,,,,,,"$56,745","$204,131","$16,011",,,,,,
District B13 (2004),"$6,920,731",,,"$1,200,216","$11,532","$509,975",,"$1,008,237",,,"$192,494",,"$37,783",,,,,,,,,,,"$26,912",,,,,,,"$38,930",,,,"$3,344",,,,,,,,,,,,,,"$1,219,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostel (2005),"$1,880,723","$646,854","$247,835",,"$265,748","$7,736,178","$781,499","$1,360,000","$367,675","$1,829,619","$1,680,457","$30,559","$908,537",,"$3,633,163","$263,063","$777,025",,,,"$117,111","$587,855","$455,308","$122,659","$324,008","$234,723","$152,104","$1,231,790","$2,220,513","$3,128,807","$27,000",,"$59,092","$13,489","$15,759","$1,114,889","$487,950","$155,200",,,,"$419,185","$232,062","$50,368","$216,422","$37,712",,,,,"$228,354",,,,,"$20,618",,,,,,"$49,827","$45,422",,"$117,488",,,,,"$184,114","$53,935","$23,000",,"$23,000",,,,,,,,,,,"$85,230","$9,424",,,,,,
Grandma's Boy (2006),"$4,850",,,,,,,"$368,807",,"$20,866",,,,,,,,,,,,,,,,"$40,302",,,,"$23,250",,,,,,,,"$8,662",,"$8,378",,,,,,,,,,,,,,,,,,,$990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tristan + Isolde (2006),"$4,189","$84,056",,,,"$1,108,254","$67,700","$542,633",,"$785,741",,,"$136,297",,"$469,342","$82,776","$89,668","$8,809","$55,380",,"$63,656","$214,347","$503,073",,"$106,597","$22,028","$14,106",,"$2,230,527","$2,046,786","$22,297","$106,900","$11,502",,"$14,290","$985,537","$45,491","$71,108",,,,,,,,,"$477,348","$53,070","$4,014","$4,042",,,,,,,,,,,,,,,"$204,403",,"$2,560,576",,"$108,649",,,,,,,,,,,,,,,,,,,,,,$1,
Last Holiday (2006),"$3,606","$11,951",,,,"$2,074,431",,,,"$157,588","$847,483",,,,"$382,011","$4,578",,"$2,972",,,"$4,437","$159,292",,,,"$359,157",,,"$32,502","$19,313",,"$105,003",,,,"$174,578","$43,128",,"$4,695","$54,267",,"$101,070",,,"$87,837",,,,"$4,922",,,,,,,,,,,,,,,,"$40,887",,,"$367,676",,,,,,,,,,,,"$8,501",,,,,,,,,,,,
Hoodwinked (2005),"$6,079,318","$340,590",,,"$736,677","$11,392,656",,"$791,555","$822,570","$4,166,936","$5,701,304",,"$166,371",,"$881,999","$141,478","$226,947","$753,748",,"$128,613","$757,159","$97,034","$2,974,339",,"$282,541","$177,585","$160,181","$601,758","$4,161,423","$1,768,995",,"$109,279","$235,094",,"$21,654","$4,272,822","$612,611",,"$8,050","$8,641",,,"$107,867",,,"$49,686","$521,078",,"$5,500,344",,"$257,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underworld: Evolution (2006),"$4,523,855","$329,731","$141,153",,,"$5,438,365","$921,600","$2,480,000","$121,173","$3,954,589","$2,281,103","$12,372","$1,108,721","$618,690","$4,543,365","$141,228","$853,197","$140,403",,,"$197,853",,"$407,183","$194,620","$158,735","$441,590","$72,363","$232,426","$4,858,974","$2,055,439","$36,454","$499,861","$23,344",,"$14,658","$1,854,530","$532,972","$652,541","$107,851","$19,905",,"$224,948","$147,807","$73,489","$211,032","$11,665","$1,917,575","$774,763","$2,708,124","$1,528,500","$89,756",,,,,"$32,770",,,"$14,941",,,,,"$1,077,848",,,,,,,,"$65,161",,"$62,661",,,,,,,,,,"$188,074","$46,606","$11,074",,,,,,
Bombón: El Perro (2004),"$728,736",,,,,"$603,537",,,,,,,,,,,,"$18,118",,,,,"$8,657",,,,,,,,,,,,,,"$33,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sophie Scholl: The Final Days (2005),"$157,222","$45,936",,,"$15,302","$147,219","$33,750",,"$95,221",,"$89,235",,"$13,546","$19,652","$7,444,254",,"$429,377","$15,565",,"$10,550",,"$155,703",,,,,,,"$207,011","$1,034,241",,,,,$305,,"$30,764",,,,,"$64,483","$32,248",,,,,"$2,913",,,"$17,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The World's Fastest Indian (2005),"$205,502","$31,335",,"$5,128,124",,"$840,237",,,"$71,600","$4,715,166","$182,841",,"$6,985",,"$246,565",,"$36,663","$80,939","$273,417","$16,223",,"$52,141","$10,837",,"$38,746",,"$7,291","$24,079","$196,084",,,,,,"$3,497",,"$4,600,640",,,,,,,,,,"$1,525,792",,,,"$4,761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tristram Shandy (2005),"$181,621",,,,,"$1,843,665",,"$14,837",,"$246,254",,,,,,"$57,673",,"$31,170",,,"$5,112",,,,,,$797,,"$233,022",,,,,,,,"$64,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Momma's House 2 (2006),"$4,213,617","$2,131,493","$409,132",,"$345,247","$16,107,165","$302,623","$1,649,421","$153,226","$4,199,911","$7,250,140","$43,441","$1,305,277",,"$2,578,581","$403,071","$388,039","$271,074","$413,445","$176,361","$535,350","$2,438,305","$321,659","$477,237",,"$2,052,037","$174,125","$243,043","$6,460,617","$236,634","$72,198","$880,292",,,"$97,331","$1,091,794","$405,462","$660,328","$138,794","$277,909","$1,948,418","$1,035,645","$405,728","$159,172","$670,320","$32,106",,"$498,710","$37,134","$550,915","$148,682","$2,144,356",,"$311,627",,,,,,"$83,456",,"$120,687",,"$101,053","$450,438","$351,146",,"$2,447,592",,,"$154,025","$131,914","$117,886","$138,155",,,,,,,,,,"$362,736","$35,583","$15,126",,,,,,
Nanny McPhee (2005),"$5,344,285","$2,093,368","$257,819",,"$616,660","$29,185,285","$315,900","$1,107,398","$362,027","$6,437,095","$1,752,207",,"$212,793","$456,491","$5,881,634","$417,211","$1,204,376","$874,006","$785,845","$120,625","$655,153","$2,058,393","$658,072","$266,591","$156,057","$528,791","$70,335","$621,394","$2,730,090","$1,436,735",,"$99,736","$12,227","$16,134","$23,505","$1,734,299","$619,496","$328,774","$6,001","$27,892",,"$252,347","$275,660","$121,647","$264,161",,"$2,248,990","$147,951","$1,463,877",,"$213,432",,,,,,,"$14,546","$35,914","$41,314",,"$52,835","$38,133","$45,149","$235,080","$117,610",,"$329,216","$81,099","$459,864","$36,540",,,,"$156,414",,,,,"$10,197","$12,874",,,,,,,,"$3,147",,,
Final Destination 3 (2006),"$5,566,591","$1,266,012","$207,025",,"$181,769","$15,869,800","$655,918","$2,712,126","$853,214","$1,811,803","$1,696,965","$9,310","$3,193,063","$721,408","$5,046,970",,"$923,388",,"$673,433",,,"$778,319","$597,668",,"$40,253","$593,245","$63,520","$624,548","$2,225,496","$2,767,155",,"$363,623","$42,042",,,"$2,865,144","$282,821","$781,015","$89,354",,"$760,982","$270,510","$50,368","$42,061","$44,756",,,"$700,667","$2,268,743","$1,140,570","$161,277","$2,818,579",,,,,,"$53,178",,"$48,487",,,"$16,719","$52,777","$351,017","$593,356",,,"$40,253","$209,258","$58,715",,,,"$296,952",,"$118,384",,"$73,308",,,,,"$560,687","$98,387","$14,359",,,,,,"$444,873"
Imagine Me & You (2005),"$18,577","$122,559",,,"$12,299","$178,956","$73,400",,,"$319,574",,,,,"$687,072",,,,,,,"$122,744","$15,205",,,,,,"$300,827","$35,338",,,,,,,"$76,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pink Panther (2006),"$4,138,795","$892,917","$373,684",,"$661,573","$10,577,372","$2,440,737","$3,950,226","$353,674","$3,362,704","$5,046,278","$24,309","$1,027,111","$331,899","$5,651,758","$620,546","$1,423,387","$496,571","$1,267,102","$649,094","$467,543","$804,679","$903,954","$459,519","$340,174","$1,817,438","$138,624","$890,257","$8,477,526","$3,258,916","$94,971","$734,211","$20,918","$57,754","$117,789","$3,896,014","$410,563","$506,851","$188,512","$205,133","$1,009,035","$543,786","$426,075","$210,553","$601,997","$114,602","$1,516,319","$476,958","$208,320","$408,375","$364,440","$4,634,523",,"$134,020",,,,"$36,543",,"$92,055",,"$92,045","$70,688","$497,434","$383,502","$284,534",,"$1,613,196","$505,534","$220,386","$92,050","$106,447","$84,892","$80,031",,,,,,,,,,,,,,,,,,
Curious George (2006),"$444,435","$114,003","$42,605",,,"$2,763,105",,"$79,755","$29,445","$880,828","$405,513",,,,"$1,035,462","$1,103,751","$247,971","$370,228","$159,495","$157,133","$1,316,749","$326,837",,,,,,,"$1,054,847","$59,218",,"$105,243",,,,"$179,094","$103,634",,,"$19,530",,"$64,042","$69,567","$52,180",,,"$126,434",,,,"$83,258",,,,,,,,,,,,,,,,,,,,,,,,,,,"$85,000",,,,,,,,,"$25,801",,,,$1,
Firewall (2006),"$677,653","$308,927",,,"$340,792","$2,234,517","$290,300","$330,799","$438,371","$2,986,404","$3,142,548",,"$869,914","$343,062","$1,028,282","$171,669","$145,894",,"$245,060",,"$334,021","$288,035","$128,101",,"$42,347","$598,734","$64,334","$158,535","$3,471,324","$1,438,493","$49,808","$183,742","$9,784","$11,286","$33,068","$1,400,000","$144,849",,"$96,580","$42,991",,,,,,,"$2,500,000",,"$538,009","$376,800","$108,018",,,,,,,,,,,,"$10,936",,,,"$1,200,000",,,,,,,,"$24,447",,,,,,,,,,,,,,,,,
When a Stranger Calls (2006),"$594,795","$262,931","$359,353",,"$164,411","$2,400,135",,"$789,131",,"$2,412,153","$2,186,180","$15,373",,,"$1,268,046","$380,638",,"$112,563",,"$26,273",,,"$151,724","$74,079",,"$317,585","$43,418","$239,061","$1,402,767","$239,865","$8,103","$104,111",,"$20,083","$17,468","$432,174","$269,146","$232,196","$62,919","$29,091",,"$468,792","$150,334",,,"$36,367","$64,469","$331,389",,,"$25,655",,"$169,321","$29,104",,"$14,935","$20,046",,"$13,817","$21,581","$14,428","$4,990",,"$21,934","$124,064",,"$2,920,958",,,,"$16,276","$23,000",,"$23,000","$91,677",,,,,,,,,,,,,,,,,
Eight Below (2006),"$3,386,325",,,,,"$2,102,130","$175,250",,"$346,174","$3,657,988",,,"$963,481","$2,289,851","$1,727,939",,"$153,035",,,,,,,,,"$970,367","$26,096","$213,602","$3,360,543","$1,130,829","$30,013","$42,932","$17,952",,,"$419,655","$465,079","$546,617","$12,314","$40,159",,"$155,498",,"$19,027",,,"$548,926","$185,278",,"$224,700",,,,,,,,,,,,,"$26,569","$5,377",,"$107,434","$7,090,000",,,,,,,,,,,,,,,,,,,,,,,,,
Date Movie (2006),"$1,358,648","$853,618","$38,102",,"$298,676","$8,762,281","$316,139","$393,116",,"$4,517,784","$1,468,155","$7,759","$267,183","$214,544","$1,873,413","$509,999","$567,559","$346,360","$340,249","$81,897","$402,388","$707,848","$278,938","$214,385","$74,635","$509,609","$118,699","$91,658","$4,252,866","$1,883,254","$27,885","$90,907","$23,694","$25,910","$33,334","$770,564","$536,365","$494,336",,"$32,428","$788,778","$276,131","$214,257","$74,639","$255,146","$18,535",,"$126,499",,"$272,424",,"$562,385",,"$41,401",,,,"$32,035",,"$44,154",,"$20,635","$30,571","$62,608","$173,276","$254,807",,"$232,049","$117,483","$300,562","$67,781","$46,795","$11,678","$12,101","$60,311",,,,,,,,,"$244,202","$62,931","$11,249",,,,,,
Running Scared (2006),"$288,171","$110,279",,,,"$947,688","$26,400",,,,"$108,318",$922,"$17,737",,"$174,742",,"$14,952",,,"$11,854","$52,832","$61,818",,"$7,320",,,"$16,216",,"$232,254","$95,194",,,,,"$13,171",,,,,"$2,753",,"$47,548",,,,,,,"$274,151",,"$7,578",,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,994",,,,,,,,,,,,,,
Doogal (2006),"$6,096,940",,,"$7,438,000","$112,623","$10,957,566",,,,,"$500,084","$10,681",,,,,,,,,,,"$49,368",,"$77,405",,"$34,803",,"$1,171,969",,,,"$33,566",,,,,,,"$1,699",,"$86,896","$56,895",,,,,,,,"$76,664",,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,346",,,,,,,,,,,,,,
Ultraviolet (2006),"$403,436","$24,099","$98,097",,"$139,785","$647,052",,"$1,310,000",,,"$916,704",,"$412,451",,"$267,631","$46,334",,,,,,,,,,"$99,396","$8,500",,"$1,241,998","$421,645","$26,084","$177,979",,,"$25,897","$243,355","$17,676","$352,711","$26,502","$20,623",,"$91,938","$49,265",,"$34,047",,"$2,852,795","$387,196","$384,863","$901,577",,,"$138,159","$28,098","$25,006","$5,720","$4,804",,"$15,441",,"$12,683","$13,704",,"$12,213","$238,962","$219,204",,,,,"$13,651","$22,000",,"$22,000",,,,,,,,,,,,,,,,,,
Just My Luck (2006),"$52,256","$459,854","$243,730",,"$151,394","$3,827,440","$219,855","$1,146,941",,"$1,002,659","$3,474,662",,"$490,063",,"$797,592","$477,056","$231,327","$269,061",,,"$205,231","$444,976","$16,408",,,"$604,261","$46,091",,"$2,647,114","$338,776",,,,,,"$304,015","$90,318","$448,972",,,"$257,320","$513,760","$279,410","$102,160","$321,632",,,"$234,324","$246,399",,"$56,484",,,,,,,,,,,"$8,665",,"$75,761","$274,293","$106,175",,,,,"$51,875","$42,589","$63,254","$17,771","$100,999",,,,,,,,"$72,646",,,,,,,,,
Pulse (2006),"$238,061","$91,915",,,"$48,625","$731,708",,"$2,001,487","$297,943",,"$1,229,012","$21,045","$225,379","$122,592","$282,864",,"$79,793",,,,,,,,,,"$6,636","$431,819","$1,808,710","$1,283,648",,,,,,,,,"$46,853","$7,140",,"$136,200","$105,845",,,"$4,345",,,"$81,531","$79,787","$173,249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Sea (2006),"$1,745,432",,"$3,100",,,"$2,869,929",,,,"$3,696,215",,,,,,,,,,,,,,,,,,,,,,,,,,"$404,948",,,,,,,,,,,,$351,"$1,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Blocks (2006),"$1,468,376","$487,756",,,"$97,028","$4,251,554","$629,150","$493,521","$550,731","$759,217","$2,601,249",,"$221,428","$116,930","$1,826,396","$125,477","$389,178","$195,913",,"$49,758","$165,750","$307,348","$247,056",,"$87,171",,"$41,818","$209,377","$2,362,372","$827,753","$47,734","$366,961","$18,891","$7,800","$29,074",,,,"$29,316","$51,077",,,,,,,"$1,564,427","$7,502","$1,577,644","$275,936","$36,176",,,,,,,,,"$18,153",,,"$12,637",,,,"$1,765,482",,,,,,,,"$111,022",,,,,,,,,,,,,,,,,
Failure to Launch (2006),"$874,921","$512,374","$126,784",,"$884,016","$5,540,067","$360,766","$1,131,451","$206,653","$4,137,769","$2,622,148",,"$494,360",,"$5,395,339","$77,430","$1,179,082","$163,246","$683,820","$61,037","$148,204","$706,129","$445,854","$642,156","$46,247","$909,703","$88,865","$411,425","$3,806,731","$2,270,837","$44,225","$215,878","$53,394","$12,662","$61,870","$1,489,378","$207,621","$262,959","$21,028","$79,243",,"$223,952","$181,935","$58,301","$259,762",,,"$134,860","$453,066","$210,912","$104,005","$1,369,680",,,,,,"$38,618",,"$66,159",,"$70,224","$24,897",$1,"$130,611","$100,359",,"$306,404","$86,200","$651,327","$198,852",,,,"$404,357",,,,,"$35,433","$22,311",,,,,,,,"$1,068",,,
Ice Age: The Meltdown (2006),"$48,424,106","$8,064,088","$3,584,813","$195,330,621","$2,655,178","$52,332,021","$3,573,780","$19,225,522","$6,303,821","$18,265,807","$29,448,504","$326,435","$3,406,987","$1,945,567","$61,612,046","$6,407,088","$9,608,821","$9,548,588","$12,019,262","$2,354,072","$6,246,244","$7,869,645","$8,497,281","$2,458,940","$2,607,497","$3,786,448","$467,230","$4,774,985","$24,248,139","$25,985,050","$267,492","$1,135,306","$771,605","$264,338","$390,168","$19,909,620","$2,988,231","$1,586,040","$142,799","$168,945","$2,803,736","$3,012,875","$1,933,008","$1,304,410","$2,875,037","$386,162","$7,954,041","$1,065,708","$5,301,013","$1,032,666","$3,679,439",,"$419,792","$137,004","$151,040",,,"$589,668",,"$334,966","$59,364","$305,557","$665,174","$971,791","$1,830,012","$701,259","$10,406,409","$2,127,601","$3,225,752","$1,487,308","$442,739","$226,231","$259,356","$92,579","$2,044,542",,,,,,,,"$25,149",,,,,,,,,
Free Zone (2005),"$205,382",,,"$32,381",,,,,,,,,,,,,,,,,,,,,,,,"$16,691","$135,798","$20,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V for Vendetta (2005),"$4,305,918","$959,961",,"$70,511,035",,"$20,863","$1,759,700","$1,148,911","$515,417","$4,354,597","$2,884,695",,"$315,460","$193,947","$2,910,789","$1,605,560","$588,635","$802,465","$733,467","$536,852","$774,670","$990,388","$205,939",,"$97,639","$359,970","$151,489","$669,980","$5,435,193","$2,666,921","$51,523","$187,863","$21,733","$27,188","$47,608","$1,747,460","$449,754","$227,000","$75,324","$67,276",,"$485,308",,,,,"$8,546,936",,"$5,710,003","$231,000","$260,424",,,"$39,340",,,,"$20,920",,,,,"$22,878",,"$213,000",,,,,,"$29,026",,,,"$186,111",,,,,,,,,,,,,,,,,
Thank You for Smoking (2005),"$1,594,159","$398,196",,,"$20,337","$2,176,400","$259,200","$207,217","$86,121","$2,221,170","$209,484",,,,"$1,705,138","$176,285","$226,822","$41,535","$500,600","$34,013","$462,891","$12,681","$65,169",,"$80,301","$165,875","$60,886",,"$318,929","$1,719,187",,,"$26,476",,"$5,659","$546,757","$312,695","$111,723",,"$7,681","$6,568","$50,102","$34,578",,,"$14,795","$454,656",,,,"$46,117",,,,,,,,,,,,,,"$3,921",,,,,"$39,154",,,,"$2,794",,,,,,,,,,,,,,,,,,
Find Me Guilty (2006),"$649,711","$39,319",,,"$32,605",,,,,,,,,,,,,,,,,,,,,,,"$5,294","$263,648","$430,881",,,,,"$19,650",,,"$21,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside Man (2006),"$9,389,586","$2,335,584","$448,068",,"$1,496,858","$14,406,413","$1,735,200","$771,962","$1,083,300","$6,128,072","$3,561,731",,"$1,603,225","$536,447","$8,992,317","$1,050,911","$1,086,553","$755,204","$2,691,256","$256,658","$730,939","$2,216,906","$1,047,295","$262,713","$136,009","$761,532","$99,014","$744,059","$7,821,983","$9,116,281","$100,853","$494,142","$34,194","$9,956","$101,919","$3,793,549","$445,376","$461,319","$27,077","$73,011",,"$678,997","$215,620","$53,740","$578,405",,"$3,463,885","$183,803","$2,050,908","$466,034","$160,852",,,,,,,"$32,387",,"$56,031",,"$75,107","$24,772","$157,709","$196,527","$213,162",,,"$161,267","$830,278","$77,222",,,,"$110,449",,,,,"$23,936","$68,739",,,,,,"$800,358",,"$2,436",,,
Tsotsi (2005),"$2,025,232","$61,229",,,,"$1,442,451",,,"$69,524","$418,686","$231,588",,"$9,169",,"$289,277","$7,507","$26,334","$68,404","$316,543",,"$120,726","$184,591",,,,"$1,206,906",,,"$169,685",,,,,"$3,050","$3,618",,"$248,959",,,,,"$51,109",,,,"$2,784",,,,,"$21,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquamarine (2006),"$2,910","$89,150",,,,"$420,781",,,,"$198,247","$1,715,903","$7,369",,,"$157,936","$35,772",,,,"$13,296","$44,567","$20,354","$4,516",,,"$341,660",,,"$8,780","$10,611",,,,,,"$74,012","$119,174","$135,403",,,"$250,670","$161,468","$151,674","$63,541","$142,550","$24,298",,,,,,,,,,,,,,,,,,,"$152,685",,,,,,,"$13,638","$26,530","$5,120",,,,,,,,,,,,,,,,,,
The Hills Have Eyes (2006),"$3,648,875","$768,572","$139,713","$41,778,863","$75,143","$6,255,176","$161,075","$942,783","$146,524","$858,296","$1,070,559","$16,444","$324,894","$173,700","$3,652,793","$70,850","$636,639","$173,532",,"$57,694","$149,256","$407,867","$267,059","$83,779","$68,285","$178,177","$53,451","$280,147","$2,642,854","$1,589,032",,"$168,734","$33,901","$13,260",,"$256,838","$158,466","$213,148","$109,190",,"$313,873","$237,225","$171,466","$122,601","$224,460","$8,534",,"$246,287",,"$10,016","$93,328",,,"$19,860","$48,591",,,"$32,723",,"$40,071","$11,883","$8,701","$42,453","$57,450","$126,260",,,"$285,617","$143,714",,"$20,941","$27,569","$27,856","$3,059","$59,201",,,,,,,,,,,,,,,,,
The Shaggy Dog (2006),"$177,428",,,,"$218,707","$5,534,468","$62,700",,"$398,171","$5,116,083","$4,280,291","$13,222","$33,350","$327,271","$509,874",,,"$24,713","$84,535",,,"$368,004","$235,693","$117,909",,"$158,016","$40,063","$202,364","$2,795,617","$61,268","$18,426",,"$7,964","$1,638",,"$201,895","$473,781",,,"$11,001",,,,,,"$19,033",,,,,"$112,088",,,,,,,,,,,,"$6,396","$24,255",,,,,,,,,,,"$63,495",,,,,,,,,,,,,,,,,
The Lives of Others (2006),"$10,752,848","$1,432,152",,"$11,286,112","$174,475","$5,495,599","$2,306,001","$300,000","$996,495","$2,402,435","$573,037","$9,781","$64,292","$147,453","$19,147,078","$198,887","$428,757","$369,961","$1,309,293",,"$1,720,105","$2,793,412","$58,693",,"$94,204","$43,111","$76,483","$191,004","$6,833,795","$5,220,873",,,"$7,430","$13,991",,"$1,073,812","$881,733","$34,380",,"$20,324",,"$89,286",,,,"$141,110",,"$2,277","$293,176","$12,054","$319,631",,,,,,,,,,,,,,,,,,,,"$20,156",,,,,,,,,,,,,,,,,,,,,
Take the Lead (2006),"$2,772,777","$597,655","$22,583","$34,742,066","$450,434","$4,240,032","$308,122",,"$150,987","$4,939,371","$438,308","$7,636","$170,901","$325,154","$1,616,586","$51,936","$393,677","$116,167","$1,076,932",,"$146,571","$116,864",,,,,"$25,693",,"$3,066,028","$5,672,559",,"$64,607",,,,"$851,335","$1,180,086","$326,905",,,"$397,640",,,,"$17,965",,,"$82,350",$463,"$66,917","$30,926",,,,,,,"$28,017",,"$73,343",,,,,"$167,213","$69,776",,,,"$358,918","$112,010",,,,,,"$101,360",,"$44,288",,,,,"$791,906","$214,145","$70,881",,,,,,
Lucky Number Slevin (2006),"$2,131,160","$835,609",,,"$472,413","$7,956,571","$828,050","$724,216","$480,199","$1,196,619","$1,127,224",,"$179,447","$29,691",,"$248,426",,"$229,281",,"$124,862","$306,792","$606,569","$308,968",,"$92,663","$140,388","$60,599","$572,572","$4,535,108","$4,486,090","$53,340","$302,442","$39,082","$6,951","$44,378","$1,146,239",,,"$82,522","$10,092",,"$509,187",,,,,"$1,935,244",,"$1,845,899",,,,,,,,,,,"$5,356",,,,,,,,,,,"$10,172",,,,"$148,994",,,,,,,,,,,,,,,,,
Volver (2006),"$17,010,675","$1,183,758","$278,951","$12,899,867","$620,153","$5,676,144","$679,545","$36,877","$956,119","$1,282,126","$1,050,278","$29,864","$119,481","$150,789","$5,979,287","$1,364,028","$816,590","$1,006,988","$2,499,495","$682,635","$1,162,903","$1,166,150","$1,052,408",,"$200,672",,,"$336,573","$12,241,181","$8,641,208","$45,665","$6,471","$35,532","$46,845","$49,142","$1,774,894","$93,621","$19,932",,"$24,661","$197,159","$160,107","$113,909","$77,244",,"$134,918","$1,526,974",,"$187,988","$10,307","$391,743",,,,,,,,,,,,,,,,,,,,,,"$22,953",,"$52,774",,,"$128,856",,,,,,,,,,,,,,
Stay Alive (2006),"$146,135","$129,292",,,"$215,198","$763,551","$142,200","$402,761",,,,,,,,"$139,026",,"$61,179",,,,"$73,152","$52,170",,,"$47,168","$9,282",,"$218,851","$1,411,248",,"$280,942",,,,,,,,"$2,484",,,,,,,,,,"$65,428",,,,,,,,,,,,,,,,,,,,,,,,,"$52,148",,,,,,,,,,,,,,,,,
Basic Instinct 2 (2006),"$3,284,227","$679,423",,,,"$2,050,960","$583,200","$3,174,229","$376,403","$606,924","$1,559,915",,"$356,899","$455,345","$2,295,057","$113,197","$230,484","$109,967","$589,228","$13,831","$70,154","$309,085","$572,983",,"$174,922","$362,265","$34,248","$1,578,912","$2,923,255","$3,178,196","$58,508",,"$42,428","$73,354","$120,900","$1,350,535","$105,864",,,"$219,525",,"$211,613",,,,,,,"$2,100,000","$115,885","$100,250",,,,,,,,,,,,,,,,,,,,,,,,"$572,016",,,,,,,,,,,,,,,,,
