Movie Name,France,Belgium,Colombia,Domestic,Portugal,United Kingdom,Greece,Russia/CIS,Argentina,Australia,Mexico,Bolivia,Taiwan,Hong Kong,Germany,Sweden,Austria,Norway,Switzerland,Finland,Denmark,Netherlands,Poland,Hungary,Czech Republic,South Africa,Iceland,Türkiye,Spain,Italy,Bulgaria,United Arab Emirates,Slovakia,Serbia and Montenegro,Romania,Brazil,New Zealand,Singapore,Egypt,Lebanon,Puerto Rico,Venezuela,Peru,Ecuador,Central America+,Uruguay,Japan,Malaysia,South Korea,Thailand,Chile,Russia,Kuwait,Bahrain,Qatar,East Africa,Jordan,Estonia,Nigeria,Latvia,Oman,Croatia,Lithuania,India,Philippines,Indonesia,China,Middle East/UAE,Czech Republic/Slovakia,Israel,Slovenia,Lesser Antilles,Dominican Republic,Jamaica,Ukraine,Russia/CIS/Ukraine,Baltic States,Central America,West Indies,Cyprus,Kenya,Curaçao,Vietnam,Switzerland (German),Switzerland (French),Switzerland (Italian),Middle East Other,Pakistan,North Macedonia,Sri Lanka,Netherlands Antilles,Lebanon/United Arab Emirates
Exiles (2004),"$1,839,547",,,,,,,,"$29,687",,,,,,,,,,,,,$471,"$20,011",,"$11,600",,,,,,,,"$2,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me and You and Everyone We Know (2005),"$716,203","$79,473",,,"$43,853","$1,098,768",,,"$11,406","$178,451",,,"$18,492","$12,877","$122,137","$137,567","$18,410","$163,590",,,"$13,574","$393,308",,,"$9,332",,,,"$211,925","$710,810",,,,,"$7,213",,"$19,198",,,,,,,,,,,,"$65,696",,"$6,586",,,,,,,,,,,,"$10,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferpect Crime (2004),"$755,403",,,"$418,843","$17,951",,,,"$390,160",,"$174,103",,,"$1,435","$67,114",,"$68,355",,,,,,,,,,,,"$5,453,374","$1,486,475",,,,,,,,,,,,,,,,,,,,,"$207,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modigliani (2004),"$170,336",,,"$205,165",,,,,,,,,"$24,745",,,,,,,,,,,,,,,,"$56,250","$1,009,517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
War of the Worlds (2005),"$29,962,572","$4,262,098","$1,502,955","$234,280,354","$2,695,782","$55,555,574","$2,319,354","$9,922,573","$3,736,999","$16,532,633","$17,166,989",,"$7,089,351","$3,068,545","$20,041,704","$2,784,628","$2,439,506","$2,372,894","$2,880,922","$1,120,944","$2,260,424","$5,350,431","$2,664,606","$1,449,484","$1,052,896","$1,195,958","$368,742","$3,218,836","$19,923,670","$17,295,956","$290,476","$1,049,501","$188,829","$152,847","$276,188","$8,008,361","$2,662,311","$1,911,949","$214,952","$231,403",,"$1,515,626","$1,312,256","$466,016","$1,901,988","$38,743","$53,720,172","$1,698,818","$19,311,883","$2,255,489","$2,059,447","$10,214,662",,,,,,"$125,285",,"$116,650",,"$342,944","$115,904","$2,574,078","$1,945,761","$1,226,156","$6,546,031",,"$1,261,605","$1,299,338","$292,918","$46,973",,,"$1,529,042",,,,,"$140,419","$52,746",,,,,,"$2,257,972",,,,,
March of the Penguins (2005),"$12,037,751","$43,829",,,"$44,688","$5,490,891",,"$32,152","$445,938","$3,099,368","$1,725,783",,"$607,459","$679,369","$9,228,926","$573,364","$575,166","$1,488,185","$2,191,483","$594,654","$248,210","$1,169,525","$69,339",,"$41,861",,"$131,259","$48,607","$406,003","$4,036,047","$46,365","$36,697","$10,166",,"$13,073",,"$685,317",,,,,,,,,,"$3,559,414",,"$256,273","$9,700","$328,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
À Tout de Suite (2004),"$245,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Water (2005),"$2,355,368","$817,293",,"$25,473,352","$293,444","$2,570,428","$179,550","$830,178","$467,773","$346,485","$2,981,045",,"$651,029","$90,403","$1,725,798","$293,224","$401,843","$188,753",,"$56,153","$218,308","$28,787","$380,198",,"$67,750","$24,842","$34,896","$590,314","$2,238,664","$42,624","$8,982","$229,006","$33,031","$5,246","$26,932","$569,003","$189,428",,"$18,895",,,,,,,,"$265,902",,,"$78,200","$230,227",,,,,,,,,,,,,,,,,,,,,,,,"$156,045",,,,,,,,,,,,,,,,,
The Beat That My Heart Skipped (2005),"$7,323,202","$223,054",,"$1,023,424","$55,900","$1,008,155","$31,200","$36,123","$257,104","$175,246","$72,134",,"$45,088",,"$209,107",,"$48,603",,,,"$26,514","$5,679",,,,,,,"$330,672","$105,024","$3,560",,,,"$3,975",,,,$309,,,,,,,,,"$2,414","$23,311",,"$18,882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantastic Four (2005),"$16,360,537","$1,711,971","$1,144,563",,"$1,312,187","$23,121,723","$1,100,983","$2,189,333","$2,131,920","$9,199,594","$22,178,808","$112,352","$2,475,002","$2,168,031","$4,820,972","$1,543,837","$896,201","$1,287,416","$1,081,656","$586,401","$1,369,512","$1,233,127","$208,070","$408,488","$250,196","$1,078,667","$186,455","$720,537","$15,324,326","$12,412,822","$88,189","$1,484,114","$58,935","$27,976","$74,294","$8,108,660","$1,833,231","$1,769,306","$202,711","$117,105","$2,178,857","$1,562,941","$923,920","$625,814","$1,735,131","$148,100","$9,072,213","$1,203,432","$4,385,009","$2,033,051","$1,355,230","$2,671,467",,,,,,"$55,015",,"$28,232",,"$83,485","$15,971","$1,184,359","$2,115,138","$1,098,726","$2,505,427",,,"$444,169","$70,180","$258,819","$315,914","$105,656","$283,390",,,,,,,,,,,,,,,,,
