Movie Name,South Africa,United Kingdom,Türkiye,United Arab Emirates,Portugal,Spain,Israel,Lebanon,Colombia,Ecuador,Uruguay,New Zealand,Germany,Italy,Netherlands,Austria,Sweden,Belgium,Greece,Ukraine,Norway,Romania,Czech Republic,France,Slovenia,Bulgaria,Croatia,Egypt,Finland,Estonia,Lithuania,Serbia and Montenegro,Latvia,Hungary,Iceland,Mexico,Argentina,Brazil,Venezuela,Peru,Bolivia,Russia/CIS,Australia,South Korea,Hong Kong,Singapore,Malaysia,Thailand,Indonesia,Philippines,Vietnam,Taiwan,Poland,Switzerland,Nigeria,Slovakia,Chile,Domestic,Denmark,Japan,India,Kuwait,East Africa,Central America,China,Ghana,Qatar,Oman,Bahrain,Ethiopia,Panama,Dominican Republic,Trinidad & Tobago,Jamaica,Curaçao,Aruba,Jordan
The Trip (2010),,,,,,"$189,343",,,,,,"$300,138",,,"$124,804",,"$89,786","$18,859",,,,,,"$179,897",,,,,,,,,,,,,,,,,,,"$987,667","$14,676",,,,,,,,,,,,,,"$2,030,962","$9,085",,,,,,,,,,,,,,,,,,
S21: The Khmer Rouge Killing Machine (2003),,,,,,$472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,606",,,,,,,,,,,,,,,,,,,
"Tuesday, After Christmas (2010)",,,,,,"$17,291",,,,,"$5,784",,,,,,,$799,,,,"$36,225",,,,,,,,,,,,,,,"$154,978",,,,,,,,,,,,,,,,,,,,"$2,943",,,,,,,,,,,,,,,,,,,,
The Girl by the Lake (2007),,,,,,"$131,962",,,,,"$3,764",,,"$4,688,666",,,,,"$26,550",,,,,,,,,,,,,,,,,,"$23,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belphegor: Phantom of the Louvre (2001),,,,,,"$1,896,486",,,,,,,,,,,,,,,,,"$22,371",,,,,"$65,158",,,,,,,,"$826,005",,,,,,,,,,,,,,,,"$11,616",,,,,"$42,260",,,,,,,,,,,,,,,,,,,,
Submarino (2010),,,,,,"$84,684",,,"$15,317",,,,,,,,,"$2,998",,,"$14,608",,,"$59,489",,,,,"$31,874",,,,,,,"$62,233",,,,,,,,,,,,,,,,"$4,392",,,,,,,"$540,403",,,,,,,,,,,,,,,,,,
Incantato (2003),,,,,,"$60,356",,,,,,,,"$2,912,886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$131,993",,,,,,,,,,,,,,,,,,,
Black Bread (2010),,,,,,"$3,770,657",,,,,,,,,,,,,"$13,448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingrid (2009),,,,,,"$31,782",,,,,,,,,,,"$1,913,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What No One Knows (2008),,,,,,"$5,281",,,,,,,,,,,$104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,982,005",,,,,,,,,,,,,,,,,,
Black Death (2010),,,,,,,,"$7,127",,,,,"$242,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,804","$84,630",,,,,,,,,,,"$22,554",,,,,,,,,,,,,,,,,,,
Borderland (2007),,,,,,,,,"$26,848","$37,080",,,,"$238,952",,,,,,,,,,,,,,,,,,,,,,"$253,200",,,,"$49,486",$651,,,,,,,,,,,,,,,,,"$97,182",,,,,,,,,,,,,,,,,,,
Lake Tahoe (2008),,,,,,,,,"$5,522",,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South of the Border (2009),,,,,,,,,,"$5,170","$4,896",,,,,,,,,,,,,,,,,,,,,,,,,,"$65,940","$9,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Turtle's Tale: Sammy's Adventures (2010),,,,,,,,,,"$179,584","$76,272",,,,,,,,,,,,,,,,,,,,,,,,,"$4,909,783","$1,353,290","$680,130","$612,946","$402,636","$89,602","$2,459,709",,"$8,215,094","$510,763","$143,348","$742,057","$213,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern District (2009),,,,,,,,,,"$1,440",,,,,,,,,,,,,,,,,,,,,,,,,,"$4,757",,,,,"$101,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Father of My Children (2009),,,,,,,,,,,"$1,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$335,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Return (2010),,,,,,,,,,,"$49,871",,,,,,,,,,,,,,,,,,,,,,,,,"$58,192","$537,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igualita a mí (2010),,,,,,,,,,,"$151,043",,,,,,,,,,,,,,,,,,,,,,,,,,"$3,539,668",,"$16,977",,"$1,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma's Bliss (2006),,,,,,,,,,,$775,,,,,,,,,,,,,,,,,,,,,,,,,"$54,103","$26,523","$22,568",,,,,,"$62,000",,,,,,,,"$14,375",,,,,,,,,,,,,,,,,,,,,,,,,
Eden (2006),,,,,,,,,,,"$2,519",,,,,,,,,,,,,,,,,,,,,,,,,,"$44,743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincent Wants to Sea (2010),,,,,,,,,,,,"$12,110","$7,319,877",,,"$375,780",,,,,"$29,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karthik Calling Karthik (2010),,,,,,,,,,,,"$7,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,333,673",,,,,,,,,,,,,,,,
Little Big Soldier (2010),,,,,,,,,,,,"$16,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$355,100",,"$620,192","$245,586","$1,228,469","$1,512,361","$306,823",,"$140,505",,"$29,515",,,,,,,,,,,,,,,,,,,,,,,,,
Ong Bak 3 (2010),,,,,,,,,,,,"$18,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$199,429","$772,340","$1,335,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anything for Her (2008),,,,,,,,,,,,"$679,127",,,,,,,,,,,,,,,,,,,,,,,,"$25,316",,,,,,,,,,,,,,,,"$3,711",,,,,,,,,,,,,,,,,,,,,,,,,
Evangelion: 2.0 You Can (Not) Advance (2009),,,,,,,,,,,,"$2,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,658","$459,515","$153,819","$38,581","$6,030","$5,397",,,,"$85,380",,,,,,"$133,640",,"$40,448,249",,,,,,,,,,,,,,,,,
What Women Want (2011),,,,,,,,,,,,"$15,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$461,046","$353,310","$590,315",,,,,"$6,815",,,,,,,,,,,,,"$10,288,154",,,,,,,,,,,,
The Infidel (2010),,,,,,,,,,,,"$109,729",,,,,,,,,,,,,,,,,,,,,,,,"$54,664",,,,,,,"$118,045",,,"$73,527","$21,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am Limit (2007),,,,,,,,,,,,,"$1,508,472",,,"$270,493",,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,709",,,,,,,,,,,"$110,640",,,,,,,,,,,,,,,,,,,,,,,
Vivere (2007),,,,,,,,,,,,,"$58,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days and Clouds (2007),,,,,,,,,,,,,"$211,757","$6,010,383","$16,181","$35,922",,"$32,168",,,,,,,,,,,,,,,,,,,"$96,433",,,,,,,,,,,,,,,,,"$451,278",,,,,,,,,,,,,,,,,,,,,,,
Eight Miles High (2007),,,,,,,,,,,,,"$920,744",,,"$12,096",,,"$22,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Housemaid (2010),,,,,,,,,,,,,"$94,111","$129,421",,"$12,109",,"$37,933",,,,,,"$174,327",,,,,,,,,,,,,,,,,,"$24,548","$4,337","$14,075,390","$143,686","$126,098",,"$15,769",,,,"$42,611",,,,,,,,,,,,,,,,,,,,,,,,,
The Country Teacher (2008),,,,,,,,,,,,,"$130,619",,,,,"$8,511",,,,,"$1,273,173","$68,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Extra Man (2010),,,,,,,,,,,,,,"$143,341",,,,,,,,,,,,,,,,,,,,,,,,"$38,347",,,,"$10,071","$4,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triple Agent (2004),,,,,,,,,,,,,,"$32,728",,,,,,,,,,"$214,217",,,,,,,,,,,,,"$9,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will It Snow for Christmas? (1996),,,,,,,,,,,,,,"$309,273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,950",,,,,,,,,,,,,,,,,,,
Wicked Little Things (2006),,,,,,,,,,,,,,"$70,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$321,875",,,,,,,,,,,,,,,,,,,
First Love (2004),,,,,,,,,,,,,,"$472,969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,392",,,,,,,,,,,,,,,,,,,
Boogie Woogie (2009),,,,,,,,,,,,,,"$22,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Home Song Stories (2007),,,,,,,,,,,,,,,"$5,111",,,"$4,057",,,,,,,,,,,,,,,,,,,,,,,,,"$378,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Early Years: Erik Nietzsche Part 1 (2007),,,,,,,,,,,,,,,,$918,,,,,"$4,273",,,"$2,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$236,228",,,,,,,,,,,,,,,,,,
Los Muertos (2004),,,,,,,,,,,,,,,,"$24,723",,,,,,,,,,,,,,,,,,,,,"$3,766",,,,,,,,,,,,,,,,,,,,,"$3,027",,,,,,,,,,,,,,,,,,,
L'amour fou (2010),,,,,,,,,,,,,,,,"$7,962",,,,,,,,"$83,575",,,,,,,,,,,,"$27,824",,"$34,247",,,,,,"$38,121",,,,,,,,"$12,727",,,,,,"$312,494",,,,,,,,,,,,,,,,,,,
Lapland Odyssey (2010),,,,,,,,,,,,,,,,"$1,493",,,,,,,,,,,,,"$4,727,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putty Hill (2010),,,,,,,,,,,,,,,,"$8,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treeless Mountain (2008),,,,,,,,,,,,,,,,,,"$1,103",,,,,,"$4,999",,,,,,,,,,,,,"$17,564",,,,,,,"$40,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortress of War (2010),,,,,,,,,,,,,,,,,,,,"$150,221",,,,,,,,,,,,,,,,,,,,,,"$4,419,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klown (2010),,,,,,,,,,,,,,,,,,,,,"$696,299",,,,,,,,"$133,660",,,,,,"$364,835",,,,,,,,,,,,,,,,,,,,,,,"$68,795","$12,010,170",,,,,,,,,,,,,,,,,,
"I Love You, I Love You (1968)",,,,,,,,,,,,,,,,,,,,,,,,"$8,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$71,717",,,,,,,,,,,,,,,,,,,
Cracks (2009),,,,,,,,,,,,,,,,,,,,,,,,"$32,948",,,,,,,,,,,,,,,,,,,,"$39,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raja (2003),,,,,,,,,,,,,,,,,,,,,,,,"$249,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Wars (2009),,,,,,,,,,,,,,,,,,,,,,,,"$75,761",,,,,,,,,,,,,,,,,,,,"$783,850",,"$29,785",,,,,,"$39,145",,,,,,,,"$17,425,019",,,,,,,,,,,,,,,,,
6 Souls (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$708,753",,,,"$142,734",,"$696,339",,,,,,,,,,"$180,263",,,,,,,,,,,,,,,,,,,,,,,,,
Whisper (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,342,624","$112,121",,"$365,206","$231,962","$29,005","$854,848",,,,"$15,957","$54,778",,,"$136,830",,,,,,,"$21,877",,,,,,,"$60,604",,,,,,,,,,,,,
The Loved Ones (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,302",,,,"$91,927",,,"$254,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog Pound (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eccentricities of a Blonde-Haired Girl (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,115",,"$76,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the City (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essential Killing (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mourning Forest (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,786",,,,,,,"$51,474",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honey (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birdwatchers (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Forgotten (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$88,311",,,,,,,,,,,,,,,,,,"$53,744",,,,,,,,,,,,,,,,,,,
The Hole (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,636,848",,,"$323,554","$91,712","$139,937","$132,731",,"$141,880",,"$89,585",,,,,,,,,,,,,,,,,,,,,,,,,
Chatroom (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$316,927",,,,,,,,,,"$7,719",,,,,,,,,,,,,,,,,,,,,,,,,
I Love You Too (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$324,291","$1,597,474",,,"$26,519",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Edge (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,131,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,901,630",,,,,,,,,,"$26,186",,,,,,,,,,,,,,,,,,,,,,,,,
Brat 2 (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$591,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Lightning (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,680,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map of the Sounds of Tokyo (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$83,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bran Nue Dae (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,698,962",,,,,,,,,,,,,,,"$113,568",,,,,,,,,,,,,,,,,,,
Tenderness (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$66,367",,,,,"$4,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny and the Bull (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,452",,,,,,,,,"$5,196",,,,,,,,,,,,,,,,,,,,,,,,,
Fool N Final (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,428",,,,,,,,,,,,,,,,,,"$3,955,328",,,,,,,,,,,,,,,,
Gravity (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,256,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Kings of Mykonos (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,243,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Countess (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duelist (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,196,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breathless (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$668,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castaway on the Moon (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,718,480",,,,,,,,"$6,872",,,,,,,,,,,,,,,,,,,,,,,,,
Three Kingdoms (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,581,122","$2,174,648","$806,960","$670,030","$228,549",,"$46,996",,"$1,083,965",,,,,,,,,,,,,"$9,331,504",,,,,,,,,,,,
71: Into the Fire (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,528,451",,"$63,345",,,,,,,,,,,,,,"$199,226",,,,,,,,,,,,,,,,,
The Sun Also Rises (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,276","$9,530","$3,640",,,,,"$3,693",,,,,,,,,,,,,"$2,130,247",,,,,,,,,,,,
Ploy (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,460",,"$375,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The King of Fighters (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$73,129","$329,943",$380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The New Daughter (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Red Flowers (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,759",,,,,,,,,,,,,,,,,,,,,,,,,
Formosa Betrayed (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,693",,,,,,,,,,,,,,,,,,,,,,,,,
The Two of Us (1967),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$56,558",,,,,,,,,,,,,,,,,,,
"Léon Morin, Priest (1961)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$72,078",,,,,,,,,,,,,,,,,,,
Frankie & Alice (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$706,546",,,,,,,,,,,,,,,,,,,
Connected (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,953,637",,,,,,,,,,,,
Beneath Hill 60 (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$762,265",,,,,,,,,,,,
