Movie Name,South Africa,United Kingdom,Türkiye,United Arab Emirates,Portugal,Spain,Israel,Lebanon,Colombia,Ecuador,Uruguay,New Zealand,Germany,Italy,Netherlands,Austria,Sweden,Belgium,Greece,Ukraine,Norway,Romania,Czech Republic,France,Slovenia,Bulgaria,Croatia,Egypt,Finland,Estonia,Lithuania,Serbia and Montenegro,Latvia,Hungary,Iceland,Mexico,Argentina,Brazil,Venezuela,Peru,Bolivia,Russia/CIS,Australia,South Korea,Hong Kong,Singapore,Malaysia,Thailand,Indonesia,Philippines,Vietnam,Taiwan,Poland,Switzerland,Nigeria,Slovakia,Chile,Domestic,Denmark,Japan,India,Kuwait,East Africa,Central America,China,Ghana,Qatar,Oman,Bahrain,Ethiopia,Panama,Dominican Republic,Trinidad & Tobago,Jamaica,Curaçao,Aruba,Jordan
Beastly (2011),"$366,220","$2,195,141","$107,185","$79,922","$51,961",,,,,"$109,915",,,"$2,146,208","$2,058,442",,"$456,282",,,"$158,159",,,,,"$1,232,470",,,"$18,976",,,"$9,192","$20,585",,"$9,616",,"$11,503","$833,431",,"$521,880",,"$356,198",,"$1,165,316",,"$923,682","$778,764","$283,577","$273,841","$392,495",,"$245,682","$115,786","$414,283",,,,,,,,,,,,,,,,,,,,,,,,,
Love & Other Drugs (2010),"$615,954","$8,686,760","$848,981",,"$649,950","$3,641,789","$464,154","$202,234","$361,965","$113,698","$71,907","$816,198","$5,540,419","$5,098,694","$2,382,141","$973,728","$1,394,688","$1,282,739","$194,525","$292,956","$592,053","$250,927","$74,412","$5,695,081",,"$48,391",,,"$534,234","$45,098","$99,983","$23,524","$51,902","$516,873","$6,909","$2,380,041","$460,956","$1,807,751","$127,444","$384,050","$38,922","$2,494,978","$7,568,103","$3,641,864","$1,174,486","$736,397","$145,975","$78,285",,"$482,563","$8,192","$1,646,300","$573,245","$1,979,616",,"$23,121","$183,305",,,,,,,,,,,,,,,,,,,,
The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),"$1,931,605","$23,242,214","$1,623,018","$984,175","$1,215,064","$14,992,713","$813,599","$260,230","$4,493,123","$1,559,629","$185,692","$1,890,359","$15,531,389","$14,235,348","$3,658,294","$1,706,359","$6,869,710","$3,605,847","$1,104,313","$1,544,260","$3,621,378","$498,322","$1,079,853","$28,757,248","$161,059","$323,986","$217,020","$177,171","$1,191,088","$135,310","$263,036","$90,216","$126,649","$720,542","$133,025","$16,749,459","$4,486,616","$15,192,164","$2,549,032","$2,457,326","$429,153","$19,146,869","$12,777,363","$10,010,532","$3,355,051","$2,806,014","$4,266,217","$2,203,667",,"$2,603,691","$428,193","$1,012,048","$4,237,908","$3,120,134","$16,739","$334,282","$1,474,774",,"$2,262,062","$30,428,302",,"$354,482","$109,046",,"$18,569,138","$6,630","$138,764","$55,974","$72,495","$4,395",,,,,,,
The Tourist (2010),"$2,285,093","$8,045,889","$2,823,832","$2,133,235","$2,696,084","$11,439,344","$1,456,319","$364,477","$1,347,504","$277,659","$264,595","$1,296,927","$12,147,629","$15,372,649","$2,720,346","$2,000,083","$2,521,497","$2,402,249","$3,202,605","$1,635,972","$1,776,649","$691,893","$582,084","$7,154,754","$215,661","$414,904","$229,066",,"$759,934","$178,514","$182,192","$160,306","$245,686","$642,241","$100,431","$5,576,546","$1,629,330","$10,010,394","$1,638,157","$617,953","$163,402","$18,954,621","$11,330,350","$6,000,813","$1,476,379","$1,537,733","$1,681,003","$1,125,616","$2,480,033","$1,415,919","$406,887","$2,145,526","$1,870,765","$3,409,964","$247,929","$321,165","$562,391",,"$753,330","$22,367,685","$1,175,961",,"$93,904","$871,753","$20,745,800","$35,617",,,,"$10,785",,"$208,202","$199,038","$178,450","$87,968","$49,612",
All Good Things (2010),"$166,782",,,,,,,,,,,,,"$359,547",,,,,"$52,104",,,,,,,,,,,,,,,,,"$343,616",,,"$113,313","$61,853","$2,232",,,,,"$10,407",,,,,,,,,,,,"$582,024",,,,,,,,,,,,,,,,,,,
"Tomorrow, When the War Began (2010)","$77,996","$341,995",,"$142,791","$19,804","$145,780",,"$10,085",,,,"$1,026,705",,"$509,824",,,,,,,"$57,974",,,,"$14,072",,,"$6,598",,,,,,,,,,,,,,"$1,002,139","$13,151,324",,,,,,,,,,,,,,,,"$21,572",,,,,,,,,,,,,,,,,,
True Grit (2010),"$200,198","$13,491,519","$177,045","$192,601","$858,508","$7,083,447","$858,068","$23,397","$145,076","$44,883","$119,670","$1,334,117","$7,968,396","$4,183,698","$1,356,193","$670,141","$1,972,859","$1,138,191","$824,220","$61,220","$1,889,049","$78,458","$220,902","$11,533,147","$67,411","$48,645","$58,619","$12,403","$611,388","$10,700","$12,032","$36,376","$27,276","$112,220","$103,394","$1,402,472","$608,002","$2,092,878","$208,198","$120,922","$8,729","$1,391,383","$8,501,649","$213,260","$141,839","$166,534","$39,977","$70,743",,"$44,945","$41,511","$105,975","$748,348","$1,584,385","$3,595",,,"$171,243,005","$1,844,409","$821,617",,,,,,"$2,117",,,,,,,,,,,
TRON: Legacy (2010),"$1,538,932","$16,221,225","$1,967,810","$996,633","$811,479","$5,685,102","$810,846","$197,797","$2,621,248","$1,177,373","$59,323","$1,644,950","$14,756,510","$8,199,698","$1,753,829","$1,698,448","$2,580,809","$1,736,204","$724,925","$2,205,929","$868,850","$895,098","$734,689","$11,549,298","$102,880","$635,556","$80,038","$134,938","$440,400","$157,669","$149,588","$54,834","$98,846","$912,625","$142,526","$14,298,825","$1,948,774","$9,048,284","$3,419,740","$1,186,757","$193,227","$21,316,483","$14,506,195","$4,337,786","$1,957,178","$2,019,304","$3,128,368","$1,692,695","$2,467,545","$1,680,235","$257,781","$1,353,793","$2,227,449","$1,446,315","$20,068","$176,596","$566,205","$172,062,763",,"$25,155,442",,,"$29,865",,"$18,889,822","$12,111",,,,,,,,,,,
Another Year (2010),"$62,237","$2,770,445","$23,767",,"$62,510","$744,256",,,"$50,565",,"$22,276","$282,410","$1,213,689","$1,188,074","$586,788","$153,206","$198,049","$378,798","$173,109",,"$932,765","$7,737","$7,305","$2,939,528",,,,,"$415,696",,,,,,,"$56,173","$82,659",,,"$15,805",,"$38,455","$793,440","$121,401","$29,057",,,,,,,,,"$388,595",,,,,"$252,501",,,,,,,,,,,,,,,,,,
How Do You Know (2010),"$546,914","$1,184,135",,"$174,903","$338,685","$1,622,858","$155,414","$44,278",,,,,"$3,119,931","$121,477",,"$485,417",,"$51,405",,"$167,187",,"$206,111",,"$924,933","$36,409","$43,345",,,,"$19,746","$16,647","$27,087","$29,393","$59,088","$16,634",,,"$753,592","$294,932","$168,868",,"$1,571,891","$2,739,253",,,"$55,722",,,,"$103,614",,,"$167,270","$401,990","$35,043","$63,285",,,"$1,013,883","$1,009,486","$60,195","$101,509","$14,997",,,"$7,950","$19,577","$3,100",,"$3,563",,"$36,799","$47,106","$20,954","$17,237","$2,583","$14,840"
