Movie Name,Chile,South Korea,South Africa,New Zealand,Australia,Singapore,Russia/CIS,Peru,Uruguay,Colombia,Ecuador,Bolivia,United Kingdom,Germany,France,Spain,Italy,Austria,Belgium,Netherlands,Poland,Israel,Egypt,Qatar,Switzerland (German),Portugal,Ukraine,Hungary,Greece,Sweden,Norway,Czech Republic,Slovakia,Bulgaria,Bahrain,Serbia and Montenegro,Switzerland (French),Lithuania,Oman,Lebanon,Estonia,Jordan,Croatia,Latvia,Kenya,Nigeria,Brazil,Mexico,Argentina,Venezuela,Malaysia,India,Philippines,Vietnam,Hong Kong,Taiwan,Thailand,United Arab Emirates,Romania,Denmark,Türkiye,Iceland,Finland,Slovenia,Japan,China,Domestic,Kuwait,East Africa,Cyprus,Iraq,Ethiopia,Cambodia,Ghana,Switzerland,Russia
Testament of Youth (2014),,,"$21,069","$184,893","$590,963",,,,,,,,"$2,877,384",,"$249,297",,,,"$33,465",,,,,,,"$12,855","$5,500",,,"$64,267",,,,,,,,"$7,297",,,"$3,938",,,"$1,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Far from the Madding Crowd (2015),,,"$155,277","$743,972","$2,812,956","$54,380","$105,418",,,,,,"$8,767,667","$580,448","$271,549","$451,566","$78,145","$47,791","$350,455","$220,794","$177,725",,,"$4,640",,,"$23,579","$8,815","$13,319","$57,767","$97,698","$31,595","$6,321",,"$2,939",,"$18,106","$24,024","$2,980","$24,375",,,,"$10,993",,,,,,,,,,,"$81,939","$27,320",,,,"$622,418","$27,337",,"$62,612",,,,"$12,236,500",,,,,,,,,
Baby (2015),,,,"$33,033","$82,411",,,,,,,,,,,"$2,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,415,518",,,,,,,,,,,,,,,,,,,,,,,,
A Little Chaos (2014),,,,"$238,694","$747,687",,,,,,,,"$1,545,193","$1,449,285","$766,187",,"$309,957","$183,634",,"$98,222",,,,,,"$78,586",,,"$16,203",,,"$85,353","$64,569","$8,339",,,"$46,507",,"$1,434","$50,049",,"$3,751",,,,,"$65,982","$291,136",,,"$2,161",,,,"$56,108","$38,894","$11,337","$32,779","$51,819",,,,,,,,,,,,,,,,,
A Second Chance (2014),,,,"$5,588","$40,277","$6,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,421,528",,,"$729,403",,,,,,,,,,,,,,,,,,,,
Kung Fu Jungle (2014),,,,"$35,724",,"$1,402,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,061,798",,,,"$1,222,827","$468,951",,"$39,216",,,,,,,,"$18,710,000",,,,,,,,,,
Infinitely Polar Bear (2014),,,,"$51,016","$25,885",,,,,,,,,,"$162,622",,"$246,705",,,,,,,,,"$5,400",,,"$13,515",,,,,,,,,,,"$10,649",,,,,,,"$36,709",,"$1,010",,,,,,"$79,302",,,"$6,119",,"$1,796",,,,,,,,,,,,,,,,
The Viral Factor (2012),,,,"$9,397",,"$778,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,798,028",,,,"$2,864,127",,"$16,987","$24,695",,,,,,,,,"$220,496",,,,,,,,,
Far from Men (2014),,,,"$27,515","$526,782",,,,,,,,,"$57,388","$273,061","$174,082",,"$18,750","$31,669",,,,,,,,,,,,"$5,218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,652",,,"$5,980",,,"$5,336",,,,,,,,,
Dior and I (2014),,,,"$231,393","$200,007",,,,,,,,,"$5,121",,,,"$20,533","$27,915","$32,725",,,,,,"$2,335",,,,,,,,,,,,,,,,,,,,,"$51,864",,,,,,,,"$168,986",,,,,,,,,,,,,,,,,,,,,
