imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Cambodia,Central America,Chile,China,Colombia,Costa Rica,Croatia,Curaçao,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,E/W Africa,East Africa,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Guatemala,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
2760634,,A Chance Encounter (2014),,,,"$181,402",,"$140,345",,,,,,,,,,,,,,,,,,,,,,,,,"$3,472,295","$745,794",,"$164,197",,,,,,,,,,,,,,,,,,"$8,724",,,,,,,,,,,,,,,,"$279,105",,,,,,"$378,475",,,,,,"$78,222","$127,671",,,,,,,,,"$85,017",,,,,,,
1034306,,Dorothy Mills (2008),,,,,,,,,,,,,,"$65,454",,,,,,,,,,,"$85,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$733,229",,,,,,,,,,,,"$306,761",,,,,,,,,,,,,,,,,,,,,"$21,011",,,,,,,,,,
2235108,,Dear White People (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$214,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,011",,,,,,,,,,,,,,,,,,
1055300,,Painted Skin (2008),,,,,,,,,,,,,"$33,467,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196956,,One Chance (2013),"$56,720",,"$1,876,854","$49,793",,,,"$252,083",,,,,,,,,,,"$29,860","$614,426",,,,,,,,,,,,"$235,104",,,,,"$47,734",,"$9,384",,,,,,,"$288,816",,,,,,,,"$571,565",,,"$529,978",,,,,,,,,,"$6,662","$28,172",,,,,,,,"$13,370",,,"$67,664","$409,792",,,,,,,,,,,,"$28,511","$3,892,895",,,,
1186803,,An Empress and the Warriors (2008),,,,,,,,,,,,,"$6,147,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202540,,Dil Bole Hadippa (2009),,,"$85,373",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,430",,,,"$54,705",,,,,,,,,,,,,,,,,,,,,,"$67,330",,,,,,,,,,,,,,"$224,785",,,,
2492664,,May in the Summer (2013),,,,,,,,"$19,660",,,,,,,,,,,,,"$22,004",,,,,,,,,,"$97,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,182",,,,,,,,,,,,,,,,,,,,"$91,250",,,,,,,,,,,"$1,405",,,,,
2403981,,Tip Top (2013),,,,,,"$4,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2980516,,The Theory of Everything (2014),,,"$4,605,657","$763,309",,"$603,388","$48,281","$3,755,878","$109,237",,,"$422,158",,,,"$70,198",,,"$356,387","$790,360",,,,,"$154,763","$15,266",,"$106,033",,"$625,671","$1,545,536","$4,142,125",,"$995,020",,,"$1,026,793","$268,421","$38,212","$486,069",,,"$322,431","$5,891,866",,"$285,182","$34,082",,,"$213,647","$133,759","$50,606","$69,245","$2,339,275",,"$952,025","$1,162,235",,,$481,"$21,986",,,,,"$411,433","$58,551","$602,276","$893,277",,,,,"$809,738","$17,822","$448,270","$202,837","$45,263","$212,184","$2,295,854","$3,752,911",,"$662,328",,,,"$435,640","$137,227",,"$471,036","$165,746","$343,456","$31,909,172","$94,544","$403,720","$4,052",
0948530,,"Moscow, Belgium (2008)","$12,169",,,,,,,"$39,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,417",,,
2978462,,Dolphin Tale 2 (2014),"$447,443",,,"$182,791",,,"$65,314","$272,614",,,,"$152,884",,"$280,096",,,,,,,,,,"$17,918","$409,416",,,,,,"$351,680","$2,154,367",,,,,,"$170,437",,"$33,797",,,"$613,962","$505,070",,,,,,,"$78,507",,,"$609,520",,,,,"$32,856",,,,,,,"$695,368","$107,495",,,,,,,"$1,040,141",,"$192,385",,,"$587,481",,,,,,,,,,,,,"$404,960","$2,618,363","$86,738","$703,788",,
2247476,,When the Game Stands Tall (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$136,,,,,,,,,,,,,,,,,,,"$10,655",,,,,,,,,,,,,,,,,,
2207090,,Les invincibles (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$114,927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330546,,Wrestling Queens (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,937",,,,,,,,,,,,,,,,,,,,,,,
