imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2570858,,The Duke of Burgundy (2014),,,,,"$2,254",,,,,,,,,,,,,,,,,,,"$11,007","$4,588",,,,,,,,,,,,,,,,,,,,,"$14,909",,,,,,,,,,"$3,552",,,,,,,,,,,"$14,222",,,,,,,,"$3,601",,,"$66,493",,,
3264102,,Red Army (2014),,,"$10,004",,,,,,,,,,,,,,,,,,,,,"$38,571",,,,,,$876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,837",,,,,,,,,,,"$9,792",,,
0263265,,Shortcut to Happiness (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,660",,,,,,,,,,,,,,,,,,,"$331,218",,,,,,,,,,,,,,,,"$192,524","$61,892",,,,
2083231,,Java Heat (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,136",,,,"$166,917",,,,
1699755,,Peeples (2013),,,,,,,,,,,,,,,,,,"$4,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$96,398",,,,,,,,,,,,"$29,383",,,,
0493451,,The Skeptic (2009),,,,,,,,,,,,,,,,"$6,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$99,457",,,,,,,,,,,,,,,,,,,,,
2465140,,The Single Moms Club (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$52,305",,,,,,,,,,,,,,,,,"$318,436",,,,,,,,,,,,"$20,829",,,,
1662293,,Nothing Left to Fear (2013),,,,,,"$14,963",,,,,,,,,,,,,"$88,468",,,,,,,,,,,,,,,,,,,,,,,,,"$1,167,491",,,,,,,,,,"$396,573",,,,,,,,,,,,,,,,,,,,,,,,,,,
1002567,,Hansel and Gretel (2007),"$11,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$87,032",,,,"$2,101,678",,,,,,,,,,,,"$6,404",,,
0817545,,The Power of Few (2013),,,,,,,,,,,,,,,,"$25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,659",,,,
1034320,,Private Valentine: Blonde & Dangerous (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,277",,,,,,,,,,,,,,,,,,,,,,,,,,
3074780,,Supermensch (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,001",,,
