imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0477078,,Rocket Science (2007),,,"$3,902",,,,,,,,,,,,,,,,,,"$714,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,022",,,,
0462244,,Daddy Day Camp (2007),,,"$1,186,514",,"$73,678","$16,231",,,,,,,,,,,,,,,,"$34,409","$16,862",,"$10,495",,,,"$322,316","$127,104",,,,,,,,,"$35,921","$31,981",,"$42,689","$155,610",,"$18,429","$58,335",,,,,,,,"$5,083","$34,114",,"$12,888",,,"$15,904",,,,"$55,967",,,,,,,,"$196,873",,,"$961,794","$133,826",,,,,,,,,"$312,544","$1,085,756",,,,
0427392,,The Invasion (2007),"$321,586",,"$23,632","$104,998",,"$278,590","$20,312","$617,514","$53,380","$36,459",,"$65,354",,,,,,"$49,518",,,,,"$18,945","$46,907","$68,207","$20,299",,,"$1,285,507","$399,996","$496,000",,"$505,062","$115,860","$18,217","$112,901","$333,298",,"$1,021,480",,"$1,192,068",,,"$36,846","$16,421",,"$88,245","$275,407","$2,024,971",,,,"$134,439","$64,223","$13,794","$80,547",,,"$131,012","$308,126","$119,034","$381,717",,,"$87,105","$1,999,453",,"$10,948","$312,469","$21,550","$30,803","$98,617",,"$4,126,782","$3,054,692","$5,219",,,,,"$267,692","$465,821","$681,019","$172,239","$125,566","$986,757","$16,365","$238,314",,
0499556,,War (2007),,,"$1,275,254",,,"$284,373","$9,036","$350,141","$129,374",,,,,,,,,,,,"$22,486,409",,,,,,,,"$1,594,027",,"$47,044",,"$349,304","$86,098","$28,615","$9,351",,,"$100,103",,"$1,989,492",,,"$72,749","$44,463",,"$81,887","$667,983","$409,111",,,,"$171,678",,,"$71,671",,,"$100,032","$766,966",,"$115,520",,,"$74,732","$2,547,521",,,"$624,503",,,"$154,214",,"$338,401","$2,059,539",,,,,,"$272,835","$370,918","$1,054,048",,"$2,872,293","$810,735",,"$233,319",,
0489237,,The Nanny Diaries (2007),"$70,408",,"$1,674,686","$68,902","$21,541","$167,875",,"$794,165","$23,874",,,"$13,076",,,"$73,419",,,"$106,195",,"$159,312",,,,,,"$39,727",,"$70,137","$588,765","$395,542","$291,590",,"$391,195","$79,859","$37,369","$20,378",,"$437,673","$587,786",,"$831,916",,"$89,377","$55,630","$13,585",,"$74,715","$41,568","$876,250",,,,"$237,027","$128,973",,"$88,098","$5,153",,,"$83,089","$848,202","$188,165",,"$11,924","$106,641","$1,396,126",,,"$248,960","$69,597","$46,160","$344,095",,"$3,440,103","$3,590,397",,"$665,878","$116,423","$542,278","$7,177","$410,984",,"$379,487","$157,154","$60,265","$434,917","$15,968","$166,612",,
0373883,,Halloween (2007),"$206,325",,"$702,662","$550,059","$40,308","$277,562","$21,044","$732,949",,,,"$26,232",,,"$36,393",,,"$84,173",,"$172,618",,,,,"$26,939",,,"$31,867","$679,847","$2,145,509","$215,355",,"$75,645","$44,158","$49,596",,,,"$3,418,936",,,,,,"$27,621",,,"$164,103","$1,082,083",,,,"$349,004",,,"$91,119","$12,458",,"$147,981","$177,451","$517,997","$186,894",,"$37,296","$32,943","$1,625,002",,,"$180,129","$24,783","$20,951",,,"$114,691","$2,454,374",,"$359,031","$73,563","$269,824","$15,644","$170,011",,"$284,509","$102,105","$174,555","$3,782,209","$6,130","$166,281",,
0804461,,Death Sentence (2007),"$186,418",,,"$57,857",,"$304,359","$10,153",,,,,"$38,016",,,,,,,,,,,,"$3,776",,,,,"$637,702","$508,282","$90,180",,"$29,019",,,,,,,,,,,,"$4,895",,,"$50,500","$723,100",,,,"$452,155",,,"$31,433",,,"$72,202",,,"$102,328","$113,335",,,,,,"$14,170",,,"$52,103",,"$535,178","$1,263,144",,,,,,"$92,902","$23,341","$184,330",,"$341,289","$1,169,442",,"$348,592",,
0841044,,Two Days in Paris (2007),"$373,612",,"$1,724,376","$395,907",,"$380,987",,"$568,405","$10,575",,,"$94,113",,,,,,"$55,590",,"$28,451",,,,,,,,"$270,815","$1,739,660","$2,550,341","$37,413",,"$148,659","$18,127","$5,096",,,,"$225,946",,,,,"$83,023","$19,820",,"$45,887","$12,346",,,,,"$43,836","$434,413",,"$212,929",,,,,"$1,426,834","$96,017",,,,"$109,646",,,,"$49,544","$44,876",,,$433,"$1,035,776","$517,304","$831,801",,,,"$51,522","$22,306","$225,874",,,"$1,358,131","$20,617","$71,157",,
0039220,,Brighton Rock (1948),,,,,,,,,,,,,,,,,,,,,"$49,466",,,,,,,"$11,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0923752,,The King of Kong: A Fistful of Quarters (2007),,,"$96,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,140",,,,,,,,,,,,,,,,,,,"$14,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
