Movie Name,France,Greece,Netherlands,United Kingdom,Portugal,Domestic,Colombia,Uruguay,Peru,Chile,United Arab Emirates,Mexico,Argentina,Bolivia,Paraguay,Russia/CIS,Thailand,South Korea,Türkiye,Ukraine,Estonia,Lithuania,Philippines,New Zealand,China,Australia,Spain,Singapore,Norway,Germany,Italy,Finland,South Africa,Iceland,Slovenia,Hong Kong,Taiwan,Belgium,Japan,India,Vietnam,Malaysia,Indonesia,Pakistan,Switzerland,Poland,Sweden,Denmark,Austria,Israel,Hungary,Czech Republic,Lebanon,Croatia,Romania,Egypt,Slovakia,Bulgaria,Serbia and Montenegro,Latvia,Cyprus,Brazil,Venezuela,Ecuador,Panama,Dominican Republic,Switzerland (French),Nigeria,Trinidad & Tobago,Kuwait,Qatar,Bahrain,Jordan,Oman,Jamaica
Collateral Beauty (2016),"$2,400,000","$264,355","$1,600,000","$2,800,000","$474,146",,"$1,804,469","$66,756",,,"$871,928","$5,700,000","$1,000,000","$157,283","$25,253","$3,500,000","$47,416",,"$276,000","$404,805",,"$82,060",,"$252,839",,"$1,400,000","$3,900,000",,"$107,599","$1,300,000","$10,200,000","$181,434","$334,211","$34,588","$26,596","$1,000,000","$1,300,000",,"$2,700,000",,,,"$182,000",,"$777,000","$1,080,856",,,,,"$244,687","$126,349",,"$85,358","$548,045",,"$199,697","$82,985",,,,"$2,600,000",,,,,,,,,,,,,
Max & Leon (2016),"$8,739,076",,,$305,"$1,298",,,,,,,,,,,,,,,,,,,"$9,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A United Kingdom (2016),"$151,202","$6,518","$256,464","$2,990,210","$63,029",,,,,,"$30,948",,,,,,,"$96,373","$25,486",,,,,"$591,682",,"$1,709,630","$228,889","$21,397","$334,694","$1,023,810","$923,378","$46,943","$274,983",,,"$50,947",,"$80,996",,,,,,,"$156,068",,"$357,628","$1,135,870",,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut In (2016),"$596,913","$41,237","$170,596","$1,052","$52,070",,"$277,306","$39,501",,"$228,265","$162,946","$814,423","$470,519","$35,438","$13,423",,"$16,792",,"$32,738",,,"$23,537",,,,,,,,"$376,987","$569,428",,"$20,242","$6,286","$13,916",,"$105,960",,,,,,,,"$95,384",,,,,,"$91,523","$13,912",,,"$56,907",,"$15,516",,,,,,,,,,,,,,,,,,
The Odyssey (2016),"$8,613,055","$46,331","$55,639","$52,051","$27,192",,"$35,488",,,,,"$120,081",,,,"$423,275",,,"$8,430",,,"$3,381",,,,,"$195,839",,"$9,264",,,"$114,248","$15,265",,"$13,791",,,,,,,,,,,,,,,,"$14,583","$6,906",,,"$2,721",,"$2,612","$3,112",,,,,,,,,,,,,,,,,
A Silent Voice: The Movie (2016),"$524,547",,,"$110,552",,"$764,723",,,,,,"$504,235","$38,752","$3,701","$2,803","$120,635","$250,342","$1,930,879",,,,,,"$66,975","$6,686,328","$441,782","$113,756",,,,,,,,,,,,"$19,199,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heal the Living (2016),"$2,162,768","$5,199",,"$17,218","$2,543",,,,,,,,,,,,,,,,,"$6,981",,,,"$2,157",,,"$5,093",,,"$10,997",,"$3,604",,,,,,,,,,,,,,,,,,,,,"$3,793",,"$2,241",,,,,,,,,,,,,,,,,,
Moana (2016),"$35,508,789","$999,923","$5,276,540","$25,388,662","$1,810,957","$248,757,044","$3,638,159","$26,134","$1,889,309","$5,357,169","$3,659,533","$12,821,789","$7,437,286","$1,000,708","$307,989","$13,890,865","$1,411,765","$15,140,017","$4,690,880","$757,020",,"$296,867","$3,968,401","$14,378,650","$32,797,208","$52,552,505","$11,574,619","$2,145,932","$3,530,033","$17,053,553","$16,085,587","$1,543,888","$2,106,203","$300,217","$185,910","$3,005,020","$3,435,951","$4,829,438","$45,915,441","$1,976,013",,"$2,790,498",,,"$3,205,061","$2,547,319","$5,242,072","$3,622,317","$2,053,766",,"$539,947","$414,820",,"$241,269","$919,229",,"$339,752","$371,088",,,,"$22,913,792","$6,271,997",,,,,,,,,,,,
Jackie (2016),"$3,187,955","$327,939","$1,420,530","$3,788,074","$209,289",,"$91,165","$29,244",,,"$87,755",,"$222,827",,,"$452,857","$82,186","$170,574","$128,911","$78,670",,"$54,552",,"$309,229","$326,752","$1,496,206",,,"$179,119",,"$1,948,593","$289,400","$91,543",,"$58,085",,,,,,,,,,,"$446,529",,,,,"$137,532","$99,788",,"$26,559","$61,396",,"$14,124",,,,,,,,,,,,,,,,,,
Office Christmas Party (2016),"$1,017,498","$170,354","$1,426,121","$3,891,893","$639,182",,"$577,066","$36,114","$455,739","$144,127","$602,995","$2,009,719","$418,982","$120,428","$53,600","$4,774,614","$93,286",,"$68,334","$476,157","$165,744","$176,396","$134,604","$312,858",,"$4,194,140","$1,045,618","$219,636","$216,847","$3,435,508","$841,542","$263,069","$622,542","$115,298","$87,123","$355,712","$211,355","$410,194",,,,"$147,077",,,"$932,100","$802,856","$215,150","$355,263","$1,430,049","$715,033","$822,056","$231,040","$132,262","$192,593","$695,761","$38,397","$296,482","$111,510",,"$106,152",,"$1,717,883","$19,131,685",,"$873,835",,,,,,,,,,
