imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Chile,China,Colombia,Croatia,Czech Republic,Denmark,Domestic,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Hong Kong,Hungary,Iceland,India,Israel,Italy,Japan,Jordan,Kenya,Latvia,Lebanon,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia/CIS,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland (French),Switzerland (German),Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
2436516,,Go Goa Gone (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,899",,,,,,,,,,,,,,,,,,,,,,,,,,"$120,994",,,
1856057,,Phantom Boy (2015),,,,,"$26,371",,,,,,,,,,,,,,,,"$150,483",,,,,,,,,,,,,,,"$4,340",,,,,,,,,,,,,$106,,,,,,,,"$4,239",,,,,,,,,"$1,115",,,
4228294,,Les Cowboys (2015),,,,,"$108,886",,,,,,,,,,,,,,,,"$1,064,574",,,,,,,,,,,,,,,"$1,045",,,,,,,,,,,,,,,,,,,,"$8,905","$45,358",,,,,,,,,,,,
0880504,,Alive (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,214,998",,,,,,,,,,,,,,,,,,,
2494362,,Bone Tomahawk (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$73,722",,"$9,702",,,,,,,,,,,,,,,,,
2473510,,Paranormal Activity: The Ghost Dimension (2015),"$2,408,119","$2,502,846","$988,073",,"$601,501","$361,670","$5,335,114",,"$849,308",,"$1,607,017",,"$222,770","$567,975",,"$689,758",,"$46,484",,"$189,994","$4,798,677","$6,172,295",,,,,,"$165,125","$349,226",,,,,,"$40,076","$109,457","$559,404","$5,272,870","$1,008,956","$366,084",,"$355,625","$6,010","$1,226,239","$280,435","$721,334",,,,"$3,099,546",,"$267,676","$116,710",,"$81,323","$394,986","$1,055,230","$869,968","$186,014","$494,263",,,"$648,262","$331,997","$414,384","$5,864,894","$130,150","$1,810,571",
4430136,,Pyaar Ka Punchnama 2 (2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,738,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,861",,,
1861421,,A Chinese Ghost Story (2011),,,,,,,,,,"$328,204",,,,,,,,,,,,,,,"$559,367",,,,,,,,,,,,"$764,210",,,"$16,242",,,,,,,,,,,,"$790,730",,,,"$448,378",,,,,"$91,928",,,,,,,,"$217,931"
0425985,,The Chinese Botanist's Daughters (2006),,,,,,,,,,,,,,,,,,,,,"$685,733","$549,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3700456,,Blinky Bill the Movie (2015),,"$1,972,691",,,,"$34,400",,,,,,"$77,409","$80,157",,,,,,,,,,,"$80,465",,"$48,710","$38,789",,,"$121,201",,,,,,,,,,"$521,404",,"$96,612",$62,,,"$333,463","$87,496",,"$137,548","$181,431",,,"$37,333",,"$157,579","$154,264","$208,406",,,,,,"$174,171",,"$104,419","$27,867",,,
3614530,,Jem and the Holograms (2015),,,,,,,,,,,,"$4,515",,,,,,,,,"$7,005",,,,,,"$2,862",,,,,,,,,,,,,,,"$14,953","$3,267",,"$5,243",,,,,,,"$15,099",,"$6,720",,,"$6,339",,,,,,,"$40,130","$18,853","$12,869",,,
