Movie Name,Belgium,Portugal,Singapore,France,United Kingdom,Netherlands,Domestic,South Korea,Thailand,Hong Kong,Mexico,Italy,Germany,Spain,Romania,South Africa,Türkiye,Austria,Lebanon,Finland,United Arab Emirates,Hungary,Brazil,Argentina,Venezuela,Uruguay,Chile,Australia,New Zealand,Russia/CIS,Greece,Egypt,Lithuania,Croatia,Slovenia,Norway,Estonia,Serbia and Montenegro,Latvia,Iceland,Slovakia,Peru,Colombia,Central America,Ecuador,Bolivia,Taiwan,Indonesia,Malaysia,Philippines,Sweden,Denmark,Poland,Ukraine,Israel,Czech Republic,Bulgaria,Nigeria,Bahrain,Jordan,East Africa,Ghana,Oman,Ethiopia,Japan,India,Vietnam,Dominican Republic,Curaçao,Aruba,Kuwait,Qatar,Trinidad & Tobago,Jamaica,Switzerland,Puerto Rico,Lesser Antilles,China,Russia,Pakistan,Mongolia,Cambodia,Paraguay
The Broken (2008),"$142,146","$16,317",,"$258,676","$239,971",,,,,,,,,"$19,235",,,"$4,799",,"$6,404",,"$29,859",,,,,,,,"$35,323","$837,156","$8,145","$15,327",,,,"$63,467",,,,,"$7,284",,,,,,,,,,,,"$4,442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amreeka (2009),"$63,519",,,"$1,145,654",,,,,,,,,,"$271,791",,,,,"$7,035",,,,,"$10,089",,,,"$25,656","$25,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Final Destination (2009),"$1,405,282","$943,115","$1,279,603","$8,770,754","$20,174,471","$2,464,512",,"$1,956,726","$1,369,541","$1,443,579","$2,137,325","$4,590,236","$12,639,632","$4,120,952","$834,859","$653,278","$2,066,872","$2,297,645","$332,595","$135,355","$789,631","$886,236","$4,547,387","$1,733,271","$741,608","$73,427","$768,364","$5,368,420","$514,602","$14,044,105","$1,546,407","$241,454","$226,269","$173,335","$283,637","$72,538","$172,401","$60,865","$178,007","$61,958","$629,024","$769,269","$1,151,414","$38,316","$560,257","$217,039","$1,898,219",,"$1,815,415","$695,797","$323,753",,"$4,787,911","$1,044,270","$691,132","$787,101","$268,795",,,,,,,,"$1,911,473",,,,,,,,,,,,,,,,,,
Gamer (2009),"$347,537","$28,264","$464,748","$2,279,764","$1,883,440","$200,586",,"$1,980,881","$385,364","$103,762","$552,838","$1,273,677","$1,175,993","$2,049,947","$161,646","$231,399","$344,322","$248,412","$56,412","$87,815","$280,808","$128,946","$603,074",,,,,,,"$2,238,345","$727,321","$72,864","$48,329","$96,864","$19,952","$110,082","$28,761","$10,076","$40,204","$33,583","$47,740",,"$44,508",,"$22,047",,"$165,831",,"$578,616","$109,600","$225,530","$223,940","$202,251","$82,489",,"$111,430","$70,787",,,,"$8,353",,,,"$104,495",,,,,,,,,,,,,,,,,,
Cloudy with a Chance of Meatballs (2009),"$1,122,314","$926,477","$934,110","$5,798,908","$10,330,809","$2,447,098","$124,870,275","$4,827,075","$477,396","$896,739","$3,039,427","$6,448,099","$8,962,447","$7,000,967","$144,093","$724,670","$691,749","$1,157,980","$192,867","$438,337","$584,944","$395,599","$7,801,829","$1,667,186","$2,287,269","$211,779","$1,044,266","$7,487,784","$501,916","$8,648,249","$1,808,040","$43,779","$317,194","$151,058","$73,067","$1,385,169","$215,098","$34,020","$159,121","$92,303","$300,562","$540,122","$2,140,077",,"$537,916","$132,893","$575,274","$667,890","$515,893","$268,315","$1,514,699","$1,839,028","$1,868,195","$346,079","$1,528,705","$713,365","$312,951","$53,171","$103,527","$62,311","$33,146","$5,348","$6,945","$1,215","$2,255,763","$45,870",,,"$18,947","$18,285","$438,975","$66,115","$41,558","$37,977",,,,,,,,,
Love Happens (2009),"$198,539","$306,229","$263,433",,"$2,176,055","$413,326",,,"$53,180",,"$786,953","$395,255","$1,269,744","$945,776","$182,540","$205,367",,"$287,711","$83,235",,"$101,338","$129,378","$1,194,638","$172,917","$69,634","$27,695","$41,571",,,"$1,906,333","$322,643","$49,301",,"$69,742","$81,650",,,"$22,134",,"$15,542","$10,982","$86,093",,,"$14,747","$1,978","$156,630",,"$120,088","$31,225",,,,"$162,605",,"$62,341",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Star (2009),"$133,313","$88,929","$11,859","$2,264,871","$1,410,282","$302,991",,,,"$21,432","$40,812","$912,003","$297,637","$416,440",,"$92,375","$56,155","$76,079",,,,,"$394,652",,,,,"$2,568,097","$359,475",,"$23,439",,"$1,552",,,,,,"$15,029",,,,,,,,"$6,153",,,,"$269,580",,"$166,860",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronicle of an Escape (2006),"$8,207",,,"$44,084",,,,"$2,926",,,"$83,002","$70,627",,,,,,,,,,,,"$537,406",,,"$1,518",,,,,,,,,,,"$4,028",,,,,,,,,,,,,"$9,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paranormal Activity (2007),"$1,155,278","$413,631","$583,875","$9,617,547","$16,027,045","$957,268","$107,918,810","$2,831,659","$140,987","$323,836","$5,940,056","$9,153,419","$2,483,779","$2,679,752","$48,850","$296,600","$1,112,107","$527,931","$12,504","$398,475","$310,493","$23,571","$4,895,433","$1,272,176","$349,537","$58,797","$654,695","$7,818,643","$936,092","$2,213,046","$678,265",,,"$70,475","$124,623","$716,219",,"$56,508",,"$41,905","$66,976","$695,701","$1,261,145",,"$250,472","$71,293","$167,157",,"$259,646","$384,123","$715,584","$944,498","$255,093",,,"$126,132",,"$4,757",,,,,,,"$5,289,969",,,,,,,,,,,,,,,,,,
Still Walking (2008),"$74,114","$21,232",,"$1,043,940",,,,"$220,889",,,,,"$50,255","$386,649",,,,,,,,,,"$44,726",,,,,,,,,,,,"$36,373",,,,,,,,,,,"$42,170",,,,"$72,191",,,,,,,,,,,,,,"$1,351,534",,,,,,,,,,,,,,,,,,
Capitalism: A Love Story (2009),"$162,408","$88,449","$52,758","$478,231",,"$94,201",,,,,,"$568,310","$426,422","$271,214","$9,196",,"$32,781","$98,471","$4,501","$10,154","$16,536",,,,,,,"$353,003","$102,856",,,,,,"$17,906","$24,271",,,,"$2,941",,,,,,,,,,,"$108,238","$150,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Serious Man (2009),"$489,273","$67,419","$20,568","$3,582,435","$2,403,412","$524,566","$9,228,768","$53,793","$14,063","$36,306","$137,186","$3,644,266","$1,812,097","$1,328,026",,"$105,268","$51,228","$222,750",,"$210,475",,,,"$149,243","$10,164","$25,622",,"$741,212","$35,227","$150,931","$198,893",,"$3,521","$26,719","$7,920","$350,701",,"$15,937",,"$27,641",,,"$12,595",,,,,,,,"$178,296","$538,865","$346,837",,,"$57,490",,,,,,,,,,,,,,,,,,,,,,,,,,,
City Island (2009),"$23,930","$23,247",,"$141,304",,,,,,,,"$234,113",,,,,,,,,"$21,147",,,,,,,"$244,252","$41,560","$462,232",,,,,"$16,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrogates (2009),"$1,237,516","$931,734","$921,486","$8,849,456","$4,940,897","$949,422",,"$5,052,553","$1,094,691","$1,158,244","$3,141,378","$3,118,374","$1,984,038","$6,176,221","$226,297","$380,886","$1,181,024","$494,105","$102,479","$208,413","$472,449","$486,590","$1,838,881","$826,572","$1,637,609","$40,938","$162,762","$4,958,316","$590,531","$10,770,306","$337,780","$130,897","$52,186","$128,472","$46,543","$461,591","$65,016","$41,702","$72,876","$49,123","$40,506","$237,544","$664,812",,"$207,860","$53,264","$690,081","$914,889","$1,265,864","$926,835","$381,837","$658,503","$982,512","$492,185","$590,193","$274,223","$156,302","$33,879",,,"$17,781","$13,471",,,"$5,009,217",,,,,,,,,,,,,,,,,,
Fame (2009),"$1,992,120","$938,682","$392,303","$6,621,720","$14,308,999","$1,842,969",,"$3,798,631","$40,843","$281,902","$275,939","$2,462,242","$5,990,925","$2,484,548","$25,657","$609,928","$95,814","$641,564","$24,333","$818,267","$67,162","$65,357","$187,702","$57,537","$19,808",,,"$5,160,199","$755,035","$163,095","$470,116",,"$38,355","$3,560","$28,492","$1,161,386","$25,318",$832,"$23,060","$51,943",,"$38,017","$13,218",,,"$3,113","$56,525",,"$40,196","$104,352","$795,424","$776,795","$594,604",,,"$128,122","$37,525","$9,592",,,"$20,529","$2,349",,,,,,,,,,,,,,,,,,,,,
The September Issue (2009),"$47,440",,"$50,571",,,,"$3,820,067","$69,200","$66,447",,,,,"$26,073",,"$40,944",,,,,,,,,,,,"$1,210,385","$318,352",,"$127,385",,,,,,,,,"$5,964",,,,,,,"$32,336",,,,"$36,499","$22,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorority Row (2009),"$53,411",,"$146,873",,"$2,910,442","$144,256",,"$409,708","$211,652","$140,660","$257,122","$31,487","$50,414","$7,787,224",,"$62,384",,,"$15,443",,"$218,584",,"$297,916",,"$321,877",,,"$511,247",,"$688,873",,"$38,700","$13,085","$94,903",,,,,"$11,330","$18,945",,"$70,578",,,"$10,201","$12,324","$54,324",,"$423,157","$233,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiteout (2009),"$54,362",,"$258,734","$396,410","$251,470",,,,"$137,743","$266,557","$1,297,791","$469,565",,,"$50,349",,,,"$24,165",,"$91,248","$88,761","$285,899","$449,725","$540,207","$13,397","$147,011",,,"$1,079,291",,"$27,966","$86,852","$63,519","$39,155",,"$16,459",,"$13,704",,"$15,255","$207,223","$217,156",,"$111,343","$31,677","$151,607","$173,993","$230,203","$198,812",,,,"$113,200",,,"$100,220",,,,,,,,,,,,,,,,,,,,,,,,,,
Rudo y Cursi (2008),"$2,061","$16,660",,"$77,364","$270,264","$19,687",,,,,"$8,357,502",,,"$118,053",,,,,,,,,,"$310,389","$49,224","$4,663","$17,159","$5,972",,,,,,,,,,,,,,"$33,383","$37,312","$10,729","$9,752","$1,398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Education (2009),"$107,283","$79,220","$53,707","$422,061","$2,929,236",,,"$14,062",,"$69,255","$274,549","$536,758","$287,519","$1,308,337","$30,951","$195,624","$191,532","$103,948","$4,272",,"$39,000","$37,561","$337,832","$186,751","$33,857","$60,876","$27,571","$1,491,386","$601,527","$115,872","$176,669",,,"$45,713","$9,492","$87,526",,,,"$4,238",,"$21,935","$57,596",,"$26,496","$1,448",,,,,"$207,536","$1,877,955","$92,009",,,"$21,169",,"$2,550",,,,,,,"$431,431",,,,,,,,,,,,,,,,,,
