imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Bahrain,Baltic States,Belgium,Bolivia,Bosnia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Mexico,Netherlands,New Zealand,Norway,Oman,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies,Yugoslavia
0111507,,Three Colors: White (1994),,,,,,,,,,,,,,,,,,,,,"$1,237,219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,484",,,,,,,,,,,,,,,,,,"$9,903",,,,,
0111070,,The Santa Clause (1994),,"$12,326",,,,,,,,,,,,,,,,,,,"$145,539,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0111161,,The Shawshank Redemption (1994),,"$2,000",,,,,,,,,,,,,,,,,,,"$28,767,189",,,,,,,,,,,,,"$4,972",,,,,,,,,,,,,,,"$23,616",$258,,,,,,,,,,,,"$86,681",,,,,,,,,,,,,,,,,,,,,,,
0106966,,Strawberry & Chocolate (1993),,,,,,,,,,,,,,,,,,,,,"$2,080,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,382",,,,,
0114924,,While You Were Sleeping (1995),,,,,,,,,,,,,,,,,,,,,"$81,057,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,000",,,,,,,,,,,,,,
0110598,,Muriel's Wedding (1994),,,,,,,,,,,,,,,,,,,,,"$15,119,639",,,,,,,,,,,,,,,,,"$344,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,321",,,,,,,,,,,,,,
0109045,,"The Adventures of Priscilla, Queen of the Desert (1994)",,,,,,,,,,,,,,,,,,,,,"$11,220,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,911",,,,,
0109506,,The Crow (1994),,"$1,542",,,,,,,,,,,,,,,,,,,"$50,693,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0109813,,The Flintstones (1994),,"$10,943,476",,,,,,,,,,,,,,,,,,,,,,,,,,"$4,204,685","$35,343,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,839,257",,,,,,,,"$31,199,853",,,,,
0109830,,Forrest Gump (1994),"$4,999,308","$22,839,211","$5,562,917",,,"$5,381,320",,,"$9,158,603","$48,723","$106,331",,"$682,686",,"$1,924,037","$485,368","$47,061",,"$348,363","$3,560,193","$330,455,270","$67,946",,"$125,582","$88,941",,"$4,578,830","$25,986,604","$50,461,989","$2,533,442",,"$4,733,165","$429,056","$1,739","$46,282","$1,523,886","$3,572,874","$19,047,527",,"$69,786,781",,,"$90,016",,"$44,658",,"$452,654","$4,393,743","$5,333,562","$4,163,826","$4,181,867",,,,"$272,330","$875,559","$1,869,247","$1,387,915",,,"$102,304","$75,908",,,,"$2,004,000",$332,"$399,480","$2,315,127",,"$10,292,970","$16,326,616","$8,296,978","$9,138,462","$8,516,187","$1,672,945","$1,219,043",,,"$25,253,639","$388,901","$571,514",,,"$2,647"
