imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Baltic States,Bangladesh,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,East Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Latvia,Lebanon,Lebanon/United Arab Emirates,Lesser Antilles,Lithuania,Malaysia,Malta,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,New Zealand,Nigeria,Norway,Oman,Palestine,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Russia/CIS,Russia/CIS/Ukraine,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam,West Indies
0360139,,Chasing Liberty (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,450",,,,,"$13,396",,,,,,,,,,,,,,,,,,,,,"$5,870",,,,,,,,,,,,,,,,,,,,,,"$6,279",,,,,,,"$82,702",,,,,
0332712,,My Baby's Daddy (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,723",,,,,,,,,,,"$8,006",,,,,,,,,,,,,,,,,,,,,,,,"$576,331",,"$9,564",,,,"$114,507",,,,,,,,,"$106,975",,,,,
0346094,,Distant (2002),,,,,,,,,,,,,,,,,,,,,,,"$106,622",,,,,,,"$425,356",,,,,,,,,"$80,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,628",,,,,,,,"$130,826",,,,
0343135,,Along Came Polly (2004),"$539,522",,"$6,914,907","$2,125,304",,,,"$1,741,722",,"$1,547,271","$44,204",,"$259,229","$327,937",,"$283,300","$133,590",,"$122,396","$111,245","$184,802","$259,249",,,,"$80,455","$36,770","$43,021","$272,168","$5,789,429","$12,426,225","$1,420,073","$470,311","$558,441","$147,407","$110,963","$233,110","$816,605","$6,059,644",,,,"$25,850",,"$26,071","$69,045",,,,"$206,394",,"$3,712,944",,,"$315,159","$1,656,495","$722,882",,"$4,301,214",,,"$283,494","$158,599","$536,412","$966,135",,,"$81,787","$1,663,690","$1,948,047",,"$46,014","$654,838",,"$175,369","$1,282,361","$678,889","$6,836,404","$687,790","$2,489,890","$716,512","$375,874","$594,770","$270,442","$345,200","$15,030,232",,"$296,462",,
0329691,,Torque (2004),"$201,757",,"$2,146,563","$642,345",,,,"$63,542",,"$1,000,000","$127,141",,,"$42,019",,,,,,"$25,511",,"$68,533",,,,,"$7,009",,,"$1,530,193","$2,631,913",,,"$78,166","$29,735",,,"$173,800","$617,255",,,,,,,,,,,,,"$2,015,491",,,,"$524,172","$326,829",,,,,,,"$92,571","$226,553",,,"$44,379",,"$2,497,055",,"$11,227","$187,000",,,"$218,555",,"$2,360,410",,"$330,112",,"$173,800",,,,"$1,998,059",,,,
0368913,,Osama (2003),"$50,197",,"$317,402","$43,466",,,,,,,,,,,,,,,,,,"$7,262","$1,270,904",,,,,,,"$787,363","$401,652",,,,,,,,"$268,583",,,,,,,,,,,,,"$74,966",,,,"$16,751","$83,795",,,,,,,,,,,"$3,997",,"$9,615",,,,,,,"$21,617","$242,885",,,,,,,,"$255,557",,,,
0071577,,The Great Gatsby (1974),,,,,,,,,,,,,,,,,,,,,,,"$20,563,273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310924,,Crime Spree (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$184,055",,,,,,,,,,,,,,,,,,,,
0050706,,Mon Oncle (1958),,,$340,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,092",,,,,,,,,,,,,"$21,099",,,,,$875,,,,,,,
0046487,,Monsieur Hulot's Holiday (1953),,,$339,,,,,,,,,,,,,,,,,,,,,,,,,,,"$113,262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,426",,,,,,,,,,,,,"$108,875",,,,,$647,,,,,,,
0038762,,My Darling Clementine (1946),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0037382,,To Have and Have Not (1944),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0292610,,No Good Deed (2002),,,,,,,,,,,"$21,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$165,734",,"$109,928",,,,,,,,,,,"$90,269",,,,,,,,,,,,,,,,,,"$118,558",,,,,,,,"$752,784",,,,,,,,,,,,
0084058,,Heat and Dust (1983),,,,,,,,,,,,,,,,,,,,,,,"$1,761,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,598",,,,
0047528,,La strada (1954),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,470",,,,,,,,"$6,249",,,,,,,,,,,,"$14,159",,,,,,,,,"$11,674",,,,
0296042,,Ichi the Killer (2001),,,,,,,,,,,,,,,,,,,,,,,"$20,285",,,,,,,,,,"$60,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0062803,,Chitty Chitty Bang Bang (1968),,,,,,,,,,,,,,,,,,,,,,,"$7,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0290879,,The Legend of Suriyothai (2001),,,"$3,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0289879,,The Butterfly Effect (2004),"$123,934",,"$3,650,075","$900,798",,,,"$672,692",,"$900,000","$48,687",,,"$233,312",,,,,,,,"$68,753",,,,,"$19,676",,"$105,405","$4,174,704","$2,976,108","$256,000","$60,310",,"$36,241",,"$71,731",,"$833,112",,"$375,119",,,,,"$8,399",,,,,,"$2,680,144","$129,004",,,"$334,069","$313,193",,"$23,234",,,,"$140,525","$222,854","$63,607","$503,476",,"$28,816",,"$697,345",,,"$275,937",,,"$334,397","$7,104,096","$3,609,326","$485,634",,"$1,523,827","$199,132","$702,587",,"$129,100","$3,868,369",,,,
0335559,,Win a Date with Tad Hamilton! (2004),,,"$1,400,178",,,,,"$2,788",,,,,,,,,,,"$8,682",,,,,,,,"$4,042",,,"$13,290",$495,,,,"$2,865",,,,"$9,855",,,,,,,"$8,317",,,,,,,,,"$54,846","$6,687","$234,187",,"$2,989",,,,,,"$123,153",,,,"$241,237","$252,162",,,"$92,459",,,"$431,509","$347,829","$242,420","$8,982",,,,,,,"$952,500",,,,
0379557,,Touching the Void (2003),,,"$2,156,790","$79,086",,,,"$87,256",,,,,,"$9,397",,,,,,"$13,526",,,"$4,593,598",,,,,,,"$496,122","$481,629","$164,900","$64,005",,"$67,036",,,,"$71,985",,,,,,,,,,,,,"$62,414",,,,"$125,744","$482,919",,,,,,,,"$19,721",,,,,,,,,"$25,499",,"$36,611",,"$35,431",,"$189,214","$9,596",,,,,"$4,616,440",,,,
0315824,,The Big Bounce (2004),,,"$238,839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$80,235",,,,,
