Movie Name,Argentina,Uruguay,Brazil,Colombia,Singapore,Germany,France,United Kingdom,Italy,Netherlands,Poland,Belgium,Austria,Portugal,Estonia,United Arab Emirates,Lebanon,Czech Republic,Ukraine,Hungary,Switzerland (German),Norway,Finland,South Africa,Croatia,Türkiye,Romania,Jordan,Denmark,Latvia,Lithuania,Kenya,Iceland,Mexico,Ecuador,Australia,South Korea,New Zealand,Philippines,Thailand,Hong Kong,Nigeria,Ghana,Peru,Bolivia,Chile,Japan,Spain,Domestic,Sweden,Greece,Slovakia,Serbia and Montenegro,Bulgaria,Slovenia,Oman,Russia/CIS,Taiwan,India,China,Switzerland (French),Israel,Venezuela,Vietnam,Malaysia,Qatar,Bahrain,Russia,Ireland,Egypt,Switzerland,Panama,Paraguay,Pakistan,Cambodia,Kuwait,Iraq,Ethiopia,Central America,Indonesia,Cyprus,Trinidad & Tobago,Mongolia
The Clan (2015),"$10,360,307","$476,692","$415,277",,,"$165,895","$272,944","$55,878","$147,653","$210,556",,,"$19,652","$2,574",,,,,,,,,,,,,,,,,,,,"$229,559","$46,825",,"$29,052","$40,504",,,,,,"$157,115","$15,731","$367,427",,"$630,309",,,,,,$855,,,"$12,739",,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge of Spies (2015),"$1,291,043","$73,211","$1,851,682","$109,609","$868,191","$3,878,006","$6,740,265","$11,044,990","$12,123,245","$1,653,385","$1,222,893","$1,288,159","$289,477","$581,409","$31,519","$1,194,467","$237,624","$276,715","$281,690","$545,110","$480,332","$962,633","$320,675","$267,760","$116,421","$884,235","$550,870",,"$925,491","$57,074","$92,970","$22,694","$33,512","$1,752,608","$145,922","$5,432,428","$1,746,868","$764,117","$379,087","$209,932","$1,343,544",,,"$197,370","$48,995","$224,726","$5,517,223","$9,783,901",,"$882,675","$914,976","$4,440","$107,579","$93,852","$5,923","$106,992","$2,058,944","$1,270,978",,,"$593,973","$1,764,598",,"$86,398","$162,411","$125,413","$171,871",,,,,,,,,,,"$4,853",,,,,
The Lost Medallion: The Adventures of Billy Stone (2013),"$9,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,499",,,,,,,,,,,,,,"$124,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where to Invade Next (2015),"$19,149",,,,,"$95,242","$104,329","$121,948",,,,,"$18,605","$15,183",,,,,,,,"$39,796","$13,314",,,"$7,063",,,"$14,909",,,,"$1,874",,,"$148,003","$103,830","$34,436",,"$37,257",,,,,,,,"$33,478",,"$15,907",,,,,"$7,039",,"$6,133",,,,,,,,,,,,,,,,,,,,,,,,,,
Mountains May Depart (2015),"$52,311",,"$56,554","$15,212",,,,"$5,500","$361,515",,,"$8,674",,"$12,898",,,,,,,,,,,,,,,,,,,,,,,,,,,"$76,173",,,,,,,"$290,134","$82,913",,,,,,,,,,,"$4,253,776",,,,,,,,,,,,,,,,,,,,,,,
The Phantom of the Opera at the Royal Albert Hall (2011),"$29,698",,,,"$74,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$749,736","$549,063","$31,196","$23,265","$134,958",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mia madre (2015),"$194,081","$7,922","$61,390",,,"$83,943","$2,086,838",,"$3,614,836","$198,623","$32,077","$316,258","$55,403","$104,810",,,,,,,,"$15,177",,,"$3,116","$9,281",,,,,"$4,453",,"$1,309","$23,856",,"$252,505",,,,,,,,,,"$10,724",,"$189,238",,,,,,,,,"$8,906",,,,"$145,908",,,,,,,,,,,,,,,,,,,,,,
"Hail, Caesar! (2016)","$184,325","$13,323","$330,653",,"$101,445","$3,678,373","$3,591,629","$6,515,787","$2,416,449","$787,702",,"$405,584","$294,111","$178,000","$11,737","$183,601","$35,612","$113,105",,"$133,298","$435,898","$193,712","$233,913","$54,848","$20,772",,"$92,389",,"$203,393",,"$26,261",,"$17,236","$207,000",,"$3,057,559","$232,969","$274,635","$25,700","$19,270","$158,151",,,,,,,"$2,265,842","$30,498,085","$349,625","$234,840","$37,469","$27,744","$67,088","$16,877","$2,325","$1,036,386",,,,"$269,960","$352,071",,,"$38,403",,,,,,,,,,,,,,,,,,
The Other (2007),"$118,075","$10,999",,,,,"$59,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack on Titan: Crimson Bow and Arrow (2014),$999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,541",,,,,,,,,,,,,,,,,,,,,,,"$115,706","$22,500",,,,,,,,,,,,,,,,,,
Ghoul (2015),,"$24,920",,"$79,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$308,690",,,,,"$18,385",,,,,"$52,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad Day to Go Fishing (2009),,"$100,853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
War Room (2015),,,"$2,006,618","$96,615",,,,,,,,,,,,,,,,,,"$89,277",,"$173,477",,,,,,,,"$1,080",,"$1,202,867","$236,446","$800,763","$11,608","$251,747",,,,"$41,850","$10,700","$110,612","$92,541","$33,915","$317,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenny's Wedding (2015),,,"$19,640",,,,,,,,,,,,,,,,,,,,,"$18,583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life (2015),,,"$12,502",,"$4,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$123,236",,,"$17,320","$10,803",,,,,,,,,,,,,,,,"$27,613",,,,,,,,,,,,,,,,,,,,,,,,,,
Daddy or Mommy (2015),,,"$4,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Assassin (2015),,,"$48,634",,"$104,207",,,"$109,213",,,"$5,947","$57,185",,"$24,903",,,,,,,,"$109,968","$9,433",,,"$6,979",,,,,,,"$2,341",,,,"$91,089","$8,346",,"$9,879","$211,053",,,,,,,"$61,234",,"$10,013",,,,,"$4,894",,,"$1,083,809",,"$9,400,000",,,,,,,,,,,,,,,,,,,,,,,
Cemetery of Splendor (2015),,,"$12,654",,,"$4,074",,"$5,440",,,,"$7,328","$3,756","$6,020",,,,,,,,,,,,,,,,,,,$774,,,,,,,,,,,,,,,"$6,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Mountain (2015),,,"$20,365","$26,709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Club (2015),,,"$23,497",,,"$17,304","$79,860","$13,127",,,,"$12,101",,"$7,515",,,,,,,,,,,,"$14,619",,,,,,,,,,,,,,,,,,,,,,"$310,173",,,,,,,,,,"$10,558",,,,,,,,,,,,,,,,,,,,,,,,,
Wild Life (2014),,,"$3,189",,,,"$481,882",,,,,"$33,787",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Open Heart (2012),,,"$120,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$148,046",,,,,,,,,,,,,,,,,,,,
Dheepan (2015),,,"$1,813",,,"$130,041","$3,882,022","$197,182","$157,317","$155,691","$13,435","$202,689","$11,062","$18,534",,,,,,,,"$40,873","$48,448",,"$1,512","$24,964","$5,909",,,,,,"$3,247",,,,"$32,355",,,,"$34,481",,,,,,,"$150,511",,"$60,475","$63,645",,,,"$1,052",,"$4,867",,,,"$58,631",,,,,,,,,,,,,,,,,,,,,,
A Tale of Love and Darkness (2015),,,"$58,317",,,,,,"$60,749",,,,,"$2,973",,,,,,,,,"$10,572",,,,,,,,,,,,,,"$20,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eisenstein in Guanajuato (2015),,,"$6,520",,,,,"$4,359",,,$958,,,,,,,,,,,,"$7,737",,,,,,,"$5,143","$3,107",,,"$12,395",,,,,,,,,,,,,,"$11,415","$34,282",,,,,$877,"$5,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alone (2007),,,"$725,222",,"$489,023",,,,"$84,821",,,,,,,,,,,,,,,,,"$110,086",,,,,,,,"$1,214,300",,,"$3,382,079",,"$32,507","$2,040,003","$451,580",,,,,,,,,,,,,,,,,"$571,924",,,,,,,"$263,526",,,,,,,,,,,,,,,,,,
The Program (2015),,,,"$62,110","$13,990","$215,632","$623,110","$578,026","$342,959","$46,517","$41,960",,"$30,546","$4,075","$7,768","$63,845","$16,717","$10,546",,,,"$14,377",,"$11,156",,"$7,768",,,"$10,166","$6,855",,,$860,,,"$166,114","$42,247","$72,802","$1,912",,,,,,,,"$505,254","$75,368",,,"$11,150","$28,166",,"$7,687","$3,315",$346,,"$12,770","$3,635",,,"$22,986",,,,,,,,,"$40,818",,,,,,,,,,,,
Difret (2014),,,,"$9,510",,,,,,,"$6,547","$2,909",,$491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
