Movie Name,Italy,France,Argentina,Uruguay,South Korea,Germany,Netherlands,Spain,Belgium,Brazil,China,Serbia and Montenegro,Russia/CIS,United Kingdom,India,Singapore,Norway,Bulgaria,Türkiye,Portugal,Mexico,Australia,New Zealand,Malaysia,Kuwait,South Africa,Peru,Chile,Lebanon,Taiwan,Nigeria,Greece,Austria,Switzerland,Poland,Czech Republic,Finland,Slovenia,Romania,Lithuania,Slovakia,Domestic,Colombia,Denmark,United Arab Emirates,Iceland,Thailand,Hong Kong,Vietnam,Japan,Ukraine,Sweden,Oman,Venezuela,Israel,Hungary,Ecuador,Philippines,Egypt,Kenya,Ghana
The Train: Some Lines Should Never Be Crossed... (2007),,,,,,,,,,,,,,,"$1,225,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awarapan (2007),,,,,,,,,,,,,,,"$3,652,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Good Boy, Bad Boy (2007)",,,,,,,,,,,,,,,"$2,566,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhol (2007),,,,,,,,,,,,,,,"$3,626,209",,,,,,,"$18,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halla Bol (2008),,,,,,,,,,,,,,,"$4,000,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golmaal Returns (2008),,,,,,,,,,,,,,,"$15,706,257",,,,,,,"$33,021","$16,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jannat: In Search of Heaven... (2008),,,,,,,,,,,,,,,"$9,088,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMI: Liya Hai To Chukana Padega (2008),,,,,,,,,,,,,,,"$1,352,299",,,,,,,,,"$1,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karzzzz (2008),,,,,,,,,,,,,,,"$3,944,212",,,,,,,"$8,107","$6,753","$138,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 x 10 Tasveer (2009),,,,,,,,,,,,,,,"$2,869,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jolly LLB (2013),,,,,,,,,,,,,,,"$5,586,355",,,,,,,,"$26,157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuddh Desi Romance (2013),,,,,,,,,,,,,,,"$6,453,007",,,,,,,"$42,654","$20,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedh Ishqiya (2014),,,,,,,,,,,,,,,"$5,429,703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
