Movie Name,Russia/CIS,China,Thailand,Taiwan,Germany,Colombia,India,Japan,France,Italy,Mexico,Israel,Netherlands,Denmark,Spain,United Kingdom,Sweden,Belgium,Switzerland,South Africa,Portugal,Austria,Iceland,Estonia,Qatar,Croatia,Bahrain,Latvia,Kuwait,United Arab Emirates,Greece,Lithuania,Oman,Lebanon,Jordan,Venezuela,Brazil,Argentina,Ecuador,Panama,Peru,Costa Rica,Bolivia,Nicaragua,Uruguay,Dominican Republic,Chile,Aruba,Hong Kong,Malaysia,Singapore,Australia,South Korea,Finland,Domestic,Norway,Poland,Türkiye,New Zealand,Ukraine,Czech Republic,Slovakia,Bulgaria,Slovenia,Paraguay,Serbia and Montenegro,Philippines,Vietnam,Hungary,Romania,Egypt,Trinidad & Tobago,Indonesia,Pakistan,Cyprus,Mongolia,Jamaica,Nigeria,Honduras
Earthquake (2016),"$3,691,658",,,,,"$90,423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$62,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unlocked (2017),"$442,672","$12,438","$164,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$74,836",,,,,,,,,,,,,,,,,,,,,,,,,,
Voice from the Stone (2017),"$59,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On the Milky Road (2016),"$316,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasha Russia. Yaytsa sudby (2010),"$22,213,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.S.D. (2008),"$778,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Best Movie 3-DE (2011),"$9,809,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarif Novogodniy (2008),"$3,877,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odnoklassnitsy (2016),"$778,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samyy luchshiy den! (2015),"$10,828,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Few Less Men (2017),"$122,554",,,,,"$31,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countdown (2004),"$4,344,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baahubali 2: The Conclusion (2017),"$89,409","$11,951,545",,,,,"$210,000,000","$1,300,000",,,,,,,"$45,046","$699,642",,,,,,,,,,,,,,"$6,769,160",,,,,,,,,,,,,,,,,,,,,,"$2,474,974",,,,"$53,556",,,"$588,399",,,,,,,,,,,,,,,,,,,,
Night Nurses (2007),"$490,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Irony of Fate 2 (2007),"$50,009,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Best Movie (2008),"$27,587,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prey (2016),,"$6,589,175",,,,,,,,,,,"$231,548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaabil (2017),,"$5,097,469",,,,,"$16,402,229",,,,,,,,"$12,897","$278,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$101,890",,,,,,,,,,,,,,,,,,,,
Born in China (2016),,"$9,880,653",,,"$25,873","$14,709",,,"$1,082,729",,"$37,418",,"$8,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,734","$5,903",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missing (2008),,"$3,330,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enter the Warriors Gate (2016),,"$3,279,810","$44,982",,,"$84,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xian yi ren X de xian shen (2017),,"$58,320,490",,,,,,,,,,,,,,"$3,582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,157",,,,,,,,,,,,,,,,,,,,
I Am Not Madame Bovary (2016),,"$70,174,367",,,,,,,"$36,490",,,,,,"$36,412","$6,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$113,558",,,,,,,"$22,068",,,,,,,,,,,,,,,,,,,,
Megan Leavey (2017),,"$1,028,409",,,,,,,,,,,,,,,,,,"$45,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,052",,,,,,,,,,,,,,,,,,,,,
Phoenix Forgotten (2017),,"$97,583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,600,146",,,,,,,,,,,,,,,,,,,,,,,,
Touch of the Light (2012),,"$1,240,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Chan Presents: Wushu (2008),,"$174,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Warrior (2006),,,"$422,809","$8,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Glass Castle (2017),,,"$12,806","$33,273","$1,004,909","$64,387",,"$174,266","$171,116","$134,443","$373,829","$602,978","$271,151","$198,719","$179,035","$146,680","$72,258","$64,600","$54,436","$50,146","$36,819","$34,056","$31,887","$31,314","$29,169","$23,945","$20,559","$17,093","$16,453","$15,537","$15,460","$14,475","$4,588","$4,552","$4,240","$462,076","$158,265","$35,144","$29,637","$24,648","$23,879","$18,546","$13,017","$11,212","$7,264","$5,080","$4,731","$4,603","$48,927","$24,405","$11,293","$2,455",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Void (2016),,,"$5,871",,,"$54,116",,,,,,,,,,"$1,460",,,,,,,,,,,,,,"$23,696",,,,,,,,"$132,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fallen (2016),,,"$128,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$815,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Shack (2017),,,"$106,444","$198,571","$2,542,630","$856,348",,"$196,984",,,"$2,960,730","$68,421",,,"$216,615","$459,483",,,"$927,413","$389,848","$151,663","$554,505","$7,147",,,"$198,058",,,,,"$30,764",,,"$8,756",,"$267,878","$23,607,140","$74,364","$131,320","$126,386","$50,948",,"$17,817",,"$27,887","$33,247","$30,980",,"$514,238",,"$90,639","$437,321","$518,989",,,"$190,438","$1,388,316","$25,710","$203,255",,,"$441,711","$33,772","$39,919","$24,800","$26,436","$130,137","$12,035",,,,,,,,,,,
House on Willow Street (2016),,,"$8,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,119",,,,,,,"$10,297",,,,,,,,,,,,,,,,,,,,"$10,348",,,,,,,,,,,,,,
Resident Evil: Vendetta (2017),,,"$58,711",,,,,,,,"$176,409",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,055",,,,,,,,,,,,,,,,,,,,,,,,,,,
