imdbId,imdbid,Movie Name,Argentina,Aruba,Australia,Austria,Bahrain,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Curaçao,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,E/W Africa,East Africa,Ecuador,Egypt,Estonia,Ethiopia,Finland,France,Germany,Ghana,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Jordan,Kuwait,Laos,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East Other,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia/CIS,S/E/W Africa,Serbia and Montenegro,Singapore,Slovakia,Slovenia,South Africa,South Africa/Nigeria,South Korea,Spain,Sweden,Switzerland,Switzerland (French),Switzerland (German),Switzerland (Italian),Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,Vietnam
0383028,,"Synecdoche, New York (2008)","$34,392",,"$67,856",,,"$19,525","$77,643","$80,683",,,,,,"$8,385",,,,,,,"$3,083,538",,,,,,,,,"$24,573",,,,,"$24,283",,,,,,"$187,077",,,,,,,,,,,,,,,,"$17,810",,,,,,"$27,163",,,,"$56,742",,,,,,,,"$27,681",,"$28,638",,,,,"$15,398",,,,,,"$875,104","$1,910",,
0416212,,The Secret Life of Bees (2008),"$18,338",,"$293,492",,,,,"$22,459",,,,,,,,,,,,,,,,,,,,,,"$31,528","$6,654",,,,,,,,,,,"$22,261","$72,000",,,,,,"$24,848",,,"$173,055",,,"$165,914",,"$383,549",,,,"$6,343",,,"$47,386",,,,"$170,671",,"$10,925",,,"$205,304",,,"$190,372",,,,,,,,,,,,"$299,600","$7,102","$30,474",
1054588,,Flash of Genius (2008),,,$942,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,964","$17,454","$70,091",,"$11,010",,,,,,,"$72,992","$60,891",,,,,,,,,,,,,,,,,,,,,,"$7,502",,,,,,,,,,,,,"$20,965",,,,,,,,,,,,"$96,765",,,
0488905,,The Banishment (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$332,224",,,"$16,677",,,,,,,,,,,,,,,,,,,,,
1063669,,The Wave (2008),"$181,293",,,,,,,"$142,635",,,,"$46,855",,"$129,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,083",,,,,,,,,,,,,,,"$16,557",,,,,,,"$73,874",,
0808230,,Les deux mondes (2007),,,,,,,,,,,,,"$3,712,419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,021,856",,,,,,,,,,,,,,,,,,,,,,,,
0963743,,"Angus, Thongs and Perfect Snogging (2008)",,,"$1,362,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$151,887",,,,,,,,"$33,248",,,,"$147,927",,,,,,,,,,,,,,,"$49,753",,,,,,,,,,,,,,,,,,,,,"$53,032"
0885415,,The Flight Before Christmas (2008),,,,"$659,154",,"$648,220",,,"$13,885",,,,,,"$129,976",,,"$107,033",,"$973,846",,,,,,"$5,232",,,"$49,320","$4,796,060","$5,357,823",,,,,,"$32,836",,,,"$95,532",,,,,,,"$24,760",,"$27,557",,,,"$708,440",,,"$84,635",,,,,"$2,052,316","$60,761",,,,"$674,679",,"$13,131",,"$95,573","$451,221",,,"$711,732","$1,364,775","$186,656",,,,,,,,"$346,721",,"$22,387","$87,853",,,
1082868,,Quarantine (2008),"$376,330","$10,876","$770,741",,"$37,018","$105,930","$56,860","$393,526",,"$16,000",,"$188,281",,"$139,687","$34,019","$7,527",,,,"$166,202",,,,,,"$53,566","$30,702",$251,,,"$238,976","$1,120",,,,,"$31,297",,"$142,024",,"$63,140","$18,000",,,"$236,286",,"$25,394",,"$18,000","$81,699","$567,921","$475,528",,,"$157,587","$19,318",,"$9,801",,"$324,072","$305,137","$218,497","$35,027",,"$50,162","$56,044",,,"$10,654","$353,406","$24,477","$31,321","$48,224",,,"$1,241,997",,,,,,"$234,663","$182,167",,,,"$93,992","$1,542,213","$26,212","$335,855",
0482572,,Pride and Glory (2008),"$133,700",,"$215,205","$124,389",,"$232,638",,"$470,093","$61,289","$137,511",,"$36,564",,"$26,367","$37,345",,,,,"$56,335",,,,,"$49,489",,"$7,748",,"$35,681","$1,206,940","$349,597",,"$456,894","$456,640",,"$77,038","$12,160","$7,209",,"$263,141","$1,937,573",,,,,,"$12,657","$23,833",,"$14,530",,"$1,345,250",,"$242,024",,,"$20,914",,,"$143,760","$86,977","$109,649","$241,362","$78,235",,"$119,373",,,"$19,841","$58,745","$29,011","$23,014","$222,077",,,"$3,501,092","$171,148",,,,,"$142,846","$90,123",,"$207,803",,"$201,911","$1,787,773","$11,846","$162,496",
0469903,,The Express (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,718",,,
