Movie Name,United Arab Emirates,Mexico,Peru,Ecuador,France,Greece,Austria,Belgium,United Kingdom,Iceland,Argentina,Chile,New Zealand,Brazil,Uruguay,Australia,Bulgaria,Spain,Germany,Domestic,Russia/CIS,South Africa,Lebanon,Oman,Jordan,Kenya,East Africa,Norway,Taiwan,Malaysia,Philippines,Singapore,Thailand,Israel,Italy,Netherlands,Denmark,Sweden,Portugal,Türkiye,Czech Republic,Croatia,Finland,Slovakia,Serbia and Montenegro,Slovenia,South Korea,Hong Kong,Colombia,Switzerland (German),Hungary,Romania,Poland,Ukraine,Lithuania,Estonia,Latvia,Egypt,Bolivia,India,China,Qatar,Venezuela,Switzerland (French),Japan,Bahrain,Nigeria,Ghana,Ethiopia,Vietnam,Switzerland
Paper Towns (2015),,"$4,407,702","$317,980","$397,355","$3,105,831","$22,657","$345,322","$843,592","$5,242,976","$40,331","$1,035,269","$639,645","$547,977","$5,887,536","$90,292","$3,782,146","$31,713","$2,234,705","$2,795,437",,"$870,146","$196,109","$157,678","$15,566","$67,357","$10,952",,"$866,226",,"$350,971","$1,044,602","$457,078","$98,448","$227,888","$3,106,315","$1,303,034","$583,234","$1,170,446","$357,589",,"$156,783","$80,103","$435,666","$97,768","$57,061","$26,966",,"$514,453","$387,998","$264,332",,"$123,512","$632,982","$80,056","$60,266","$58,847","$41,368",,"$57,913",,,"$55,464","$980,203","$220,530",,"$73,996","$8,125",,,,
Journal d'une femme de chambre (2015),,"$50,370",,,"$1,723,277",,,"$69,133",,,,,,"$26,758",,,,,,"$54,235",,,,,,,,,,,,,,,,,,,$815,,,,,,,,,,"$1,637",,,"$11,173","$5,142",,,,,,,,,,,"$29,522",,,,,,,
Victoria (2015),,"$32,336",,,,,,,,,,,,,,"$53,195",,,,,$304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Golden Dream (2013),,"$906,790",,,,,,,,,,,,"$14,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,330",,,,,,,,,,,,,,,,,,,,,,
Timbuktu (2014),,"$152,897",,,"$4,152,207","$22,713","$92,724","$347,058",,,,,,,,,,"$411,238","$152,939",,,,,,,,,,"$13,934",,,,,,"$462,816","$244,660","$36,665",,,"$13,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahler on the Couch (2010),,"$19,294",,,,,"$173,233",,,,,,,,,,,,"$579,981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demonic (2015),,"$1,622,108",,"$105,395",,,,,,,"$497,618","$160,437",,,"$18,779",,,,,,"$149,377",,,,,,,,"$97,185","$617,160",,"$281,018","$143,521",,,,,,,,,,,,,,,,"$185,601",,,,,,,,,,"$43,297",,,,,,,,,,,,
Call Me Elisabeth (2006),,"$1,978",,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McFarland, USA (2015)",,"$424,265","$27,572","$118,809",,,,,"$19,401",,,,,,"$2,666",,,,,,,"$9,154",,,,,,"$1,774",,,,,,"$16,746",,,,,,"$10,713",,,,,,,,,$711,,,,,,,,,,,,,,,,,,,,,,
The Cobbler (2014),,"$1,353,414","$851,715","$84,782",,,,,,,,"$100,695",,"$1,056,200","$85,838",,,,,,,,,,,,,,"$60,926","$344,398",,"$102,562",,,,,,,,,,,,,,,"$283,528","$106,562",,,,,,,,,,,"$23,283",,,,"$166,559",,,,,,,,
Amador (2010),,,"$11,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloft (2014),,,"$33,283",,,,,,,,,,,,,,,"$184,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[REC] 4: Apocalypse (2014),,,"$704,052","$124,607","$1,799,681",,,"$139,908",,,"$217,205",,,,,,,"$1,259,390",,,"$158,058",,,,,,,,,,,,,,,,,,,,,,,,,,,"$329,727",,,,,"$182,292",,,,,,,,,,,,,,,,,,
Vice (2015),,,"$42,064",,,,,,,,,,,,,,,,,,"$120,531",,,,,,,,"$274,666","$343,877",,"$29,401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unfinished Business (2015),,,"$80,777",,"$1,550",,,,"$1,057,035",,,,"$160,405",,,"$1,073,442",,"$98,031",,,"$604,515","$10,371",,,,,,,,,"$144,497","$167,917",,,,,,,,,,,,,,,,,,,"$135,824",,,"$163,653",,,,,,,,,,,,,,,,,
Conference of Animals (2010),,,"$427,790",,,,,,,,,,,"$1,688,896",,,,,,,"$5,002,839",,,,,,,,,,,"$103,597",,,,,,,,,,,,,,,"$1,605,278",,,,,,,,,,,,"$52,373",,,,,,,,,,,,
Wolf Totem (2015),,,,"$5,369","$8,811,832",,"$55,315","$198,456",,,"$4,740","$1,800",,,,,,"$1,531,645","$394,554",,,"$13,321",,,,,,,,,,,$869,,"$3,473,496",,,,"$93,728","$35,486",,,,,,"$2,999",,"$269,068","$18,761",,,"$15,503",,,,,,,,,"$110,460,000",,,"$239,537",,,,,,,
