Movie Name,Japan,Singapore,Taiwan,Russia/CIS,France,Spain,United Kingdom,Türkiye,United Arab Emirates,Hong Kong,Germany,Austria,Bulgaria,Belgium,Portugal,Serbia and Montenegro,Brazil,Colombia,Mexico,Peru,Venezuela,Philippines,Thailand,Poland,Netherlands,Greece,Slovenia,Croatia,New Zealand,Italy,South Africa,Lebanon,Denmark,Ukraine,Norway,Finland,Czech Republic,Hungary,Egypt,Slovakia,East Africa,Iceland,Nigeria,Ecuador,Argentina,South Korea,Australia,Malaysia,India,Bahrain,Sweden,Israel,Chile,Uruguay,Bolivia,Domestic,China,Indonesia,Switzerland,Vietnam,Romania,Estonia,Lithuania,Latvia,Cyprus,Trinidad & Tobago,Paraguay,Kenya,Oman,Qatar,Central America,Ghana
Playing for Keeps (2012),,"$1,714",,"$4,688,836",,"$1,753,086","$1,162,000",,"$169,006","$26,933","$347,478","$123,519",,"$203,048","$58,621",,"$469,725",,"$1,101,011","$60,582",,,"$33,706","$87,227","$306,637","$39,924",,,,"$6,015,377","$398,699","$76,012",,"$418,084",,"$73,484",,"$134,274",,,,"$9,397",,,"$74,813",,,,,,,,"$23,053","$2,817",,,,,,,,,,,,,,,,,,
The Impossible (2012),,"$894,022",,"$1,771,465","$4,147,373","$54,536,668","$20,705,247","$264,213","$914,452","$1,754,649","$286,822","$60,949","$94,804","$3,315,459","$1,499,446","$4,210","$4,151,580",,"$11,119,679","$973,228","$2,231,335","$146,811","$884,435","$2,860,191","$1,727,292","$748,586","$24,038","$121,675","$592,095","$4,775,829","$270,450","$624,642","$1,004,538",,"$1,209,258","$249,195","$172,469","$108,285",,"$31,105","$30,436","$220,054",,"$305,931","$2,070,606","$4,144,670","$4,783,895","$810,683",,,"$249,114",,"$1,588,700","$202,309","$123,252",,"$8,730,000",,,,,,,,,,,,,,,
Parental Guidance (2012),,"$334,821",,"$1,987,339","$2,321","$382,005","$7,518,177",,"$319,164",,"$1,922,198","$493,918",,"$16,022",,"$99,106","$3,463,978","$1,129,826","$5,225,527","$1,132,985","$1,687,089","$100,202",,,,,"$74,929",,"$609,606",,"$731,552","$161,630",,"$75,566",,,,,,,"$21,077",,,"$458,092","$1,324,528",,"$11,385,883","$322,689",,"$99,987",,"$254,602","$550,736","$294,361","$171,448",,,,,,,,,,,,,,,,,
Promised Land (2012),,"$15,353",,,"$1,262,489","$993,892","$195,716","$21,989","$20,008","$71,522","$235,554",,,,"$49,799","$4,192",,,,,,,"$4,421",,,,"$1,521",,,"$428,453","$32,015",,,,,"$18,967",,,,,,,,,,,,,,,"$85,242",,,,,,,,,,,,,,,,,,,,,
A Haunted House (2013),,"$130,594",,"$1,432,768",,"$171,466","$396,265","$62,806","$311,518",,"$1,114,704","$183,795",,"$160,019",,,"$4,900,047",,"$1,734,094","$781,959","$2,549,064","$163,395","$12,778",,"$635,174",,,"$66,854",,"$4,167,383","$67,660","$4,715",,,,,"$31,486",,"$19,411","$31,638",,,,,"$714,530",,"$169,318",,,,,,"$75,181","$2,754","$26,525",,,,,,,,,,,,,,,,,
Mama (2013),,"$610,043",,"$6,120,979","$1,933,095","$10,287,633","$8,331,347","$679,721","$759,472","$329,334","$5,674,438","$995,463","$78,646","$623,890","$164,389","$24,020","$3,739,789","$1,693,816","$9,823,169","$1,123,903","$1,963,734","$278,075","$153,626","$335,818","$1,137,451",,"$60,367","$54,648",,"$3,125,266","$129,977","$104,909","$241,809","$277,423","$392,922","$520,082","$197,823",,"$117,688","$70,269",,"$12,435",,"$192,006","$2,536,494",,"$247,327","$883,423",,,"$556,099","$206,532","$356,653","$160,611","$52,471",,,"$1,680,789",,,,,,,,,,,,,,
Broken City (2013),,"$153,554",,,"$318,556","$2,810,234","$1,741,726","$264,909","$535,156",,"$878,289","$84,237",,"$368,486","$150,399","$21,371","$870,703","$179,809","$1,091,976","$128,663",,"$36,583","$72,530","$416,216","$372,770","$181,111","$36,535","$78,540","$216,746","$1,411,627","$118,486","$111,542","$134,746",,,"$55,116","$50,090","$69,765","$129,982","$18,759",,"$19,732",,,"$309,210",,"$1,323,336","$114,565",,,,,"$63,772","$89,680","$6,528",,,,,,,,,,,,,,,,,
Thale (2012),,"$2,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$293,652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movie 43 (2013),,"$41,515",,"$8,075,585","$252,358","$996,988","$2,942,128","$85,552",,"$351,775","$1,770,423","$659,060","$142,627","$161,942","$120,819","$49,355","$602,519","$57,411",,"$72,041",,"$22,612","$82,321","$414,390","$867,657",,"$137,678",,"$162,047","$1,562,691","$154,000",,,"$289,581",,,"$256,139",,,"$143,528",,,,,"$366,786",,"$1,482,766",,,,,,,,"$4,123","$8,840,453",,,,,,,,,,,,,,,,
Parker (2013),,"$207,214",,"$7,619,731","$2,009,639","$2,456,570","$2,616,679","$700,223","$1,370,209","$183,305","$3,097,973","$605,187","$318,411","$348,166","$240,607",,"$543,258","$63,357","$1,512,067","$111,174","$247,001","$254,408","$512,869",,"$604,678","$84,231",,"$58,714",,"$566,174","$744,174","$318,457","$70,963",,"$353,469","$72,610",,"$110,870","$186,242",,,"$45,998",,,"$320,698",,,"$728,843",,,,,,,"$21,756",,,,,,,,,,,,,,,,,
A Simple Life (2011),,"$216,540",,,,"$113,178","$56,228",,,"$3,591,684",,,,"$26,647",,,,,,,,,"$8,673",,"$13,196",,,,,"$296,212",,,,,,,,,,,,,,,,,,"$262,088",,,,,,,,"$191,826",,,,,,,,,,,,,,,,
