Movie Name,Domestic,Australia,Norway,Iceland,Italy,Spain,Germany,Poland,France,Denmark,Sweden,Czech Republic,Belgium,Finland,Netherlands,Portugal,United Kingdom,Türkiye,Greece,South Africa,Austria,Slovenia,Croatia,Slovakia,Mexico,Venezuela,Argentina,Brazil,Peru,Chile,Uruguay,New Zealand,Russia/CIS,Singapore,Thailand,United Arab Emirates,Israel,Egypt,Lebanon,East Africa,Nigeria,Ghana,Bahrain,Ukraine,Hungary,Colombia,Ecuador,Bolivia,Philippines,Japan,India,Bulgaria,Serbia and Montenegro,Malaysia,Trinidad & Tobago,Jamaica,Curaçao,Aruba,South Korea,Hong Kong,Indonesia,Switzerland,Latvia,Taiwan,China,Estonia,Lithuania,Russia,Oman,Switzerland (German),Kuwait,Qatar,Romania
The Well Digger's Daughter (2011),,,,,,,,,"$11,870,967","$111,940",,,"$472,094",,,,"$5,736",,,,,,,,,,,"$89,619",,,,"$257,443",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requiem for a Killer (2011),,,,,,,,,"$571,790",,,,"$7,843",,,,$632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men in Hope (2011),,,,,,,,,,,,"$5,500,379",,,,,,,,,,,,"$625,818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fairy (2011),,,,,,,,,,,,,"$66,229",,,,"$7,539","$15,059",,,,,,,,,,,,,,,"$2,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viva Riva! (2010),,,,,,,,,,,,,"$59,597",,,,"$21,129",,,"$14,788",,,,,,,,,,,,"$11,709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life for Sale (2011),,,,,,,,,,,,,,"$447,839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,742",,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom & Thomas (2002),,,,,,,,,,,,,,,"$231,620",,,,,,,,,,,,,,,,,,,,,"$1,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Love, Wedding, Marriage (2011)",,,,,,,,,,,,,,,,"$6,481",,"$295,571",,"$137,015",,,,,,,,,,,,,,,"$13,196","$30,230",,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,157",,,"$14,870","$5,377",,,,,,
Butter (2011),,,,,,,,,,,,,,,,"$21,916",,,,"$38,514",,,,,,,,,,,,,,"$4,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West of Memphis (2012),,,,,,,,,,,,,,,,"$1,287","$6,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won't Back Down (2012),,,,,,,,,,,,,,,,"$7,542","$1,163",,,"$28,772",,,,,,,,,,,,,,"$6,028","$2,937","$14,814",,,"$6,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Island President (2011),,,,,,,,,,,,,,,,,"$4,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sound of My Voice (2011),,,,,,,,,,,,,,,,,"$11,563",,,"$4,510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenge of the Electric Car (2011),,,,,,,,,,,,,,,,,$386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil Young Journeys (2011),,,,,,,,,,,,,,,,,"$6,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Queen of Versailles (2012),,,,,,,,,,,,,,,,,"$93,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreams of a Life (2011),,,,,,,,,,,,,,,,,"$283,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance (2012),,,,,,,,,,,,,,,,,"$265,193",,,,,,,,,,,,,,,,"$7,638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/H/S (2012),,,,,,,,,,,,,,,,,"$20,937",,"$76,974",,,,,,"$145,542",,"$699,737",,"$47,256","$179,579","$11,978",,"$624,756",,,,,,,,,,,,,,,"$18,958","$18,225",,,,,,,,,,,,,,,,,,,,,,,,
Shut Up and Play the Hits (2012),,,,,,,,,,,,,,,,,"$118,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Something from Nothing: The Art of Rap (2012),,,,,,,,,,,,,,,,,"$45,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side by Side (2012),,,,,,,,,,,,,,,,,"$8,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The House I Live In (2012),,,,,,,,,,,,,,,,,"$8,407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Richard Did (2012),,,,,,,,,,,,,,,,,"$485,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vexille (2007),,,,,,,,,,,,,,,,,"$6,377",,,,,,,,,,,,,,,,"$8,978","$32,712",,,,,,,,,,,$743,,,,,"$1,075,168",,,,,,,,,"$34,145","$8,969",,,,,,,,,,,,,
Citadel (2012),,,,,,,,,,,,,,,,,"$128,509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Door (2009),,,,,,,,,,,,,,,,,,"$108,804",,,"$9,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$84,558",,,,,,,,,,,,,,
Greystone Park (2012),,,,,,,,,,,,,,,,,,"$109,398",,,,,,,"$168,831","$750,766",,,"$313,077",,,,,,,"$88,048",,,,,,,,,,"$110,574","$216,440","$4,918",,,,,,,,,,,,,,,,,,,,,,,,,
Spud (2010),,,,,,,,,,,,,,,,,,,,"$2,316,147",,,,,,,,,,,,"$44,455",,,,,,,,"$1,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumping the Broom (2011),,,,,,,,,,,,,,,,,,,,"$381,653",,,,,,,,,,,,,,,,,,,,"$27,004","$148,887","$17,568",,,,,,,,,,,,,"$158,329","$94,180","$23,777","$11,809",,,,,,,,,,,,,,,
Madea's Witness Protection (2012),,,,,,,,,,,,,,,,,,,,"$1,078,769",,,,,,,,,,,,,,,,"$129,891",,,"$37,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Magic of Belle Isle (2012),,,,,,,,,,,,,,,,,,,,"$13,021",,,,,,,,,,,,,,,,,,,,,,,,,"$8,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girl in Progress (2012),,,,,,,,,,,,,,,,,,,,"$55,872",,,,,"$1,820,427",,,,"$90,719",,,,,"$7,541",,"$86,556",,,"$20,080",,,,,,,,,"$18,639",,,,,,,,,,,,,,,,,,,,,,,,,
Three Steps Above Heaven (2010),,,,,,,,,,,,,,,,,,,,,,,,,"$358,350","$40,965",,,"$93,557","$12,150",,,"$65,879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Better Life (2011),,,,,,,,,,,,,,,,,,,,,,,,,"$18,875",,,,,,,,"$16,719",,,,,,,,,,,,,,,,,,,,,"$19,918",,,,,,,,,,,,,,,,,,,
The Pact (2012),,,,,,,,,,,,,,,,,,,,,,,,,"$325,934","$390,822","$70,806",,"$412,130",,,,,,,,,,,,,,,,,"$142,417","$80,060",,,,,,,,,,,,,,,,,,,,,,,,,,
Kidnapped (2010),,,,,,,,,,,,,,,,,,,,,,,,,"$103,933","$56,835",,,"$88,665",,,,,,,,,,,,,,,,,"$43,046",,,,,,,,,,,,,,"$104,066",,,,,,,,,,,,,
388 Arletta Avenue (2011),,,,,,,,,,,,,,,,,,,,,,,,,"$38,548",,,,,,,,,"$12,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hierro (2009),,,,,,,,,,,,,,,,,,,,,,,,,"$543,330",,,,"$128,505",,,,"$9,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur and the Revenge of Maltazard (2009),,,,,,,,,,,,,,,,,,,,,,,,,"$377,844",,,,"$89,850",,,,"$2,208,692","$4,108",,,,,,,,,,,,,,$335,,"$303,412",,,,,,,,,"$243,285",,,,,"$20,593",,,,,,,,,
The Tall Man (2012),,,,,,,,,,,,,,,,,,,,,,,,,"$142,808",,,,"$62,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOL (2012),,,,,,,,,,,,,,,,,,,,,,,,,"$133,601","$74,713",,"$244,911","$49,300",,,,"$1,114,761","$20,693","$21,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Themis (2011),,,,,,,,,,,,,,,,,,,,,,,,,"$14,592",,,,,,,,,,,,,,,,,,,,,,,,,"$1,220,249",,,,,,,,,,,,,,,,,,,,,,,
Manual of Love 2 (2007),,,,,,,,,,,,,,,,,,,,,,,,,,"$182,188",,,"$62,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Happy Event (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,015","$12,741",,,"$1,593",,"$128,880",,,,,,,,,,,,,,,,,,,,,,,,,,,"$41,199",,,,,,,,,,,,,
Late Bloomers (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$247,693",,,,"$139,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sorry, If I Love You (2008)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,784",,,,,"$739,916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,486",,,,,,,,,
Laurence Anyways (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,475",,,,,"$22,740",,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,398",,,,,,,,,,,,,
Creature (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallowwalkers (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$49,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kahaani (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,966",,,,,,,,,,,,,,,,,,,,,,"$9,579",,,,,,"$84,668",,,,,,,,,,,,,
Starry Starry Night (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$765,,"$34,267",,,,,,,,,,,,,,,,,,,,,,,,,,"$544,234",,,,,,,,,,,,,
Un lac (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steak (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louise hires a contract killer (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Film (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$105,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branded (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,874,471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Are from the Future (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,228,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astérix and Obélix: God Save Britannia (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,802,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Jobs: The Lost Interview (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men Do What They Can (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
War of the Arrows (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,571","$16,859",,,,,,,,,,,,,,,,,,,,,,,,"$50,295,031",,,,,,,,,,,,,,
Dangerous Liaisons (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$119,820",,,,,,,,,,,,,,,,,,,,"$10,817",,,,,"$1,875,140","$15,087",,,,,,,,,,,,,
Vamps (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,265","$39,765",,,,,,,,,,,,,,"$41,357",,,,,,,,,,,,,,,,,,,,,,,,
Brake (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$97,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passion Play (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,605",,,,,,,,,,,,,,,,,,,,,,,,,,,,$329,,,,,,,,,
Planet B-Boy (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,718",,,,,"$6,859",,,,,,,,,
Doomsday Book (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$472,597",,,,,,,,,,,,,,
From Beginning to End (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,373",,,,,,,,,
The Tiger Brigades (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,048",,,,,,,,,
