Movie Name,Domestic,Australia,Norway,Iceland,Italy,Spain,Germany,Poland,France,Denmark,Sweden,Czech Republic,Belgium,Finland,Netherlands,Portugal,United Kingdom,Türkiye,Greece,South Africa,Austria,Slovenia,Croatia,Slovakia,Mexico,Venezuela,Argentina,Brazil,Peru,Chile,Uruguay,New Zealand,Russia/CIS,Singapore,Thailand,United Arab Emirates,Israel,Egypt,Lebanon,East Africa,Nigeria,Ghana,Bahrain,Ukraine,Hungary,Colombia,Ecuador,Bolivia,Philippines,Japan,India,Bulgaria,Serbia and Montenegro,Malaysia,Trinidad & Tobago,Jamaica,Curaçao,Aruba,South Korea,Hong Kong,Indonesia,Switzerland,Latvia,Taiwan,China,Estonia,Lithuania,Russia,Oman,Switzerland (German),Kuwait,Qatar,Romania
The Twilight Saga: Breaking Dawn - Part 2 (2012),"$292,324,737","$38,236,409","$5,375,229","$134,834","$24,417,636","$31,266,098","$39,292,461","$5,583,367","$38,951,800","$4,999,912","$8,318,364","$2,838,495","$7,733,240","$2,768,317","$5,609,552","$4,001,615","$57,946,291","$7,442,242","$2,481,388","$4,560,489","$5,285,699","$375,965","$723,949","$1,126,302","$29,577,943","$9,353,315","$7,304,324","$54,249,028","$5,175,525","$4,582,279","$395,428","$4,293,660","$42,816,364","$3,184,396","$6,234,483","$3,039,792",,"$943,074","$664,649","$111,646","$128,418",,,"$3,346,807","$1,722,841","$6,746,508","$2,229,037","$741,367","$8,266,504","$4,083,596","$1,675,822","$394,660","$151,669","$4,387,529",,,,,"$17,418,074","$2,603,490",,,,,,,,,,,,,
10 Years (2011),"$203,373",,,,,,,,,,,,,,,,,,,"$35,181",,,,,,,,,,,,,"$35,435","$4,347",,"$7,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hysteria (2011),,"$1,537,574","$441,770",,"$1,388,235","$692,261","$561,800","$295,420","$241,902","$183,800","$149,735","$125,807","$122,638","$116,979","$94,607","$93,106","$60,823","$44,499","$36,590","$35,297","$33,045","$16,701","$5,943","$5,472","$205,753","$157,860","$114,071","$97,267","$66,919","$13,336","$7,989","$561,840","$231,028","$30,285","$9,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Five-Year Engagement (2012),,"$6,353,823",,"$38,952","$278,869","$424,622","$4,777,603","$157,569","$109,842",,,,"$102,102",,"$43,908","$110,927","$7,743,125",,,"$246,165","$1,126,806","$65,088","$44,480",,"$968,967","$327,233",,,"$181,141",,"$16,595","$655,404","$772,370",,,"$350,666","$326,058","$58,086","$53,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lucky One (2012),,"$6,517,924",,"$28,336","$1,948,392","$1,961,472","$4,987,616",,,"$140,450","$445,290","$42,466","$501,988",,"$1,174,455","$364,333","$4,548,437",,"$368,440","$506,768","$498,505","$64,045","$29,373","$42,493","$2,248,465","$891,957","$517,799","$1,003,664","$207,011","$233,649","$77,264","$622,517","$963,588","$520,465",,"$383,706",,"$98,734","$132,570","$8,395",,,,"$100,494","$63,514","$314,803","$179,197","$26,491","$534,291","$238,767","$17,133",,,,,,,,,,,,,,,,,,,,,,
Safe (2012),,"$1,149,674","$288,637","$42,740",,"$1,836,530","$1,885,087",,"$1,749,510",,,,"$394,348",,"$614,305","$158,132","$2,927,441","$793,835","$149,117","$445,919","$323,171","$19,113","$22,156",,"$863,765",,,,"$402,790","$55,194","$11,049","$268,778","$6,334,618","$79,579","$390,758","$1,290,243",,,"$99,876",,"$29,268","$35,034",,"$474,035","$80,764",,,,"$207,312",,"$69,023","$195,273","$10,529","$724,987",,,,,,,,,,,,,,,,,,,
Red Dog (2011),,"$20,678,657",,,,,,,,,,,,,,,"$71,163",,,,,,,,,,,,,,,"$429,052",,"$6,852",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Shadows (2012),,"$10,667,700","$485,342","$61,981","$8,830,490","$7,429,920","$8,689,212","$1,141,422","$14,978,871","$842,400","$1,686,187","$391,545","$1,882,815","$911,424","$1,532,878","$892,921","$10,920,177","$947,739","$1,276,685","$335,082","$1,342,872","$56,176","$128,366","$145,418","$8,986,534","$1,787,749","$2,950,986","$4,884,632","$864,782","$1,413,186","$144,952","$1,268,650","$11,358,900","$1,681,396","$1,105,759","$857,770","$217,030","$188,936","$89,914","$24,450",,,,"$623,280","$338,674","$1,538,400","$488,250","$95,196","$1,629,342","$27,084,868","$248,759","$124,521","$99,374","$1,943,194",,,,,"$3,602,164","$2,104,083","$1,339,417",,,,,,,,,,,,
Rocket Singh: Salesman of the Year (2009),,"$47,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,462",,,,,,,,,,,,,,,,,,,,,,"$17,888",,,,,,,,,,,,,,,,,,,
Vicky Donor (2012),,"$29,044",,,,,,,,,,,,,,,"$161,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,717,273",,,,,,,,,,,,,,,,,,,,,,
The Dictator (2012),,"$13,677,431","$3,303,558","$121,859","$3,337,936","$6,709,387","$11,797,031","$1,613,798","$6,755,864","$1,648,857","$2,736,918","$535,348","$2,123,819","$2,194,905","$2,836,361","$1,494,987","$17,885,311","$470,249","$691,345","$756,771","$2,134,516","$396,628","$421,164","$226,927","$3,828,217","$406,713","$1,215,856","$3,203,377","$719,040","$196,581","$68,874","$1,000,921","$5,940,266","$1,515,796","$621,819",,"$2,389,934","$83,295","$411,142","$9,911","$16,728","$224,172",,"$830,681","$595,352","$740,325","$170,055","$19,821","$574,916",,,"$537,962","$169,701",,,,,,,"$1,373,653",,,,,,,,,,,,,
