imdbId,imdbid,Movie Name,Argentina,Australia,Austria,Baltic States,Belgium,Bolivia,Brazil,Bulgaria,Central America,Central America+,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Czech Republic/Slovakia,Denmark,Domestic,Dominican Republic,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Greece and Cyprus,Hong Kong,Hungary,Iceland,India,Indonesia,Israel,Italy,Jamaica,Japan,Kenya,Latvia,Lebanon,Lesser Antilles,Lithuania,Malaysia,Mexico,Middle East,Middle East Other,Middle East/UAE,Netherlands,Netherlands Antilles,New Zealand,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia/CIS,Russia/CIS/Ukraine,S/E/W Africa,Serbia and Montenegro,Singapore,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad & Tobago,Türkiye,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Venezuela,West Indies,Yugoslavia
0018773,,The Circus (1928),,,,,,,,,,,,,,,,,,,,,,,,,"$26,916",,,,,,,,,,,,,,,,,,,,,,,,,$509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021749,,City Lights (1931),,"$3,302",,,,,,,,,,,,,,,,,"$19,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,109",,,,,,,,,,"$26,827",,,,,,,,,,,,,,,,,,,,,,
0012349,,The Kid (1921),,"$10,540",,,,,,,,,,,,,,,,,,,,,,,"$26,916",,,,,,,,,,,,,,,,,,,,,,,,,"$4,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0184858,,Reindeer Games (2000),,,,,,,,,,,,,,,,,,,,,,,,,,"$251,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0185014,,Wonder Boys (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0186045,,Drowning Mona (2000),,,,,,,,,,,,,,,,"$3,340",,,"$15,506,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0165798,,Ghost Dog: The Way of the Samurai (1999),,,,,,,,,,,,,,,,,,,"$3,308,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0086969,,Birdy (1984),,,,,,,,,,,,,,,,,,,"$1,455,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0218112,,American Women (2000),,"$9,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101698,,Defending Your Life (1991),,,,,,,,,,,,,,,,,,,"$16,371,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0069704,,American Graffiti (1973),,$324,,,,,,,,,,,,,,,,,"$115,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0042208,,The Asphalt Jungle (1950),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,868",,,,
0104057,,Daughters of the Dust (1991),,,,,,,,,,,,,,,,,,,"$1,683,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,301",,,,
0102138,,JFK (1991),,,,,,,,,,,,,,,,,,,"$70,405,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0092666,,Blind Date (1987),,,,,,,,,,,,,,,,,,,"$39,321,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,$952,,,,,,,,,,,,"$14,914",,,,,,,,,,,,,,,,,,,,,,
0079588,,The Muppet Movie (1979),,,,,,,,,,,,,,,,,,,"$65,810,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0195685,,Erin Brockovich (2000),,,,,,,,,,,,,,,,,,,,,,,,,,"$11,880,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0195714,,Final Destination (2000),"$1,763,357","$1,706,462",,"$53,490","$1,489,258","$5,428","$2,225,027","$12,560","$163,700",,"$156,999",,"$284,744","$9,769",,,"$27,769","$186,086",,,"$30,028",,,"$59,242","$4,022,930","$6,928,330",,,"$730,456","$89,135","$58,946","$75,631",,"$174,163","$3,240,736",,"$1,581,586",,,,,,"$266,393","$3,331,329","$39,896",,,"$1,665,552",,"$105,471","$305,993",,,"$119,134","$260,827","$231,062","$378,236","$855,995",,,,,"$17,786","$780,110","$38,953","$565,109","$1,201,475","$4,336,179",,"$313,061","$404,188","$536,918","$617,795",,"$691,752",,,"$15,580,935",,"$401,744","$25,915",
0072443,,Mirror (1975),,,,,,,,,,,,,,,,,,,"$22,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$14,460",,,"$47,708",,,,,,,,,,,,,,,"$8,996",,,"$27,915",,,,
0103074,,Thelma & Louise (1991),,"$1,748",,,,,,,,,,,,,,,,,"$45,360,915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,651",,,,,,,,,,,,,,,,,"$93,163",,,,,,,,,,,"$7,443",,,,
0077975,,National Lampoon's Animal House (1978),,,,,,,,,,,,,,,,,,,"$141,600,000",,,,,,,,,,,,,,,,"$7,219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0097216,,Do the Right Thing (1989),,,,,,,,,,,,,,,,,,,"$27,545,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,670",,$819,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,777",,,,
0036775,,Double Indemnity (1944),,,,,,,,,,,,,,,,,,,,,,,,,"$11,214",,,,,,,,,,,,,,,,,,,,,,,,,$765,,,,,,,,,,,,,,,,,"$2,672",,,,,,,,,,,,,,,
0100758,,Teenage Mutant Ninja Turtles (1990),,"$1,432",,,,,,,,,,,,,,,,,"$135,384,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
