Movie Name,New Zealand,Australia,Portugal,United Kingdom,Domestic,South Korea,Brazil,Russia/CIS,Taiwan,Spain,Germany,Netherlands,Greece,Poland,United Arab Emirates,Argentina,France,Chile,Italy,Norway,Czech Republic,Mexico,Switzerland,South Africa,Austria,Israel,Sweden,Hungary,Iceland,Denmark,Türkiye,Finland,Lebanon,Cyprus,Bulgaria,Kenya,Romania,Serbia and Montenegro,Central America+,Singapore,Hong Kong,Egypt,Japan,Thailand,Russia,Belgium,Lithuania,Latvia,Croatia,Slovakia,Slovenia,Jordan,Bahrain,Estonia,East Africa,Oman,Malaysia,India,Philippines,Venezuela,Colombia,Peru,Ecuador,Uruguay,Jamaica,Lesser Antilles,Indonesia,Czech Republic/Slovakia,Palestine,Ukraine,Lebanon/United Arab Emirates,Baltic States,Puerto Rico,West Indies,Bolivia,China,Middle East Other,Middle East/UAE,Middle East,Kuwait,Qatar,Nigeria,Dominican Republic,Bangladesh,Malta,Central America,Vietnam,Russia/CIS/Ukraine,Curaçao,Aruba
Mon Oncle (1958),,$340,"$12,092",,,,,,,"$21,099",,,,,,,"$50,573",,,,,,,,,,,,,,$875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monsieur Hulot's Holiday (1953),,$339,"$13,426",,,,,,,"$108,875",,,,,,,"$113,262",,,,,,,,,,,,,,$647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Legend of Suriyothai (2001),,"$3,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Big Bounce (2004),,"$238,839",,,,,,,,,,,,,"$80,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbershop 2: Back in Business (2004),,"$35,954",,"$330,248",,,,,,"$2,851","$12,379",,,,"$55,800",,$528,,,,,,,,,,,,,"$3,274",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$357,708",,,,,,,,,,,,,,,,,
Catch That Kid (2004),,"$37,186",,,,,,,,"$4,330","$12,083",,,,,,"$5,250",,,,,,,"$189,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dreamers (2003),,"$168,475","$78,830","$1,197,016",,"$101,488","$645,874","$526,876","$47,180","$1,097,971","$885,758","$19,121","$149,000","$39,818","$41,295","$65,671","$671,112",,"$5,730,112","$28,483","$25,435","$209,971","$262,067",,"$34,606",,,,,"$54,244","$180,002","$3,309",,,"$17,640",,"$22,058","$32,551",,,"$66,650",,,,,"$179,141",,,,,,,,,,,,"$9,038,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome to Mooseport (2004),,"$48,643",,,,,,,,"$6,721","$74,007",,,,,,"$4,125",,"$10,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EuroTrip (2004),,"$287,939",,"$924,844",,,,"$1,026,561",,"$72,362",$542,"$248,813",,,"$93,196",,,,"$8,592","$13,303",,,,"$2,010,001",,,"$11,485",,"$40,421",,,,"$8,238",,,,,,,,,,,,,"$10,381",,,,,"$44,808",,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,280",,,,,,,,,,,,
Club Dread (2004),,"$38,042",,"$113,975",,,,,,"$2,399,498","$12,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Dancing: Havana Nights (2004),,"$165,584","$158,017",,,,,"$1,074,832",,"$2,110,997","$3,041,656","$658,756",,"$573,017","$43,921",,"$61,289",,"$1,145,236","$594,197","$282,021","$493,629","$854,145","$133,329","$724,327",,"$23,245","$280,351","$10,403",,"$72,040",,"$22,780",,,,,"$14,658",,,,"$6,661","$164,846",,,"$613,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartan (2004),,"$242,935","$249,239","$139,073",,,,"$439,722",,"$1,653,910",,,,"$47,043",,,,,"$106,980",,,"$623,012",,"$118,313",,,,,"$7,617",,,,,,,,"$18,513","$2,521",,,,,,,,,,,,,,,,,,,,,,"$29,402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Wings (2002),,"$8,017",,,,,,,,,,,,,,"$18,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermission (2003),,"$229,857","$13,700","$3,640,164",,,,,"$16,858","$186,557",,,"$37,120",,,,,,"$31,273","$30,888","$20,443",,,,,,,,,,"$20,252","$35,328",,,"$15,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey Girl (2004),,"$1,009,363","$32,990","$987,460",,,,"$593,559",,"$1,746,007","$412,852","$103,846","$85,760",,"$34,669","$73,359","$405,336","$25,792","$120,949","$23,231","$35,982","$978,534","$139,703","$561,997","$265,951",,"$25,505","$234,753","$18,843","$29,311","$28,601","$149,925","$32,076",,,,"$18,429","$29,728",,,"$115,629","$6,426","$176,223","$132,400",,"$256,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home on the Range (2004),,"$1,295,379","$621,360","$3,054,526",,,"$1,500,000","$751,744",,"$5,024,320","$4,009,628","$498,948","$563,250","$1,709,924","$67,699","$883,948","$53,790,055","$439,915","$4,277,277","$1,466,009","$90,965","$5,440,341","$1,026,970","$366,516","$1,133,620",,"$2,530,906","$327,459","$92,742","$1,278,670","$570,407","$1,328,549",,,"$8,125",,"$13,363",,,,"$128,506",,,,,"$861,480",,,,,,,,,,,,,,,"$175,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm Not Scared (2003),,"$137,855",,"$490,659",,,$535,,"$9,255",,"$151,993","$189,533",,,,"$99,159","$249,599","$5,721","$4,121,442",,,"$192,684",,,"$15,823",,,,,,,,,,,,,"$3,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connie and Carla (2004),,"$1,546,443","$36,710","$799,490",,,"$141,415",,,"$39,848",,"$10,112","$297,100",,"$15,397",,"$14,258",,"$16,574",,,"$161,144",,"$50,000",,,,,,"$7,868",,,,,,,,,,"$90,378",,,,,,,,,,,,,,,,,,,"$28,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clifford's Really Big Movie (2004),,"$22,675",,"$310,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godsend (2004),,"$806,503","$223,193","$3,044,537",,,,"$756,324","$53,129","$2,749,735","$618,751","$148,005","$154,550","$27,424","$156,039","$373,978","$1,234,785","$76,771","$2,221,773","$11,588",,"$1,598,921",,"$146,133","$129,955",,,"$142,939","$39,828","$34,776","$555,218","$18,850","$30,303",,,,"$16,546","$3,215",,,"$135,965","$9,629",,,,"$221,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laws of Attraction (2004),,"$413,795","$169,512","$2,277,196",,"$325,632",,"$1,255,106","$98,218","$2,179,409","$341,121",,"$342,900","$215,558","$105,185","$262,791","$494,856","$74,675","$688,240","$36,122","$68,210","$522,030","$622,012","$532,011","$151,508",,"$8,341","$197,186","$21,051","$23,284","$261,751","$19,817","$115,128",,"$47,447",,"$46,771","$5,685",,,,"$5,967",,"$83,400",,"$94,851",,,"$53,853",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye See You (2002),,"$47,728","$213,598","$119,078","$79,161","$673,072","$549,620",,"$308,632","$218,226","$164,221","$11,211","$337,599",,,"$36,947","$216,081","$17,708","$148,249","$21,858",,"$532,271",,"$75,993",,,"$14,384",,,"$23,239","$244,125","$17,010","$24,633","$18,654","$23,403",,,,"$30,888","$129,140","$42,048",,"$509,327","$133,746",,"$97,063",,,,,,,,,,,,,"$174,788","$127,116",,,,,,,"$104,165",,,,,,,,,,"$177,553",,,,,,,,,,,,,
True Stories (1986),,$317,,,"$2,545,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Dolce Vita (1960),,$615,"$27,872","$40,484",,,,"$81,714",,,,,"$25,950",,,"$34,764",,,,,"$2,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escape from Alcatraz (1979),,$970,,,"$43,000,000",,,,,,,,,,,,"$4,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Blind Swordsman: Zatoichi (2003),,"$245,765",,"$1,317,197","$1,118,163","$152,650","$70,250","$481,979",,"$601,836","$627,243","$60,831",,"$180,762",,"$84,647","$2,250,694","$34,612","$892,112","$131,158","$44,569","$15,272",,,"$75,789",,"$25,937","$20,675",,"$45,778",,,,,"$7,291",,"$1,250","$27,441",,,"$47,918",,"$23,696,316",,,"$51,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Size Me (2004),,"$2,016,222","$8,755","$1,995,967",,,,,"$23,798","$147,523","$1,979,023","$106,614","$22,500",,,"$30,985","$867,054","$17,217","$98,831","$296,361","$10,976","$124,357","$289,870",,"$412,396",,"$28,143","$31,343","$19,890","$323,849",,"$77,962",,,,,,,,,"$59,154",,,,,"$120,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Christmas Carol (1951),,$24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Around the World in 80 Days (2004),,"$1,266,493","$480,844","$7,719,618","$24,008,137",,,"$2,642,213","$221,000","$3,354,144","$9,478,069","$2,504,898","$223,100","$887,827","$636,062",,"$3,977,622","$47,044","$1,890,359","$56,936","$319,636","$1,037,041","$1,056,711","$520,839","$922,891",,"$31,469","$384,223","$66,999","$105,233","$86,592","$406,276","$164,904",,"$51,135",,"$19,064","$46,941",,"$310,000","$404,129","$26,008","$1,032,816","$530,600",,"$615,931",,,,"$39,571",,,,,,,"$422,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$21,903",,,,
Undead (2003),,"$96,919",,"$15,262",,,,,,,,,,,,,,,"$34,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killing Me Softly (2002),,"$59,034",,,,,"$275,155","$196,621",,,,,,,,"$9,394",,"$9,973",,,,"$72,404",,,,,,,,,,,,,,,,,,,,,"$3,506,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Home at the End of the World (2004),,"$9,669","$30,706","$144,877","$1,029,872",,,,,"$95,698","$86,195","$15,119","$24,000",,,,,,"$86,338",,,,,,"$26,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Killing of a Chinese Bookie (1976),,,"$4,792",,,,"$11,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persona (1966),,,"$25,407",,,,,"$65,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Envy (2004),,,"$54,426","$112,575",,,,,,"$103,832","$47,499",,,,,,,,"$80,393",,,"$358,481",,"$31,702",,,"$43,512",,,,,,,,,,,,,,,,,,,"$1,402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carandiru (2003),,,"$100,238",,,,,,,"$21,000",,,,,,,,,,,,"$35,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Together (1997),,,"$4,104",,"$320,319","$661,191",,,,,,$964,,,,,,,"$13,902",,,,,,,,,,,,,,,,,,,,,,"$143,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nostalghia (1983),,,"$16,236",,"$41,014",,,"$3,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smiles of a Summer Night (1955),,,"$9,441",,,"$1,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer with Monika (1953),,,"$14,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Adventure (1960),,,"$2,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiroshima Mon Amour (1959),,,"$7,911",,"$96,439",,,"$29,905",,,,,,,,,"$3,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ugetsu (1953),,,"$13,762",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mindhunters (2004),,,"$443,187",,,,,"$706,228",,"$5,228,542","$2,399,571","$884,189",,,"$161,680",,"$675,946",,"$2,449,850",,,"$1,589,256",,,"$320,015",,,,"$28,409",,"$301,882","$161,388","$46,955",,"$39,348",,,$888,,,"$259,024","$7,624",,,,"$964,103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Klein (1976),,,"$3,969",,"$213,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabolique (1955),,,,"$12,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King of Hearts (1966),,,,$484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distant (2002),,,,"$130,826","$106,622",,,,,"$23,628",,,,,,,"$425,356",,"$80,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat and Dust (1983),,,,"$11,598","$1,761,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Alamo (2004),,,,"$101,172",,,,,,"$765,957",,,,,,,,"$22,893","$56,716",,,"$1,531,000",,,,,,,,,,,,,,,$962,,,,,,"$479,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper Clips (2004),,,,"$31,013","$1,121,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Young Adam (2003),,,,"$1,135,673",,,,,"$7,733",,,"$86,627",,"$68,404",,,,,"$136,241","$13,229",,,,,,,,,,,,,,,"$2,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octopussy (1983),,,,"$23,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maborosi (1995),,,,"$13,161",,"$130,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma! (1955),,,,"$15,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Soft Skin (1964),,,,"$12,609",$509,,,"$17,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Days (2000),,,,"$24,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nightbreed (1990),,,,"$607,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean Streets (1973),,,,"$17,903","$32,645",,,,,,,,,,,,"$8,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distant Voices, Still Lives (1988)",,,,"$70,584","$693,563",,,,,,,,,,,,"$7,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Matter of Life and Death (1946),,,,"$124,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Jekyll and Mr. Hyde (1931),,,,"$12,098",,,,,,,,,,,,,"$4,517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steal (2002),,,,"$39,823",,"$1,821,505",,"$618,702",,"$107,285","$373,592",,,,,,"$3,806,717",,"$69,511",,"$44,573",,,,"$81,126",,,"$34,872",,,,,,,,,,,,,,,"$443,556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wings of Honneamise (1987),,,,,"$55,572","$5,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoot the Piano Player (1960),,,,,"$21,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secret Things (2002),,,,,"$105,090","$11,859",,,,,,,,,,,"$100,204",,,,"$5,243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Great Gatsby (1974),,,,,"$20,563,273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ichi the Killer (2001),,,,,"$20,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two (2002),,,,,"$47,806",,,,,,,,,,,,"$1,910,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simple Men (1992),,,,,"$141,554","$1,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three (2002),,,,,"$27,256",,,,,,,,,,,,"$588,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitchen Stories (2003),,,,,"$351,235",,,,,,"$183,491",,,,,,,,,"$695,528",,,,,"$26,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noi the Albino (2003),,,,,"$60,555","$13,894",,,,,,"$18,511",,,,"$10,984","$96,929",,,,,,,,"$24,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shade (2003),,,,,"$25,032",,,,$954,,,,"$73,800",,,,"$359,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Ten Commandments (1956),,,,,"$65,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After Hours (1985),,,,,"$10,609,321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentin (2002),,,,,"$275,968",,,,,"$144,261",,"$49,880",,,,"$618,497",,"$19,020",,,,"$46,705",,,,,,"$267,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Boys in the Band (1970),,,,,"$2,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nasty Girl (1990),,,,,"$2,281,569","$12,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Hearts (1985),,,,,"$2,492,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body Double (1984),,,,,"$8,801,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irma Vep (1996),,,,,"$282,310","$22,975",,,,,,,,,,"$9,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Throne of Blood (1957),,,,,"$46,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Best of Youth (2003),,,,,"$274,024",,,,"$113,277","$5,939",,"$506,362","$230,400",,,"$106,720","$52,428",,"$1,217,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bang Rajan (2000),,,,,"$24,629",,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Time for Drunken Horses (2000),,,,,"$587,654",,,,,,,,,,,,,,,"$44,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High and Low (1963),,,,,"$46,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infernal Affairs (2002),,,,,"$169,659","$977,903",,,,,,,,,,,"$621,749",,,,,,,,,,,,,,,"$31,998",,,,,,,,,"$7,035,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kikujiro (1999),,,,,"$200,920","$260,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goodbye, Children (1987)",,,,,"$4,542,825","$3,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lola Montès (1955),,,,,"$120,306",,,,,"$22,009",,,,,,,"$138,851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupin III: The Castle of Cagliostro (1979),,,,,"$142,425","$9,377",,,,,,,,,,,,,"$143,398",,,,,,,,,,,,,,,,,,,,,,,,"$227,961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grey Gardens (1975),,,,,"$36,923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Future (2002),,,,,"$5,166","$23,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaena: The Prophecy (2003),,,,,"$8,593",,,,,,,,,,,,"$457,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo Godfathers (2003),,,,,"$367,131","$67,207",,,"$18,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Starfighter (1984),,,,,"$28,733,290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How the West Was Won (1962),,,,,"$76,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Element of Crime (1984),,,,,,$65,,"$4,743",$938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bells of St. Mary's (1945),,,,,,"$4,645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duck, You Sucker! (1971)",,,,,,$980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Water (2002),,,,,,"$376,748",,"$86,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$906,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
