Movie Name,New Zealand,Australia,Portugal,United Kingdom,Domestic,South Korea,Brazil,Russia/CIS,Taiwan,Spain,Germany,Netherlands,Greece,Poland,United Arab Emirates,Argentina,France,Chile,Italy,Norway,Czech Republic,Mexico,Switzerland,South Africa,Austria,Israel,Sweden,Hungary,Iceland,Denmark,Türkiye,Finland,Lebanon,Cyprus,Bulgaria,Kenya,Romania,Serbia and Montenegro,Central America+,Singapore,Hong Kong,Egypt,Japan,Thailand,Russia,Belgium,Lithuania,Latvia,Croatia,Slovakia,Slovenia,Jordan,Bahrain,Estonia,East Africa,Oman,Malaysia,India,Philippines,Venezuela,Colombia,Peru,Ecuador,Uruguay,Jamaica,Lesser Antilles,Indonesia,Czech Republic/Slovakia,Palestine,Ukraine,Lebanon/United Arab Emirates,Baltic States,Puerto Rico,West Indies,Bolivia,China,Middle East Other,Middle East/UAE,Middle East,Kuwait,Qatar,Nigeria,Dominican Republic,Bangladesh,Malta,Central America,Vietnam,Russia/CIS/Ukraine,Curaçao,Aruba
Dawn of the Dead (2004),"$207,224","$1,943,631","$250,296","$9,878,774","$59,020,957","$1,538,881","$698,677","$1,369,005","$1,088,051","$1,873,290","$2,809,045","$582,920","$313,032","$352,087","$194,234","$166,541","$3,089,798","$120,928","$2,291,592","$246,784","$61,362","$1,756,470","$338,273","$174,578","$561,771",,"$655,132","$54,233","$79,113","$357,123","$119,795","$32,472",,"$27,779","$9,221","$10,325","$29,649","$16,963","$326,098","$491,068","$298,789","$35,288","$4,739,439","$515,748","$1,251,943","$644,489",,,"$46,600",,"$77,346",,,,,,,"$10,109","$464,659","$201,741","$135,095","$130,641","$73,400",,,,"$186,954","$189,929",,"$137,802",,,,,,,,,,,,,,,,,,,,
Eternal Sunshine of the Spotless Mind (2004),"$234,508","$2,753,427","$266,236","$9,051,339","$34,400,301","$3,613,626","$841,660","$865,579",,"$1,300,510","$1,247,572","$761,365","$582,200","$405,663","$22,816","$391,310","$3,964,987","$37,463","$3,517,663","$375,404","$251,041","$698,982","$741,005",,"$258,523",,"$1,261,573","$85,875","$95,409","$827,356","$444,276","$287,612",,,"$14,833",,"$54,426","$9,755","$87,358",,"$415,731",,"$2,910,588",,,"$704,485",,,"$21,801",,,,,,,,,,,"$27,179","$147,974","$23,412","$33,892",,,,,,,,,,,,,,,,,,,,,,,,,,,
Taking Lives (2004),"$230,491","$2,569,295","$341,233","$1,669,779",,,"$900,000","$903,997","$535,700","$4,485,350","$1,737,364","$842,362","$1,038,550","$168,477",,"$221,348","$2,888,754","$45,674","$2,606,499","$145,138","$73,006","$2,242,039","$412,413","$385,743","$537,912",,"$132,093","$147,577","$51,701","$331,301","$450,112",,"$38,829",,"$110,434",,"$40,796","$38,853",,,"$315,712","$51,299","$316,853","$248,800",,"$1,132,499",,,,,,,,,,,,,,,,"$73,352",,,,,"$127,167",,,,,,,,,,,,,,,,,,,,,,,
The Ladykillers (2004),"$95,990","$948,698","$527,983","$3,797,723","$39,799,191",,"$100,000",,,"$4,733,333","$1,915,431","$868,366","$841,500","$534,986","$141,627","$160,677","$8,334,523","$51,406","$3,371,449","$254,441","$134,274","$977,423","$799,716","$219,737","$138,540",,"$317,255","$159,857","$65,761","$258,222","$549,087","$199,409",,,"$35,939",,"$96,672",,,,"$193,344","$4,502","$1,749,957",,,"$816,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scooby-Doo 2: Monsters Unleashed (2004),"$1,496,752","$8,188,851","$430,614","$30,200,200","$84,239,132","$118,400","$4,200,000","$840,726",,"$4,519,669","$2,391,996","$912,289","$550,340","$334,309","$347,779","$1,367,007","$9,232,039","$675,951","$2,631,449","$736,447","$77,524","$9,149,902","$685,614","$814,378","$563,215",,"$1,214,204","$192,369","$151,492","$1,094,399","$578,212","$574,001","$36,493",,"$25,935",,"$22,285","$1,507",,"$369,016","$490,893","$32,088","$1,699,000","$392,400","$139,000","$1,114,104",,,,,,,,,,,"$415,858",,"$229,887",,,"$349,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dogville (2003),"$57,385","$307,104",,"$558,624","$1,535,286",,,"$424,802","$36,134","$1,494,849","$2,054,384","$520,147","$504,000","$207,538","$8,447","$90,299","$2,132,787","$22,002","$3,272,119","$128,219","$30,835","$221,199","$467,438",,"$249,196",,"$368,851",,,"$1,231,984","$38,237","$157,448",,,,,"$6,792","$33,779",,,,,"$152,466",,,"$230,281","$4,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ned Kelly (2003),"$246,645","$5,040,860",,"$847,674",,"$14,447",,,,"$95,732",,,,,"$27,684",,,,,"$8,126",,"$124,304",,,,,"$7,811",,,"$10,042",,"$5,923",,,"$12,018",,,,,"$7,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellboy (2004),"$588,985","$2,433,233","$282,613","$5,601,927","$59,623,958","$1,129,479","$1,004,135","$1,371,642","$742,935","$4,786,067","$2,157,884","$172,696","$187,969","$110,673","$190,510","$112,693","$3,856,479","$91,001","$1,294,763","$184,523","$163,972","$2,195,037","$259,598","$247,774","$322,493",,,"$128,815","$61,136",,"$469,460","$139,954",,,"$62,170",,"$53,842","$17,413","$140,610","$842,060",,,"$559,156","$1,718,065","$1,401,424","$340,449","$13,633","$37,603","$21,024","$21,584","$24,361","$15,692","$32,847","$18,081","$14,521","$8,973","$657,587","$774,705","$609,306","$110,674","$153,532","$128,288","$60,054","$13,130","$78,500","$78,500","$154,385",,,,,,,,"$7,840",,,,,"$139,992","$59,998","$10,052",,,,,,,,
The Prince and Me (2004),"$206,356","$2,101,904","$53,114","$2,622,786",,,"$200,000","$298,239",,"$363,713","$453,227","$202,162",,"$25,262","$74,696",,,,"$155,322","$49,981","$30,380","$630,735","$142,788","$300,000","$125,017",,"$40,238","$96,674","$13,176","$263,733","$209,391","$49,953","$17,993",,,,"$11,536","$3,332","$1,686",,,"$17,781",,"$68,400",,"$129,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walking Tall (2004),"$153,232","$1,666,725","$38,288","$1,459,962",,"$8,560","$164,955","$921,177","$71,158","$731,167","$791,750","$15,496",,,"$320,900",,"$325,711",,"$85,478","$15,657",,"$543,394","$60,709","$293,325","$78,817",,"$95,728",,"$27,749","$96,200",,,"$19,382",,,,,,,"$137,937","$26,501","$6,806",,"$99,800",,"$105,580",,,,,,,,,,,"$245,335","$458,515","$182,900",,,,,,"$27,877","$59,296","$107,123",,,,,,"$515,593",,,,,,,,,,"$23,797",,,,,,,
Ella Enchanted (2004),"$253,432","$1,399,482","$22,047","$1,517,761",,,,"$211,195",,"$139,272",,"$25,083",,,"$41,295",,"$6,162",,"$7,189","$48,374",,,,"$73,511",,,,,"$17,815","$3,323",,"$10,233","$15,529",,,,,"$6,647",,,,"$3,919",,,,"$10,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Whole Ten Yards (2004),"$84,232","$691,373","$113,616","$245,332",,"$655,338","$400,000","$1,450,000",,"$911,747","$833,870",,"$158,400","$190,728","$161,753","$153,064","$217,134","$15,478","$554,489",,"$245,670","$501,266",,"$380,354","$110,848",,,"$555,433","$100,057",,"$365,485",,"$29,326",,"$96,912",,"$86,756","$18,892",,,,"$18,392","$341,186",,,"$155,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill Bill: Vol. 2 (2004),"$648,988","$6,247,985","$590,268","$16,871,657","$66,208,183",,"$1,800,000","$3,080,000","$177,390","$4,324,490","$7,405,914","$2,002,740","$652,950","$786,364","$201,864","$686,426","$9,423,124","$402,431","$6,025,119","$1,751,112","$682,660","$1,000,305","$1,974,086","$395,119","$1,113,823","$321,998","$1,327,722","$304,901","$218,498","$1,129,112","$478,772","$992,554","$59,156",,"$7,206",,"$32,684","$45,953",,"$206,986","$493,148","$13,765","$8,497,114","$394,000","$3,078,363","$2,062,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Punisher (2004),"$336,848","$1,696,074","$201,899","$335,650",,"$64,375",,"$1,624,320","$76,824","$2,984,639","$2,080,007","$87,774","$171,941","$135,518","$343,809",,"$1,294,495","$54,099","$1,666,933",,,"$2,205,176","$384,474","$264,357","$513,878","$129,459","$35,896","$192,531","$61,358","$25,822",,,"$54,784",,"$80,797",,"$33,003","$17,647",,,"$30,016","$51,818",,"$514,781","$1,310,427","$289,921","$26,697","$22,533","$21,491",,"$54,471",,,"$43,055","$18,131",,"$280,806",,,,"$75,062","$4,103",,"$16,313","$61,700","$61,700",,,,,,,,,"$18,848",,,,,,,"$6,018",,,,,,,,
13 Going on 30 (2004),"$632,363","$4,675,724","$310,684","$9,346,533","$57,231,747","$343,449","$566,343","$1,008,302","$11,336","$665,591","$4,897,808","$635,761",,"$207,258","$113,858",,"$3,359,414","$38,424","$469,360","$198,660",,"$1,842,555","$633,691","$1,072,970","$1,132,971",,,"$292,060","$37,695",,"$449,762","$154,248","$85,924",,"$75,536",,"$71,350","$44,006","$251,717","$304,819",,"$38,919",,"$23,237","$1,025,184","$1,056,466","$27,424","$43,027","$11,174",,"$56,548","$45,158","$50,245","$67,011","$15,704","$11,139","$151,690","$54,248","$202,419","$325,802","$71,393","$145,392","$116,623","$28,102","$24,000","$24,000","$93,320",,,,,,,,"$18,387",,,,,"$99,996",,"$8,249","$17,873",,,,,,,
