Movie Name,South Korea,Italy,China,Malaysia,Hong Kong,Vietnam,Singapore,United Arab Emirates,Oman,New Zealand,Thailand,Philippines,Japan,Russia/CIS,Taiwan,Norway,Peru,Mexico,Argentina,Venezuela,Chile,United Kingdom,France,South Africa,Spain,Australia,Türkiye,Germany,Greece,Poland,Austria,Finland,Netherlands,Czech Republic,Hungary,Domestic,Belgium,Ukraine,Qatar,Romania,Israel,Bahrain,Egypt,Lebanon,Switzerland (German),Nigeria,Bulgaria,Jordan,Portugal,Croatia,Switzerland (French),Kenya,Slovakia,Latvia,Lithuania,Estonia,Serbia and Montenegro,Slovenia,Ghana,Ethiopia,Brazil,Colombia,Ecuador,Bolivia,Uruguay,India,Iceland,Sweden,Denmark
Love the Coopers (2015),,"$404,870",,"$28,425","$74,049",,"$115,099","$245,023","$1,084","$117,470","$48,131",,,"$405,472","$26,259",,"$343,997","$835,399","$168,280","$1,751,479","$42,031","$2,910,763",,"$274,165","$648,351","$1,183,300","$15,728","$1,513,024","$69,251","$339,031","$538,232",,,"$127,987","$671,986",,,"$159,554",,"$647,317",,,,"$11,468","$202,849",,"$106,614",,"$69,447","$126,526",,,"$85,133",,"$71,429",,"$48,703","$41,524",,,"$223,690",,"$22,687","$25,301","$46,714",,"$24,755",,
Beast Stalker (2008),,,"$2,473,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wrath of Vajra (2013),,,"$1,870,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The White Storm (2013),,,"$38,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firestorm (2013),,,"$50,770,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control (2013),,,"$7,020,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legendary Assassin (2008),,,"$1,019,682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Eyes (2013),,,"$1,230,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Butcher, the Chef, and the Swordsman (2010)",,,"$1,984,733","$43,212","$2,335",,,,,"$11,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overheard 3 (2014),,,"$49,650,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
