Movie Name,South Korea,Russia/CIS,Domestic,United Kingdom,France,Germany,Italy,Belgium,Sweden,Netherlands,Türkiye,Poland,Austria,Greece,Portugal,Denmark,Norway,Finland,Ukraine,South Africa,United Arab Emirates,Czech Republic,Hungary,Romania,Egypt,Croatia,Lebanon,Slovenia,Latvia,Lithuania,Estonia,Spain,Bulgaria,Slovakia,Serbia and Montenegro,Iceland,Brazil,Mexico,Venezuela,Argentina,Colombia,Peru,Chile,Ecuador,Uruguay,Bolivia,Australia,Hong Kong,New Zealand,Philippines,Singapore,Thailand,Taiwan,Malaysia,Nigeria,East Africa,Ghana,Israel,Bahrain,Japan,Indonesia,Switzerland,Middle East,Mauritius,India,China,Russia,Panama,Switzerland (German),Switzerland (French),Middle East/UAE,Vietnam,Nicaragua,Central America,Dominican Republic,Kuwait,Qatar,Oman,Jordan,Ethiopia,Trinidad & Tobago,Curaçao,Jamaica
I'm Still Here (2010),,,,"$98,671","$25,493","$22,417",,,,,,,,,,,,,,,,,,,,,,,,,,"$16,738",,,,,,"$8,618",,,,,,,,,"$33,593",,"$11,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's Kind of a Funny Story (2010),,,,"$127,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How I Celebrated the End of the World (2006),,,,,"$40,548",,,,,,,,,,,,,,,,,,,"$48,584",,,,,,,,"$26,423",,,,,"$38,643",,,"$38,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waking Sleeping Beauty (2009),,,,,"$4,177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valhalla Rising (2009),,,,,"$139,155",,,,,,,"$2,634",,,"$3,409","$72,523","$34,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bridesmaid (2004),,,,,"$2,604,187",,"$196,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$80,345",,"$169,926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vengeance (2009),,,,,"$744,881",,"$195,637","$27,377",,,,,,,,,,,,,"$76,652",,,,,,,,,,,,,,,,,,,,,,,,,,,"$236,027",,,"$36,735",,"$13,190","$93,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Good Heart (2009),,,,,"$7,187","$124,094",,,,$660,"$9,148",,"$4,909",,"$1,727",,,,,,,,,,,,,,,,,"$138,373",,,,"$30,223","$4,356",,,,,,,,,,,"$5,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Beginning (2009),,,,,"$2,762,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home (2008),,,,,"$886,197",,"$159,990","$56,968",,,,,"$19,746",,,,,,,,,,,,,,,,,,,"$66,246",,,"$2,624",,,,,,,,,,,,,,,,,,,,,,,,,,,"$979,020",,,,,,,,,,,,,,,,,,,,,
The Inner Life of Martin Frost (2007),,,,,"$6,261",,,,,,,,,,"$40,156",,,,,,,,,,,,,,,,,"$127,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triage (2009),,,,,"$160,551",,"$38,330",,,,,,,,"$4,159",,,,,,"$21,071",,,"$13,292",,,"$4,033","$31,456",,,,"$289,418",,,"$1,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonera (2008),,,,,"$205,974",,,"$7,681",,"$3,342",,,,,,,,,,,,,,,,,,,,,,"$64,855",,,,,"$37,584",,,"$486,380",,,,"$1,258",$142,$549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluny Brown (1946),,,,,"$17,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accident (2009),,,,,"$63,667",,,,,,,,,,,,,,,"$20,852","$9,244",,,,,,,,,,,,,,,,,,,,,,,,,,,"$691,396",,,"$248,663",,,"$181,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Girl on the Train (2009),,,,,"$1,280,441",,,"$50,998",,"$67,384",,,,,,,,,,,,,,,,,,,,,,"$97,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retribution (2006),,,,,"$13,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$115,072",,"$51,806",,,,,,"$13,655",,"$65,977","$46,404",,"$18,201","$17,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wedding Song (2008),,,,,"$302,018",,"$148,452","$2,926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,330",,,"$35,005",,,,,"$2,598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Resurrected (2008),,,,,,"$57,215",,,,,,,"$1,185",,"$4,942",,,,,,,,,,,,,,,,,"$19,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please Give (2010),,,,,,"$42,144",,"$9,593",,"$4,109",,,,,"$55,294",,,,,"$37,178",,,,,,,,,,,,,,,,,"$23,125","$72,807",,,,,,,,,"$36,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friendship! (2010),,,,,,"$22,105,442",,,,,,,"$503,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$312,021",,,,,,,,,,,,,,,,,,
Here and There (2009),,,,,,"$25,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Danse: The Paris Opera Ballet (2009),,,,,,"$240,470",,,"$31,460",,,,"$15,655",,"$41,307","$39,184",,,,,,,,,,,,,,,,"$108,206",,,,,,,,,,,,,,,"$10,475",,"$70,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tales from the Golden Age (2009),,,,,,,"$156,664","$16,058",,,,,,,,,"$31,520",,,,,,,"$202,087",,,,,,,,"$44,663",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giallo (2009),,,,,,,"$17,458",,,,,,,,,,,,,,"$28,605",,,"$4,050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Minutes of Heaven (2009),,,,,,,,"$2,666",,"$10,776",,,,"$23,579","$30,286",,,,,,"$26,361",,,,,,,,,,,"$152,635",,,,,,,,"$51,698",,,"$7,579",,"$5,224",,"$6,192",,"$31,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Shock Doctrine (2009),,,,,,,,"$12,810",,,,,,,,,,,,,,,,,,"$3,551",,,,,,"$45,135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terribly Happy (2008),,,,,,,,"$5,514",,,,,,,,"$2,611,930","$31,753",,,,,"$8,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varg Veum - Bitre blomster (2007),,,,,,,,,"$1,443,988",,,,,,,,"$3,443,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patrik, Age 1.5 (2008)",,,,,,,,,"$3,166,718",,,,,,,,"$20,564","$6,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detour (2009),,,,,,,,,,,"$59,795",,,,,,"$621,509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Experiment (2010),,,,,,,,,,,"$62,082",,,"$10,986",,,,,,,"$128,699",,,,,,"$25,238",,,,,"$48,757",,,,,,,,,,,,,,,,"$120,749",,,,,"$69,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadows (2007),,,,,,,,,,,"$13,106",,,,,,,,,,,,$158,,,"$4,261",,,,,,,"$1,820",,"$8,545",,,"$40,052","$36,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Greco (2007),,,,,,,,,,,,,,"$8,246,050",,,,,,,,,,"$9,177",,,,,,,,"$674,095","$3,723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barking Dogs Never Bite (2000),,,,,,,,,,,,,,,"$1,086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endgame (2009),,,,,,,,,,,,,,,,,,,,"$16,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Slammin' Salmon (2009),,,,,,,,,,,,,,,,,,,,,"$18,834",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As Good as Dead (2010),,,,,,,,,,,,,,,,,,,,,"$53,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonah Hex (2010),,,,,,,,,,,,,,,,,,,,,"$356,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell Tale (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$71,197","$202,660",,,,,,,,,,,,,"$13,565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Needles (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Something Like Happiness (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,982","$42,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Possession (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$241,816",,"$224,047",,"$87,871",,"$12,519",,,,,,"$78,149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Deadly Mission (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,058",,,,,"$6,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Father and Son (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$34,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Bear (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$245,293",,,"$10,881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,601",,"$138,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chance Pe Dance (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,705",,"$10,104",,,,,"$11,500","$2,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Special Relationship (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$444,762",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Eclipse (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,469",,$972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GasLand (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparrow (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$718,601",,,"$13,270",,$246,"$29,226",,,,,,,,,,,,"$2,479,761",,,,,,,,,,,,,,,,,
Glorious 39 (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cemetery Junction (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$298,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhoondte Reh Jaoge (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,243",,"$2,998",,,,,$576,,,,,,,,$800,"$2,097,609",,,,,,"$52,742",,,,,,,,,,,,
The Crimson Wing: Mystery of the Flamingos (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal Soldier: Regeneration (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$96,404","$63,684",,,"$354,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tekken (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$189,281","$221,766",,,"$389,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinyan (2008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Tale of Winter (1992),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princess Raccoon (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hum Tumhare Hain Sanam (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,757,777",,,,,,,,,,,,,,,,,,
Raincoat (2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$496,291",,,,,,,,,,,,,,,,,,
In Your Name (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,595,179",,,,,,,,,,,,,,,,,,
Daisy (2006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,280,000",,,,,,,,,,,,,,,,,
Invisible Target (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,482,709",,,,,,,,,,,,,,,,,
