Movie Name,South Korea,Russia/CIS,Domestic,United Kingdom,France,Germany,Italy,Belgium,Sweden,Netherlands,Türkiye,Poland,Austria,Greece,Portugal,Denmark,Norway,Finland,Ukraine,South Africa,United Arab Emirates,Czech Republic,Hungary,Romania,Egypt,Croatia,Lebanon,Slovenia,Latvia,Lithuania,Estonia,Spain,Bulgaria,Slovakia,Serbia and Montenegro,Iceland,Brazil,Mexico,Venezuela,Argentina,Colombia,Peru,Chile,Ecuador,Uruguay,Bolivia,Australia,Hong Kong,New Zealand,Philippines,Singapore,Thailand,Taiwan,Malaysia,Nigeria,East Africa,Ghana,Israel,Bahrain,Japan,Indonesia,Switzerland,Middle East,Mauritius,India,China,Russia,Panama,Switzerland (German),Switzerland (French),Middle East/UAE,Vietnam,Nicaragua,Central America,Dominican Republic,Kuwait,Qatar,Oman,Jordan,Ethiopia,Trinidad & Tobago,Curaçao,Jamaica
Exam (2009),"$9,558","$116,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$86,514",,,,,,,,,,"$153,564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The A-Team (2010),"$4,894,959","$3,728,526",,"$15,281,498","$9,138,205","$6,654,822","$3,143,928","$1,180,013","$1,232,685","$1,553,398","$461,040","$487,420","$873,867","$320,721","$427,146","$995,109","$1,395,494","$433,328","$229,298","$665,795","$978,841","$134,201","$99,222","$146,626","$110,507","$28,169","$80,460","$58,921","$44,825","$49,732","$80,899","$3,573,930","$133,293",,"$10,636","$103,365","$2,139,275","$2,239,204","$624,787","$325,161","$825,969","$390,906","$101,495","$171,293","$35,758","$49,300","$8,504,538","$1,480,139","$1,510,501","$703,345","$1,135,166","$752,069","$1,556,685","$1,602,565","$40,703","$25,579",,"$197,783","$49,676","$7,722,836","$1,474,327",,,,,,,,,,,,,,,,,,,,,,
Toy Story 3 (2010),"$12,248,035","$6,641,512","$415,004,880","$116,625,632","$40,499,578","$17,104,362","$18,855,881","$5,475,926","$5,769,210","$6,129,241","$2,462,385","$3,876,469","$2,265,419","$2,257,319","$3,456,577","$5,301,672","$3,445,158","$2,542,922","$665,250","$3,344,199","$1,698,021","$1,205,395","$977,268","$294,463","$435,046","$109,298","$292,734","$234,447","$172,360","$235,594","$214,878","$33,154,762","$223,921","$483,478","$71,404","$453,707","$23,613,926","$59,382,044","$6,339,322","$16,026,307","$10,637,930","$3,753,051","$8,755,357","$2,463,422","$708,029","$1,100,757","$87,525","$11,502,338","$4,109,690","$3,525,081","$3,155,072","$1,526,259","$3,307,916","$2,812,540","$40,518","$51,809","$12,774","$4,423,739",,"$126,660,533","$2,433,492",,,,,,,,,,,,,,,,,,,,,,
Winter's Bone (2010),"$81,341",,,"$947,359","$268,651","$871,281","$550,382","$97,591","$1,358,642","$116,660","$40,424",,"$85,895",,"$42,195","$390,505","$431,059","$66,705",,,,,,,,,,,,,,"$567,860",,,,,"$151,063","$203,024",,"$300,398",,"$40,085",,,"$47,870","$26,340","$378,951",,"$156,773",,"$18,900","$7,233",,"$18,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drama/Mex (2006),"$1,962","$34,484",,,,,,,,$267,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$139,897",,,,,"$8,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dream (2008),"$447,310","$63,548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,889",,,,,"$3,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrek Forever After (2010),"$21,164,006","$51,362,770",,"$51,056,068","$46,616,337","$24,972,735","$23,451,561","$4,905,893","$5,074,950","$7,253,108","$4,273,465","$17,262,308","$4,589,527","$2,270,261","$6,323,776","$5,520,593","$4,797,933","$2,552,982","$4,007,651","$3,410,775","$2,785,093","$4,137,036","$3,255,213","$1,045,791","$254,350","$634,741","$405,047","$358,751","$582,385","$688,295","$499,121","$21,928,719","$724,603","$1,570,982","$167,307","$312,764","$40,037,374","$28,384,310","$5,984,037","$13,808,538","$6,688,109","$4,111,292","$6,218,841","$2,400,720","$710,999","$644,133","$24,485,148","$3,503,489","$3,446,140","$3,310,904","$3,019,917","$703,028","$1,246,930","$2,405,025","$46,281","$76,242","$13,522","$4,516,709",,"$11,769,385","$1,621,226",,,,,"$13,465,361",,,,,,,,,,,,,,,,,
The Killer Inside Me (2010),"$318,072","$1,080,175","$217,277","$437,124","$425,234",,"$416,443","$176,208",,"$111,893",,,,"$57,240",,"$83,641",,,"$60,637",,"$47,476",,,,,,,,"$3,851",$305,"$1,662","$132,417",,,"$10,105",$476,,"$212,649",,,"$34,251","$33,137",,"$1,430",,"$2,051","$181,270",,"$7,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Twilight Saga: Eclipse (2010),"$12,591,297","$26,363,413","$300,531,751","$45,709,785","$32,987,421","$33,087,955","$20,711,944","$6,741,763","$7,358,424","$3,655,885","$6,066,959","$4,341,664","$3,996,526","$3,222,940","$3,215,915","$4,255,815","$4,796,365","$1,997,451","$1,686,847","$3,744,343","$1,714,107","$1,556,072","$1,348,790","$710,730","$440,409","$473,623","$427,363","$329,475","$225,502","$278,952","$178,052","$25,050,394","$323,117","$578,598","$101,853","$155,784","$30,499,010","$20,600,163","$3,220,661","$4,373,158","$3,042,308","$2,325,279","$2,986,716","$1,110,056","$245,014","$160,671","$22,159,619","$2,054,004","$4,113,338","$6,317,882","$2,073,433","$3,218,265","$1,859,934","$2,186,400","$47,663","$96,386","$216,646",,,"$6,749,445",,,,,,,,,,,,,,,,,,,,,,,
Bluebeard (2009),"$5,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
