Movie Name,Domestic,Australia,United Kingdom,Portugal,France,New Zealand,South Korea,Japan,Hong Kong,Taiwan,Singapore,Thailand,Malaysia,Philippines,Germany,Italy,Netherlands,Sweden,Spain,Switzerland,Belgium,Austria,South Africa,Norway,Israel,Denmark,Finland,Greece,Kenya,Türkiye,Hungary,Brazil,Argentina,Mexico,Colombia,Venezuela,Chile,Peru,Ecuador,Central America,Uruguay,Lesser Antilles,Dominican Republic,United Arab Emirates,Czech Republic,Bulgaria,Lebanon,Ukraine,Iceland,Serbia and Montenegro,Latvia,Croatia,Bolivia,Russia/CIS,Poland,Baltic States,Middle East,Slovenia,Czech Republic/Slovakia,Puerto Rico,West Indies,India,Greece and Cyprus,S/E/W Africa,Egypt,Jamaica,Cyprus,Romania,Indonesia,Trinidad & Tobago,China,Middle East Other,Yugoslavia,Sri Lanka,Russia/CIS/Ukraine,Middle East/UAE,Lithuania,Estonia,Central America+,Paraguay,Netherlands Antilles,Panama
Thelma & Louise (1991),"$45,360,915","$1,748","$7,443",,,"$2,651","$93,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Lampoon's Animal House (1978),"$141,600,000",,,,,,,,,,,,,,,"$7,219",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do the Right Thing (1989),"$27,545,445",,"$17,777",,,$819,,,,,,,,,,,"$33,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teenage Mutant Ninja Turtles (1990),"$135,384,756","$1,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guess Who's Coming to Dinner (1967),"$56,666,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Color of Paradise (1999),"$1,817,216",,,,,,,,,,,,,,,,,,"$32,535",,,,,,,,,,,,,,,,,,"$20,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern Times (1936),"$163,577","$4,750",,"$1,799","$194,349","$1,180",,,"$29,480",,,,,,,,,,"$54,679",,,,,,,,,,,,,,,,,,"$1,342",,,,,,,,,,,,,,,,,"$12,462",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close Encounters of the Third Kind (1977),"$135,189,114","$1,545","$9,352",,,"$1,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Bamba (1987),"$54,215,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hook (1991),"$119,654,823",$153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Grit (1969),"$276,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misery (1990),"$61,276,872",,,,,$725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solaris (1972),"$22,168",,,"$40,767",,$501,,,,,,,,,,,,,,,,,,,,,,,,"$9,586",,,,,,,,,,,,,,,,,,,,,,,,"$149,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network (1976),"$23,689,877",,,,,,$880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Gould's Secret (2000),"$468,684",,,,,,,,,,,,,,,,,,"$25,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predator (1987),"$59,735,548","$1,326,911","$4,758,975","$141,828","$7,131,087","$127,943",,"$6,965,715","$993,602","$731,962","$308,835","$111,972","$318,473","$232,470","$2,722,580","$2,636,188","$141,217","$305,598","$2,263,918","$261,546","$251,192","$300,392",,"$67,293","$90,364","$164,857","$159,484",,,,,"$2,294,172","$667,853","$290,231","$349,820","$559,107","$131,632","$150,001",,"$416,048","$95,849",,,,,,,,,,,,"$54,497",,,,,,,"$513,272",,"$19,173","$187,690","$187,289","$37,124","$64,750",,,,,,,,,,,,,,,,
American Psycho (2000),"$15,070,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where the Money Is (2000),"$5,661,798","$9,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$206,745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prick Up Your Ears (1987),"$1,654,743",,"$18,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hunger (1983),"$5,979,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$9,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caddyshack (1980),"$39,918,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love & Basketball (2000),"$27,475,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Virgin Suicides (1999),"$4,906,229",$667,"$21,773",,,,,,,,,,,,,,,,,,,"$90,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hidden (1987),"$9,747,988",,,,,$245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
